year,sont_VERB avant_ADV,sont_VERB savants_ADJ
1800,1.5720822421627645e-08,6.288328968651058e-09
1801,1.1905912700171939e-08,7.143547975374531e-09
1802,4.475680270843441e-09,6.713520406265161e-09
1803,1.7553053011098996e-08,3.900678446910888e-09
1804,0.0,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,4.3225035994964855e-08,5.76333825108577e-09
1807,2.562259604488304e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,2.25903047379461e-08,6.7770917766551975e-09
1810,1.6380887757350138e-08,9.360507036149102e-09
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,1.8880061958270744e-08,6.293354282149721e-09
1815,5.394447111228828e-09,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,9.341240669868967e-09
1818,0.0,2.8610825708597076e-08
1819,6.210630232317271e-09,3.1053151161586356e-09
1820,2.3732962262101864e-09,1.898636980968149e-08
1821,2.5639868894700157e-08,1.7750679148775816e-08
1822,1.0025615893027862e-08,4.010246357211145e-09
1823,3.9530747564242574e-09,6.917880934764753e-09
1824,1.6842225392110777e-09,1.0105335235266466e-08
1825,0.0,1.3208164340028361e-08
1826,1.3211976290783412e-08,2.8185549894033102e-08
1827,1.8434546111834038e-09,9.217273166939322e-09
1828,2.2013523448549677e-08,3.393751413227619e-08
1829,3.429270478694235e-09,5.143905745796928e-09
1830,0.0,8.349468672008697e-09
1831,3.1182412207897414e-09,1.2472964883158966e-08
1832,0.0,1.8941957335982806e-08
1833,3.4750886612755494e-09,6.950177322551099e-09
1834,1.4935249481595747e-08,7.467624740797874e-09
1835,7.563087933704082e-10,9.075705520444899e-09
1836,1.3441500135158435e-09,3.2259599436201825e-08
1837,2.087367279024477e-09,5.844628248041772e-08
1838,2.5248647617104325e-09,4.5447563934430946e-08
1839,7.690622472189546e-09,2.7266752411492234e-08
1840,1.2739377330817092e-09,3.4396318682183846e-08
1841,5.778493683550323e-09,3.2102743574569104e-08
1842,4.695785538189057e-09,5.0311989241436095e-08
1843,4.13483786099178e-09,4.6073907356003474e-08
1844,1.6465683816413446e-09,6.366730787021879e-08
1845,1.1160455892778032e-09,6.41726245476093e-08
1846,1.1123552745573306e-08,6.322861167973315e-08
1847,1.6179670936367074e-09,4.6921044827286096e-08
1848,8.045221711050488e-10,2.574470947536156e-08
1849,7.54147322368226e-09,3.6869426622843093e-08
1850,6.788996032014438e-10,4.412847331991543e-08
1851,6.449438760824933e-10,7.223371767395292e-08
1852,3.2552727180501506e-09,6.315229228448516e-08
1853,1.134667093616315e-08,4.538668108011734e-08
1854,6.234797400583858e-09,3.896748168585873e-08
1855,1.0613874223963649e-09,4.086341576226005e-08
1856,2.5885946164372342e-09,3.986435714864456e-08
1857,1.6108979983275873e-08,5.369659916709679e-08
1858,2.4468380654951716e-09,2.6425849952715907e-08
1859,2.5460866748261424e-09,4.7357211485632433e-08
1860,5.492620580582752e-09,3.61597543019343e-08
1861,8.488735048217677e-09,2.452301117727984e-08
1862,1.8071945329101169e-09,2.84633134839396e-08
1863,7.4919311865429e-09,3.845858032036631e-08
1864,1.678154715190061e-08,3.5960461275408306e-08
1865,3.294791106611683e-09,4.6127073716206723e-08
1866,1.9462451650298362e-09,2.6274308950746672e-08
1867,4.85281148598915e-10,3.299911810472622e-08
1868,5.9278488784286765e-09,3.6061081232219294e-08
1869,9.278686263769487e-09,4.150991372853241e-08
1870,1.1468097582678638e-09,3.2110673231500186e-08
1871,1.0621177271019633e-09,4.991953161948004e-08
1872,6.652073447632745e-09,3.5679303067581714e-08
1873,8.979006649312282e-09,5.6268440573603584e-08
1874,2.9873046258899194e-09,3.584765551067903e-08
1875,4.577221712764867e-09,2.689117728493784e-08
1876,7.255217759905008e-09,4.474050996350343e-08
1877,4.947852683123699e-09,1.4225077116236662e-08
1878,7.246906574831513e-09,3.5026715750063886e-08
1879,2.443730107160036e-09,2.932476128592043e-08
1880,3.8507077526617195e-09,3.273101611966922e-08
