year,permettant_VERB en_ADP
1800,1.5720821977538435e-08
1801,3.5717739876872656e-08
1802,5.147032311469957e-08
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,8.528632911009026e-09
1806,0.0
1807,1.4234775136401367e-08
1808,6.798221985349073e-09
1809,6.7770917766551975e-09
1810,0.0
1811,5.0141535368197765e-09
1812,0.0
1813,2.8757416448144113e-09
1814,3.4613449884091096e-08
1815,6.203614333344376e-08
1816,9.270415546325239e-09
1817,1.71256075987003e-08
1818,5.960588467246453e-09
1819,1.8631890696951814e-08
1820,0.0
1821,1.577838126820552e-08
1822,3.8097340393505874e-08
1823,1.9765373782121287e-09
1824,2.863178316658832e-08
1825,1.4088708866211164e-08
1826,1.9377566218281572e-08
1827,1.8434546333878643e-08
1828,1.1006761724274838e-08
1829,1.7146351893870815e-08
1830,1.461157062010443e-08
1831,4.053713453799901e-08
1832,1.352996914505411e-08
1833,1.3900354645102198e-08
1834,5.600718555598405e-09
1835,1.739510224751939e-08
1836,3.427582484505365e-08
1837,2.7831563720326358e-09
1838,1.7042836475411605e-08
1839,1.1885507689157748e-08
1840,1.2739377552861697e-08
1841,1.6051371787284552e-08
1842,1.408735705865638e-08
1843,1.1813821920725331e-08
1844,2.4698525891153622e-08
1845,2.0646844234306627e-08
1846,2.6930706553685013e-08
1847,1.5101026207275936e-08
1848,1.045878850192139e-08
1849,1.3407063903514427e-08
1850,1.2899092460827433e-08
1851,2.0638204034639784e-08
1852,1.8229528109259263e-08
1853,2.9262466227919504e-08
1854,2.3900057044556888e-08
1855,2.4411910715116392e-08
1856,1.2425253714809514e-08
1857,2.2943092758964667e-08
1858,2.202154192332273e-08
1859,2.64793023063703e-08
1860,1.4189270203246451e-08
1861,1.5091083938045813e-08
1862,1.1746764450037972e-08
1863,1.2986014041871385e-08
1864,1.3904711160250827e-08
1865,1.97687466396701e-08
1866,1.4596838404656864e-08
1867,2.038180824115443e-08
1868,1.2843672791973404e-08
1869,1.70923168951731e-08
1870,1.834895613228582e-08
1871,1.274541272522356e-08
1872,2.116568786902917e-08
1873,1.7958013742713774e-08
1874,2.9275584623178474e-08
1875,2.1169650921137873e-08
1876,3.748529309177684e-08
1877,2.4120781816350245e-08
1878,3.200716847118201e-08
1879,2.5659165459046562e-08
1880,1.9895322722618403e-08
1881,3.69542902944886e-08
1882,2.6621540527571597e-08
1883,2.274962085380139e-08
1884,3.895001299270007e-08
1885,4.447488777259423e-08
1886,5.420909587883216e-08
1887,3.9173546184656516e-08
1888,4.1848057463766963e-08
