year,transportant_VERB en_ADP
1800,5.65949598296811e-08
1801,2.3811825400343878e-08
1802,5.370816325012129e-08
1803,2.7304748684287006e-08
1804,3.9549615138412264e-08
1805,7.107194477384837e-08
1806,1.3543845511776453e-07
1807,3.4163463169534225e-08
1808,1.5862518409903714e-08
1809,7.454800510231507e-08
1810,4.44624070894406e-08
1811,1.42903374467096e-07
1812,5.3344166417446104e-08
1813,6.039057609541487e-08
1814,0.0
1815,6.74305908887618e-08
1816,2.5493642752394408e-08
1817,3.42512151974006e-08
1818,4.768470773797162e-08
1819,3.415846450138815e-08
1820,4.153268307049984e-08
1821,2.3667571014129862e-08
1822,5.6143449000956025e-08
1823,3.162459805139406e-08
1824,3.2000230021367315e-08
1825,5.899646993157148e-08
1826,3.52319382557198e-08
1827,4.239945528006217e-08
1828,4.769596628761974e-08
1829,5.486832677092934e-08
1830,3.1310506187764986e-08
1831,2.182768810143898e-08
1832,4.329590197471589e-08
1833,4.054269808762001e-08
1834,5.507373401769655e-08
1835,3.327758690829796e-08
1836,5.645430078971003e-08
1837,4.383471363667013e-08
1838,4.797243136067664e-08
1839,4.9639474752893875e-08
1840,3.630722389402763e-08
1841,3.4028907691663335e-08
1842,5.0982812638267205e-08
1843,4.7255289903347375e-08
1844,5.269018737985576e-08
1845,5.0780073479472776e-08
1846,3.9810608143397985e-08
1847,5.662884916546318e-08
1848,6.597081636527946e-08
1849,3.016589289472904e-08
1850,3.326607966869233e-08
1851,2.3862924081186065e-08
1852,2.4740073101270355e-08
1853,3.523439673358553e-08
1854,3.3771819119010615e-08
1855,5.625353338700734e-08
1856,7.248065259091163e-08
1857,4.5886185517929334e-08
1858,5.921348167348128e-08
1859,5.1940166834185675e-08
1860,3.6159753635800485e-08
1861,6.413710451624866e-08
1862,5.2408640982548604e-08
1863,5.4940828775329464e-08
1864,2.3973639073915365e-08
1865,6.401308638714909e-08
1866,3.6978657136366166e-08
1867,4.901339600849042e-08
1868,3.655506930488883e-08
1869,2.6371003158942585e-08
1870,4.0711746862598375e-08
1871,2.549082545044712e-08
1872,6.047338985126771e-08
1873,3.6514627765882324e-08
1874,6.990292522601749e-08
1875,2.4030413214859436e-08
1876,4.0508300713781864e-08
1877,4.0201303619369355e-08
1878,5.857916174356603e-08
1879,3.0546626561545054e-08
1880,5.519347823224052e-08
1881,5.508280992438941e-08
1882,4.45910792734594e-08
1883,5.308244865886991e-08
1884,4.4891539374702916e-08
1885,5.220964904850689e-08
1886,2.1941776617850905e-08
1887,6.071899605331055e-08
1888,4.1848057463766963e-08
1889,4.8868066926388565e-08
1890,3.277193327821948e-08
1891,4.6531805075744614e-08
1892,3.322311670217459e-08
1893,7.88277320085129e-08
1894,4.4740929627806736e-08
1895,5.416752912879019e-08
1896,4.717623269812066e-08
1897,4.9527065559829e-08
1898,4.470100212206063e-08
1899,3.924580482816964e-08
1900,3.114631752509922e-08
1901,2.011945998692255e-08
1902,3.977329754434322e-08
1903,2.7001101798873606e-08
1904,5.589610019285374e-08
1905,4.3866453580676534e-08
1906,4.0639058340730116e-08
1907,3.857132635509686e-08
1908,5.009616876883172e-08
1909,4.180747426030251e-08
1910,4.114996154935824e-08
1911,4.8947441211311116e-08
1912,4.115442830965321e-08
1913,4.18936174639839e-08
1914,3.884111371421639e-08
1915,6.361611670779865e-08
1916,8.570220444426013e-08
1917,7.128176093829097e-08
1918,6.202643110242434e-08
1919,5.985101125816072e-08
1920,6.815008424254643e-08
1921,4.392193519997534e-08
1922,3.6889677090812256e-08
1923,3.927900849021171e-08
1924,2.0626599095407983e-08
1925,4.5092530598367375e-08
1926,3.455302854948883e-08
1927,4.3481976685910695e-08
1928,5.5987601665918874e-08
1929,3.564929884625201e-08
1930,3.2561171536826805e-08
1931,3.9918749195066994e-08
1932,4.055028668403793e-08
1933,3.785318369864399e-08
1934,5.391711255242626e-08
1935,3.111753699158726e-08
1936,3.394919900756577e-08
1937,2.895957251780601e-08
1938,4.2785206488815675e-08
1939,4.282334131744392e-08
1940,1.7750480196809804e-08
1941,2.3612020783048138e-08
1942,5.461581054078124e-08
1943,3.4838822049465534e-08
1944,2.8918675454292497e-08
1945,2.6142048525912287e-08
1946,3.201854070766785e-08
1947,3.457052599742383e-08
1948,1.3046265401328583e-08
1949,3.0432726338958105e-08
1950,2.5524867552917385e-08
1951,5.010858927789741e-08
1952,1.4762725264461096e-08
1953,2.3702419582605216e-08
1954,3.0294863506696856e-08
1955,2.627970197011109e-08
1956,2.703553825256222e-08
1957,4.1524678806581505e-08
1958,2.0680609225109947e-08
1959,3.952881399982289e-08
1960,2.422291700554524e-08
1961,1.80652133252579e-08
1962,2.219684702708946e-08
1963,4.202934689168103e-08
1964,2.1902286206909594e-08
1965,1.8057743744748223e-08
1966,2.0494576702390077e-08
1967,2.1200442290592036e-08
1968,2.2457079196236407e-08
1969,3.1338128952951294e-08
1970,2.20738808620613e-08
1971,3.6996461116878265e-08
1972,3.0780881121739156e-08
1973,2.7014698034122375e-08
1974,2.5877630038806387e-08
1975,1.7134440533084216e-08
1976,2.056869691235974e-08
1977,1.5279633558407113e-08
1978,3.386137237271214e-08
1979,3.3941446986318624e-08
1980,1.364436125195212e-08
1981,1.707898356073656e-08
1982,1.9864007883008128e-08
1983,1.894594880980094e-08
1984,3.595385322796574e-08
1985,2.1656008541981464e-08
1986,2.2779044428489215e-08
1987,2.994300241088155e-08
1988,2.0388283061834045e-08
1989,2.8538234553288078e-08
1990,2.942271493111548e-08
1991,1.75843961613964e-08
1992,2.0937788391961476e-08
1993,1.7171543575944526e-08
1994,2.0572214154412904e-08
1995,1.843633334885908e-08
1996,1.2811421257197253e-08
1997,1.7261619689179497e-08
1998,3.0039213450017144e-08
1999,1.325358303660984e-08
2000,2.827540179772825e-08
2001,2.409666527425358e-08
2002,1.6648641576466616e-08
2003,2.5834921590917048e-08
2004,1.7178685141061578e-08
2005,2.0266872624574717e-08
2006,1.6059770402421236e-08
2007,1.717626255115512e-08
2008,2.3841662866175284e-08
2009,1.3827758271744983e-08
2010,1.8895171649546683e-08
2011,1.2236710256186001e-08
2012,9.19148204769904e-09
2013,1.506127500494614e-08
2014,1.4508482817920942e-08
2015,1.6845973685453153e-08
2016,2.2370471836064e-08
2017,1.5848350770619746e-08
2018,1.497250734505684e-08
2019,1.1734543725605562e-08
