year,rendant_VERB en_ADP,rendant_VERB sans_ADP
1800,2.421006684016902e-07,2.5153315874604232e-08
1801,1.7620750725200196e-07,1.4287095950749062e-08
1802,3.7819498288627074e-07,2.2378401354217203e-08
1803,1.2287136996746995e-07,2.9255089017965474e-08
1804,2.076354803648428e-07,2.2246657849223084e-08
1805,1.9331568523739406e-07,4.264316544322355e-08
1806,2.1324350996110297e-07,8.645007376628655e-09
1807,2.1067468480850948e-07,2.562259560079383e-08
1808,2.1754310353117035e-07,2.2660739062985158e-08
1809,3.0496912017952127e-07,4.518061036407062e-09
1810,1.9189039335287816e-07,3.2761775514700275e-08
1811,1.9805906958936248e-07,0.0
1812,1.226915742336132e-07,5.3344164641089264e-09
1813,2.415623043816595e-07,1.4378708002027452e-08
1814,1.9824065589091333e-07,3.1466771410748606e-09
1815,2.6163067445850174e-07,2.6972236000233352e-08
1816,3.175117342379963e-07,2.3176038865813098e-09
1817,1.6814232139950036e-07,4.670620334934483e-09
1818,2.0504424469436344e-07,7.152706427149269e-09
1819,1.542306478086175e-07,2.070210003424222e-09
1820,2.3970292772901303e-07,2.3732962262101864e-09
1821,2.0018821089706762e-07,1.7750679148775816e-08
1822,2.0753024898567674e-07,1.5038423839541792e-08
1823,2.529967844111525e-07,1.9765373338032077e-08
1824,2.4421225930382207e-07,1.8526447931321854e-08
1825,2.562383940585278e-07,3.0819052199149155e-08
1826,3.523193754517706e-07,4.403992281964975e-09
1827,2.2951009270855138e-07,2.7651818612639545e-08
1828,1.770254129951354e-07,2.0179061976932644e-08
1829,1.9032451348266477e-07,7.801590129474789e-08
1830,2.870129947041278e-07,2.400472176589119e-08
1831,1.9489007740958186e-07,4.677361786775691e-08
1832,3.138952990866528e-07,8.117981842303834e-09
1833,2.3630602186131e-07,4.2859426230279496e-08
1834,2.3056291809098184e-07,1.9602515166639023e-08
1835,2.2235478525090002e-07,9.075705520444899e-09
1836,2.50011908065062e-07,2.8227150394855016e-08
1837,2.379598669222105e-07,6.262101948095733e-09
1838,1.9504579995555105e-07,2.2723781967215473e-08
1839,2.614811762668978e-07,2.0974425751774106e-08
1840,2.809032650930021e-07,1.6561189752906103e-08
1841,2.1637248437400558e-07,2.5040138851295524e-08
1842,2.4485166250087786e-07,2.2808102073668124e-08
1843,3.012524700807262e-07,1.6539351221922516e-08
1844,2.9144260338398453e-07,2.085653250105679e-08
1845,2.539003673973639e-07,1.1718478631905782e-08
1846,2.663797999957751e-07,2.517435504501009e-08
1847,3.1334630534729513e-07,1.240441438454809e-08
1848,3.137636497285712e-07,1.850401076808339e-08
1849,3.44393953355393e-07,1.5920887719289567e-08
1850,2.57302957606953e-07,2.987158254086353e-08
1851,2.824854163918644e-07,2.5152811389261842e-08
1852,3.6133528169557394e-07,2.0833745395520964e-08
1853,2.5559867822266824e-07,2.149895550473957e-08
1854,2.940745957857871e-07,1.7145692865483397e-08
