year,jouant_VERB en_ADP
1800,4.7162465932615305e-08
1801,2.3811825400343878e-08
1802,4.2518962573012686e-08
1803,9.751696339321825e-09
1804,2.4718509905596875e-08
1805,4.264316544322355e-08
1806,3.458002950651462e-08
1807,0.0
1808,4.758755522971114e-08
1809,2.0331274441787173e-08
1810,1.4040760554223652e-08
1811,0.0
1812,8.00162425207418e-09
1813,1.1502966579257645e-08
1814,6.293354459785405e-08
1815,1.1058616422587875e-07
1816,2.5493642752394408e-08
1817,1.8682481339737933e-08
1818,6.556647247357716e-08
1819,6.624672010957511e-08
1820,3.322614716694261e-08
1821,2.070912508145284e-08
1822,3.0076847679083585e-08
1823,3.261286707356703e-08
1824,1.2631669044083083e-08
1825,4.9310479255382234e-08
1826,2.290075862276808e-08
1827,1.2904182611350734e-08
1828,1.6510142586412258e-08
1829,3.5150023336427694e-08
1830,6.470838087579978e-08
1831,3.897801548191637e-08
1832,5.1413883928042026e-08
1833,1.9692167896323554e-08
1834,4.0138484536100805e-08
1835,2.8739734148075513e-08
1836,3.36037508930076e-08
1837,2.7135775293452014e-08
1838,2.4617431648721322e-08
1839,4.055055669027752e-08
1840,3.3122379505812205e-08
1841,4.55858959469424e-08
1842,3.6224630406422875e-08
1843,3.189732128427991e-08
1844,2.4698525891153622e-08
1845,2.7343116215661212e-08
1846,4.039605983052752e-08
1847,5.177494699637464e-08
1848,3.942158599556933e-08
1849,7.457679629396807e-08
1850,2.1045888587423178e-08
1851,2.7087642351375507e-08
1852,3.6459056218518526e-08
1853,3.3442816516071616e-08
1854,1.8704392368285028e-08
1855,2.9188154115900034e-08
1856,1.65670055451983e-08
1857,2.636014961865385e-08
1858,5.627727261980908e-08
1859,4.073738679721828e-08
1860,2.8378539962403693e-08
1861,4.5744847909645614e-08
1862,6.596260251900965e-08
1863,4.04564275413577e-08
1864,3.2604150823623e-08
1865,4.753912818955541e-08
1866,5.303518213484182e-08
1867,4.31900204489466e-08
1868,4.643481721355869e-08
1869,3.271957771389111e-08
1870,4.243196061182175e-08
1871,4.354682658913589e-08
1872,3.870297315966553e-08
1873,3.531742809315119e-08
1874,3.764003614348255e-08
1875,3.0324094679734515e-08
1876,2.7207066821688386e-08
1877,4.267522935030854e-08
1878,3.744235144154118e-08
1879,3.604501941367744e-08
1880,4.749206294896169e-08
1881,5.996356350346232e-08
1882,4.592215629983798e-08
1883,4.92908454607921e-08
1884,6.865764756724957e-08
1885,5.1565084646654213e-08
1886,7.034275428807746e-08
1887,5.8760320664763555e-08
1888,4.6286489086000415e-08
1889,4.573549716724301e-08
1890,7.144281521931362e-08
1891,4.206985104726613e-08
1892,5.641661005029164e-08
1893,7.574852389780062e-08
1894,3.7809236630437226e-08
1895,2.2870734639468537e-08
1896,4.3048309805726603e-08
1897,3.729096675897381e-08
1898,6.337357327801385e-08
1899,6.135611840818456e-08
1900,3.73755817406618e-08
1901,3.63268028991115e-08
1902,7.119911771269472e-08
1903,3.564145245604777e-08
1904,5.374625189347171e-08
1905,4.696290806238679e-08
1906,4.1153477070565714e-08
1907,4.731415970127273e-08
1908,5.3043001546626556e-08
1909,6.436150429278698e-08
1910,4.80973554317643e-08
1911,3.5646507967612706e-08
1912,5.990834450742e-08
1913,6.681766923088972e-08
1914,5.0225578640539226e-08
1915,3.887651434109074e-08
1916,3.296238504368887e-08
1917,6.141197772535634e-08
1918,4.5945505178224266e-08
1919,4.4197672688373046e-08
1920,5.224839805251236e-08
1921,5.9067428281878165e-08
1922,7.377935717922668e-08
1923,6.688047005098952e-08
1924,7.734974594164612e-08
1925,6.70888880005549e-08
1926,8.24814272437635e-08
1927,7.692965198202728e-08
1928,7.998228568339982e-08
1929,7.352667896753928e-08
1930,9.558279367993805e-08
1931,6.044839295782367e-08
1932,4.822195975862087e-08
1933,7.800050383366397e-08
1934,8.506922100082193e-08
1935,8.01875019718068e-08
1936,7.517323297179246e-08
1937,6.169647714937554e-08
1938,1.1020432344466258e-07
1939,1.0399953964679298e-07
1940,4.564409250562562e-08
1941,8.854507882460894e-08
1942,7.888950648293758e-08
1943,1.2483911882021914e-07
1944,8.032965581605822e-08
1945,1.0892520085903357e-07
1946,1.0858461063634195e-07
1947,9.894323005354977e-08
1948,1.000213647461834e-07
1949,1.2467600718490957e-07
1950,1.1486190354403902e-07
1951,1.0448173926036475e-07
1952,1.2337420574048963e-07
1953,1.1097042351693176e-07
1954,1.1433866986543251e-07
1955,1.2858282660843656e-07
1956,1.2209598310164438e-07
1957,1.272245420125273e-07
1958,1.6709932104674863e-07
1959,1.4338883203013353e-07
1960,1.2249874870029487e-07
1961,1.2784613501182207e-07
1962,1.3825464373340424e-07
1963,1.2220840428511792e-07
1964,1.2776333052633149e-07
1965,1.3461226089361844e-07
1966,1.384768650858348e-07
1967,1.163559220085375e-07
1968,1.6124183455090702e-07
1969,1.312568054245844e-07
1970,1.2968404305979675e-07
1971,1.5415192744505646e-07
1972,1.292797007224067e-07
1973,1.400353745184546e-07
1974,1.3388860176100081e-07
1975,1.4107355461590032e-07
1976,1.3026841094720965e-07
1977,1.5808543318840407e-07
1978,1.3841578105910912e-07
1979,1.4044736362794907e-07
1980,1.6259530433160307e-07
1981,1.5813874076897605e-07
1982,1.4091030298146734e-07
1983,1.7556578324473548e-07
1984,1.6527174206970585e-07
1985,1.8046674710170407e-07
1986,1.5405827147318973e-07
1987,1.484928491279902e-07
1988,1.8109592714310452e-07
1989,1.4708166951038493e-07
1990,1.7326709444986932e-07
1991,1.8639458865266079e-07
1992,1.4325855257624198e-07
1993,1.4457331332096146e-07
1994,1.371480911060985e-07
1995,1.426104625501523e-07
1996,1.4519610758156887e-07
1997,1.5199816072453132e-07
1998,1.6831495486258063e-07
1999,1.66812336832578e-07
2000,1.4844585471962546e-07
2001,1.5597114266796552e-07
2002,1.5553336440987664e-07
2003,1.7126053375449146e-07
2004,1.4491762989621293e-07
2005,1.5447860635120492e-07
2006,1.5565623634472558e-07
2007,1.561841402875075e-07
2008,1.6050547646528912e-07
2009,1.368471231888435e-07
2010,1.3746238014533674e-07
2011,1.2733827015054544e-07
2012,1.232339457146736e-07
2013,1.285786623839158e-07
2014,1.1108733621867373e-07
2015,1.1880844397182955e-07
2016,1.0108139303355301e-07
2017,1.1269938449132155e-07
2018,9.267465594930968e-08
2019,1.0382519821661162e-07
