year,battant_VERB en_ADP,battant_VERB sans_ADP
1800,7.545995117652637e-08,1.8864987794131594e-08
1801,1.166779455274991e-07,2.3811825844433088e-09
1802,5.594600338554301e-08,2.2378401354217203e-09
1803,5.265916058760922e-08,2.3404069793286908e-08
1804,7.168367943677367e-08,7.4155526164076946e-09
1805,7.675770063997334e-08,8.528632911009026e-09
1806,8.35684019762084e-08,8.645007376628655e-09
1807,1.395007984683616e-07,0.0
1808,1.0197332578343321e-07,2.2660739951163578e-09
1809,1.1069249694628525e-07,1.129515236897305e-08
1810,5.3822915901946544e-08,4.680253518074551e-09
1811,6.518399686683551e-08,6.769107585569145e-08
1812,4.5342541277193504e-08,0.0
1813,3.163315653864629e-08,1.1502966579257645e-08
1814,7.237357380063258e-08,0.0
1815,1.294667271167782e-07,8.091670444798638e-09
1816,9.733936678912869e-08,0.0
1817,6.694555665376356e-08,2.9580593974287694e-08
1818,7.867976847819591e-08,1.3113295338484932e-08
1819,1.1075623262968293e-07,5.175524897538253e-09
1820,1.2578469466006936e-07,2.3732962262101864e-09
1821,7.790576006527772e-08,7.88919063410276e-09
1822,7.519211919770896e-08,1.4035862250239006e-08
1823,1.2056878517796576e-07,1.0870955358122103e-08
1824,9.600068295867459e-08,1.6000115010683658e-08
1825,8.453225319726698e-08,6.163809906922779e-09
1826,5.901349353631957e-08,1.9377566218281572e-08
1827,6.820781928151831e-08,1.8434546333878643e-08
1828,1.2382606939809193e-07,1.4675682002973645e-08
1829,9.259030453456774e-08,4.286587973467704e-09
1830,8.245100113768444e-08,1.3567886369969528e-08
1831,8.263339168479433e-08,3.585977381703742e-08
1832,9.470978867831548e-08,1.0823975493678972e-08
1833,8.80355770505048e-08,9.266902800675325e-09
1834,1.1388127663103376e-07,4.85395617033646e-08
1835,8.24376584773745e-08,1.0588323107185715e-08
1836,7.460032236394909e-08,2.083432448785061e-08
1837,8.349469204915749e-08,1.3915782304252389e-08
1838,8.647661475791324e-08,1.9567702125300457e-08
1839,8.94908822601792e-08,8.38977065598101e-09
1840,1.0255198645836572e-07,2.165694112932215e-08
1841,9.502412012807326e-08,1.8619591202195807e-08
1842,1.0800306426972384e-07,1.6770663080478698e-08
1843,7.02922405282358e-08,7.678984559333912e-09
1844,9.879410267643607e-08,2.195424464446205e-08
1845,1.0267619643400394e-07,1.0044410636567136e-08
1846,7.142491398326456e-08,1.9905304071698993e-08
1847,7.172987182002544e-08,3.775256551818984e-09
1848,9.573813741781123e-08,9.65426583121598e-09
1849,1.0222886004385145e-07,6.703531951757213e-09
1850,9.436704573317911e-08,2.9192683825840504e-08
1851,1.1351012574323249e-07,5.159551008659946e-09
1852,6.510545347282459e-08,9.114764054629632e-09
1853,8.957897534855874e-08,9.555090940693844e-09
1854,9.248282450968759e-08,2.4939190268469247e-08
1855,1.1038429192922194e-07,7.960405667972736e-09
1856,1.1907535113486745e-07,2.5368226630462232e-08
1857,1.0055908683526127e-07,1.9526035899275485e-08
1858,1.1353328566165999e-07,1.3702292633865909e-08
1859,1.797537123593429e-07,3.5135997000779184e-08
1860,1.7622157696961516e-07,2.792082254288175e-08
1861,1.3157539058283874e-07,1.0846716413936974e-08
1862,1.2334102450495266e-07,2.123453593516622e-08
1863,1.0488703594546678e-07,5.9935452156878455e-09
1864,1.0212770717998865e-07,1.965838514195184e-08
1865,1.3226231998508808e-07,1.553258677233771e-08
1866,1.3283123223573057e-07,2.3354942868536455e-08
1867,9.511510157267367e-08,9.7056229719783e-09
1868,1.3535255050101114e-07,7.903798504571569e-09
1869,1.1671610877783678e-07,5.860222973552709e-09
1870,9.575861703581268e-08,1.4335121534259088e-08
1871,2.0180236504074855e-07,1.911811864374613e-08
1872,1.808154441729215e-07,2.6003558417642125e-08
1873,2.0412274670533748e-07,1.616221290134945e-08
1874,2.551158218011551e-07,9.559374625212058e-09
1875,1.6592429119555163e-07,9.7265964171811e-09
1876,1.529641804332016e-07,7.859819461941697e-09
1877,1.4348773724748298e-07,6.80329748092845e-09
1878,1.352755845118736e-07,6.039088784604019e-09
1879,1.2463024112729926e-07,1.8938909107646396e-08
1880,1.180883684170908e-07,1.1552122813895949e-08
