year,grand_ADJ avant_NOUN,grand_ADJ savant_NOUN
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,0.0,2.1430643926123594e-08
1802,0.0,4.475680270843441e-09
1803,1.1702034896643454e-08,1.5602713787643552e-08
1804,0.0,7.4155526164076946e-09
1805,5.685755422035754e-09,3.695740957709859e-08
1806,0.0,2.881669125542885e-09
1807,8.540865348294346e-09,3.9857372513552036e-08
1808,4.5321479902327155e-09,1.3596443970698147e-08
1809,9.036122072814123e-09,2.0331274441787173e-08
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,0.0,0.0
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,2.8757416448144113e-09,3.163315653864629e-08
1814,1.8880061958270744e-08,3.4613449884091096e-08
1815,0.0,2.1577788444915313e-08
1816,2.3176038865813098e-09,2.5493642752394408e-08
1817,1.556873407970727e-09,1.401186100480345e-08
1818,1.1921177378582115e-09,1.668964877410417e-08
1819,9.315945348475907e-09,3.8298885840504227e-08
1820,2.3732962262101864e-09,8.306536791735653e-09
1821,1.4792232327920374e-08,1.7750679148775816e-08
1822,1.604098542884458e-08,8.02049271442229e-09
1823,6.9178810457870554e-09,1.581229902569703e-08
1824,1.51580028528997e-08,3.8737120178211626e-08
1825,1.7610886082763955e-09,2.7296874094417944e-08
1826,1.7615968683770689e-09,2.6423952803611428e-08
1827,9.217273055917019e-10,1.1060727445055818e-08
1828,1.1923991571904935e-08,2.935136400594729e-08
1829,8.57317605795771e-10,3.6864655328372464e-08
1830,3.1310507520032616e-09,4.383471008395645e-08
1831,6.236482441579483e-09,1.1693404644574912e-07
1832,0.0,1.0012177398266431e-07
1833,1.1583628500844156e-09,2.0850531967653296e-08
1834,9.334530925997342e-10,6.814207864636046e-08
1835,2.2689263801112247e-09,3.781543966852041e-08
1836,5.376600054063374e-09,5.8470526198561856e-08
1837,0.0,3.478945487245255e-08
1838,3.787297142565649e-09,3.28232410140572e-08
1839,1.4682097759788348e-08,3.705481788074394e-08
1840,1.7835128929277744e-08,4.1402977046800515e-08
1841,3.2102742686390684e-09,6.869986890478685e-08
1842,3.3541325272778977e-09,5.1653639587811995e-08
1843,8.860366718099755e-09,4.430183153658618e-08
1844,1.372140279176648e-08,6.860701518007772e-08
1845,2.7901139176833567e-09,6.082448322786149e-08
1846,5.269050973311096e-09,6.966856602730331e-08
1847,3.235934187273415e-09,1.5532484098912391e-07
1848,8.045221711050488e-10,1.448139919091318e-08
1849,2.513824481908955e-09,4.1897074254393374e-08
1850,3.394498016007219e-09,3.869727649430388e-08
1851,6.449438760824933e-10,5.159551008659946e-08
1852,1.3021090872200602e-09,8.398603768000612e-08
1853,0.0,5.01642283268211e-08
1854,1.5586993362681767e-09,5.923057599943604e-08
1855,6.368324534378189e-09,7.217434472295281e-08
1856,2.5885946719483854e-09,6.989205303398194e-08
1857,9.763017949637742e-09,1.1666806898347204e-07
1858,4.893676019968041e-10,1.2087379275271815e-07
1859,0.0,1.059172092254812e-07
1860,8.696649622663699e-09,9.840945125461076e-08
1861,4.715963619617014e-09,1.2780262181877333e-07
1862,8.58417428806213e-09,9.578130999443601e-08
1863,5.494083077373091e-09,1.1887197359783386e-07
1864,7.1920918109924514e-09,1.299371206187061e-07
1865,3.294791106611683e-09,8.895936076669386e-08
1866,1.9462451650298362e-09,8.271541673821048e-08
1867,2.426405742994575e-09,1.5965750321811356e-07
1868,2.9639244392143382e-09,1.0818324369665788e-07
1869,2.9301114867763545e-09,1.562726197334996e-07
1870,5.160643912205387e-09,1.2213523348236777e-07
1871,1.3807530230280918e-08,1.083360103848463e-07
1872,6.047339295989218e-10,1.2336572297044768e-07
1873,9.577607151811662e-09,1.0295927665993077e-07
1874,4.182226565063729e-09,1.3024647671500134e-07
1875,2.2886108008712824e-09,1.2472929711293546e-07
1876,3.627608879952504e-09,1.650562069244188e-07
1877,8.658742500777805e-09,1.7131939955561393e-07
1878,6.6429977074733415e-09,2.512260834919289e-07
1879,6.720257683667796e-09,2.3337622678809566e-07
1880,1.0268554007097919e-08,2.1435606356590142e-07
1881,1.4642266066289267e-08,2.6774429784381937e-07
1882,1.3976308776975088e-08,3.307726501589059e-07
1883,1.2006744321002571e-08,2.976408666199859e-07
1884,1.3203393933736152e-09,4.007229961189296e-07
1885,3.86738152613475e-09,2.739395199569117e-07
1886,6.4534639854230136e-09,3.5816725585391396e-07
1887,6.528924512139156e-09,2.833553196524008e-07
1888,5.07249175996094e-09,3.72828139916237e-07
1889,9.397704836544563e-09,5.475729381032579e-07
1890,2.6217545912032847e-09,3.66390196404609e-07
1891,5.099376032546843e-09,3.563189068245265e-07
1892,1.2537024751679837e-08,4.22497720364845e-07
1893,2.463366621796581e-09,4.939050199936901e-07
1894,4.411077725308132e-09,3.144468223581498e-07
1895,1.3240952334570011e-08,5.362585397961084e-07
1896,4.127920172347643e-09,4.3225222157161625e-07
1897,7.574727511894253e-09,4.2651544163163635e-07
1898,5.6583546736987955e-09,3.406329653898865e-07
1899,2.7637891975018647e-09,4.4220627160029835e-07
1900,5.191053031872173e-09,4.3968219642920303e-07
1901,8.38310842965484e-09,5.080163418824668e-07
1902,8.838511089681589e-09,5.234362561168382e-07
1903,2.7001101354784396e-09,5.654030701407464e-07
1904,5.912087708281888e-09,6.40117832517717e-07
1905,6.708986699521802e-09,4.629200986983051e-07
1906,6.173021205313489e-09,6.389076929735893e-07
1907,4.6285588695127444e-09,6.613696541535319e-07
1908,3.929111258571538e-09,6.262021088332403e-07
1909,6.601180213561264e-09,5.776032594440039e-07
