year,changeant_VERB en_ADP
1800,1.3582790643340559e-06
1801,4.952859740114945e-07
1802,6.668763603556727e-07
1803,1.5544203506578924e-06
1804,7.687456662353043e-07
1805,3.980028848715733e-07
1806,6.829556014054106e-07
1807,3.245528716888657e-07
1808,8.06722368906776e-07
1809,3.3207747862640247e-07
1810,3.369782461959403e-07
1811,3.008492228673276e-07
1812,2.4805035536701325e-07
1813,3.192073165791953e-07
1814,2.517341783914162e-07
1815,2.5623623400861106e-07
1816,8.343374222619104e-07
1817,1.4805865955480613e-06
1818,9.441572377255625e-07
1819,5.072014346296783e-07
1820,3.097151477504667e-07
1821,3.5304128687130287e-07
1822,3.3786325559503894e-07
1823,9.190898726529895e-07
1824,3.9747651925381433e-07
1825,4.4291378387129043e-07
1826,4.412800080899615e-07
1827,3.5302155632077614e-07
1828,5.402485546146529e-07
1829,3.540721760231236e-07
1830,3.7259502660980104e-07
1831,4.6773618045392595e-07
1832,4.6813693188596517e-07
1833,3.602508478195432e-07
1834,4.583254735734954e-07
1835,4.2731446825428065e-07
1836,3.662808776283555e-07
1837,3.0197245237673087e-07
1838,3.288636336584716e-07
1839,3.859294432917437e-07
1840,2.0383003507262742e-07
1841,3.7560207788445155e-07
1842,2.435100232567322e-07
1843,2.3509506030805483e-07
1844,2.62902080772065e-07
1845,4.386059244687601e-07
1846,3.114594679942684e-07
1847,2.7505441035913236e-07
1848,4.103063133698015e-07
1849,3.041727723029908e-07
1850,3.5845899493125444e-07
1851,2.4894833772215463e-07
1852,3.046935355133229e-07
1853,3.021797529978443e-07
1854,3.6941173542359707e-07
1855,3.0514887328081386e-07
1856,2.9613522656291025e-07
1857,2.65554084055708e-07
1858,2.3049213426773463e-07
1859,2.3576762853139144e-07
1860,2.274860333439932e-07
1861,2.6786673856804555e-07
1862,1.8071945451225702e-07
1863,2.5522511171161e-07
1864,2.9439628379535066e-07
1865,2.4758001049285383e-07
1866,3.123723435471959e-07
1867,1.9993583677546667e-07
1868,2.4452376901074047e-07
1869,2.7689554205068134e-07
1870,2.0642574982687734e-07
1871,2.8995813750043453e-07
1872,2.473361850885425e-07
1873,1.8855914429849463e-07
1874,2.6885740211923803e-07
1875,2.506028948801031e-07
1876,2.2672554811364876e-07
1877,2.2945666700024958e-07
1878,2.228423727768103e-07
1879,2.68810318782009e-07
1880,2.0280394830152204e-07
1881,1.6664292390444757e-07
1882,2.1031017638506455e-07
1883,1.996911122015277e-07
1884,2.178559954657544e-07
1885,1.4309310725213464e-07
1886,1.6069125052808886e-07
1887,1.8280988456353953e-07
1888,1.420297637277912e-07
1889,1.1151943341003445e-07
1890,1.7041404465345522e-07
1891,2.0397503908142767e-07
1892,1.197285888210331e-07
1893,1.4903368183993848e-07
1894,1.9282709962098465e-07
1895,1.0713133780093642e-07
1896,1.3268314957848304e-07
1897,1.4916386281704774e-07
1898,1.4655139546349005e-07
1899,1.3266188858551686e-07
1900,1.256234867241801e-07
1901,1.8778162674815135e-07
1902,1.379789729694103e-07
1903,9.666394396035116e-08
1904,1.230789168360502e-07
1905,1.119884744937849e-07
1906,1.0288368823552219e-07
1907,1.0337115108338679e-07
1908,1.0854170029439558e-07
1909,1.0121809496110856e-07
1910,1.0527976879171064e-07
1911,1.3088121042503786e-07
1912,1.0418842566473074e-07
1913,1.134839766603335e-07
1914,9.777245590925077e-08
1915,9.89584023614043e-08
1916,7.251725264723063e-08
1917,5.15421945124217e-08
1918,5.513460621386912e-08
1919,1.0220711665898108e-07
1920,1.1055458060127421e-07
1921,6.739744962125371e-08
1922,1.0181551157728563e-07
1923,9.554353219698442e-08
1924,8.76630497081976e-08
1925,1.1658068732600668e-07
1926,8.359604031227263e-08
1927,1.1483701300996074e-07
1928,1.2225864010062537e-07
1929,1.3145679078618855e-07
1930,8.192810962981412e-08
1931,9.580499860106784e-08
1932,7.452484851455665e-08
1933,9.176529935928102e-08
1934,8.506921567175141e-08
1935,8.258116324100229e-08
1936,8.123558492556526e-08
1937,1.0198805711070236e-07
1938,9.334954764739223e-08
1939,1.0705835240543138e-07
1940,1.0650288206903724e-07
1941,1.0330259136992481e-07
1942,1.4867637787574495e-07
1943,5.2258233296242906e-08
1944,8.675602636287749e-08
1945,7.624764153391084e-08
1946,9.744773166175946e-08
1947,1.180166246950165e-07
1948,8.153915853625904e-08
1949,8.344457014253237e-08
1950,7.338399554690511e-08
1951,1.1194471971620601e-07
1952,7.486810549295342e-08
1953,8.834538389734803e-08
1954,9.186183858034269e-08
1955,5.255940527248981e-08
1956,9.854889859717275e-08
1957,8.393285499952441e-08
1958,7.362296711166394e-08
1959,7.750748010071362e-08
1960,8.30499971016252e-08
1961,8.05986450913565e-08
1962,8.751900182346617e-08
1963,6.660035101191397e-08
1964,8.456715816507199e-08
1965,8.591108358046995e-08
1966,1.1964401125386104e-07
1967,1.1438378499928348e-07
1968,8.398947359822273e-08
1969,1.25352512814203e-07
1970,9.335411665922777e-08
1971,9.865722860880055e-08
1972,9.182962790177385e-08
1973,9.372446241329158e-08
1974,5.4005488192565565e-08
1975,7.367809207181608e-08
1976,7.656125688981774e-08
1977,6.288156378930765e-08
1978,7.722768480267206e-08
1979,7.666084800295181e-08
1980,8.072914292611699e-08
1981,6.515316353095102e-08
1982,5.89712728649161e-08
1983,6.631082083430329e-08
1984,7.480720959351927e-08
1985,7.278824909473514e-08
1986,6.653878958928772e-08
1987,6.416357511973558e-08
1988,5.996553648079939e-08
1989,7.573608484801042e-08
1990,7.519138656153501e-08
1991,7.2096022707413e-08
1992,7.218026953914602e-08
1993,7.477929853116905e-08
1994,9.494868175030646e-08
1995,7.591430817299738e-08
1996,8.647709215381383e-08
1997,6.616954495441973e-08
1998,7.67668781875841e-08
1999,8.180660221457359e-08
2000,8.350079760965912e-08
2001,8.674799650831844e-08
2002,7.798574025441596e-08
2003,8.875546053666028e-08
2004,8.192911488125176e-08
2005,9.09757402745015e-08
2006,8.853463595581701e-08
2007,9.866364081290158e-08
2008,7.450519684537582e-08
2009,8.725792621788742e-08
2010,8.880731172666856e-08
2011,9.942327394707462e-08
2012,1.2153181916385591e-07
2013,1.2160585383114153e-07
2014,1.0155937668621107e-07
2015,1.1282368606035931e-07
2016,1.2469467036702042e-07
2017,1.2376807778657906e-07
2018,1.2700816687249983e-07
2019,1.0586598930828472e-07
