year,tombant_VERB en_ADP
1800,6.256887559175084e-07
1801,6.429192840329279e-07
1802,4.095247447821748e-07
1803,6.085058124050136e-07
1804,3.781931923185766e-07
1805,3.18402292531772e-07
1806,4.063153573596878e-07
1807,3.7864503088513857e-07
1808,4.600130236731559e-07
1809,4.0888451735554554e-07
1810,5.124877588968957e-07
1811,4.713304235792748e-07
1812,4.3475495203892933e-07
1813,4.457399427337805e-07
1814,3.429878177030332e-07
1815,3.3445573421886365e-07
1816,3.8935746715651476e-07
1817,4.250264424854322e-07
1818,5.722164928556595e-07
1819,3.0949640539290613e-07
1820,3.500611853723967e-07
1821,3.747365455719631e-07
1822,3.3585813241643336e-07
1823,3.0735155898131694e-07
1824,5.12003680341877e-07
1825,4.913437234854712e-07
1826,5.364062286572491e-07
1827,3.8343856090250483e-07
1828,4.549461465330751e-07
1829,4.406612493790263e-07
1830,5.312349458108656e-07
1831,4.2252167986589484e-07
1832,4.7219592680392e-07
1833,5.166298328029839e-07
1834,4.891294043130046e-07
1835,5.51349117472455e-07
1836,6.209973326676277e-07
1837,5.107092051481743e-07
1838,4.3806402705293124e-07
1839,4.327723142072415e-07
1840,4.497000176684196e-07
1841,5.181382474184204e-07
1842,4.655536001152427e-07
1843,5.286685129668456e-07
1844,4.088978022842582e-07
1845,3.928480509785004e-07
1846,4.2445134584845334e-07
1847,3.3707647872915913e-07
1848,4.617957247154969e-07
1849,4.080774955728117e-07
1850,4.976334349038325e-07
1851,3.8954608783114963e-07
1852,4.1602384870387255e-07
1853,4.263959245687232e-07
1854,4.3591625509264986e-07
1855,4.6541838827351967e-07
1856,4.3695476836802527e-07
1857,4.822931063408475e-07
1858,5.001337126664396e-07
1859,4.5676796345262005e-07
1860,4.897586678431765e-07
1861,4.2302195191190606e-07
1862,3.9396839218719393e-07
1863,4.175502903436268e-07
1864,4.804317654816259e-07
1865,4.2173326764149976e-07
1866,4.680719567495828e-07
1867,5.071187931804388e-07
1868,5.552418285148519e-07
1869,4.927471031201947e-07
1870,5.131973606076201e-07
