year,mettant_VERB en_ADP,mettant_VERB sans_ADP
1800,1.8361920410825405e-06,8.489244152087849e-08
1801,2.1764008359959064e-06,5.714838380299625e-08
1802,2.092380611884437e-06,7.608656460433849e-08
1803,1.9366868242443047e-06,5.655983770225248e-08
1804,1.9873682379767388e-06,4.943701981119375e-08
1805,1.975800074660583e-06,4.5486043376286034e-08
1806,1.5244030144856424e-06,8.645007376628655e-09
1807,2.1038997886080324e-06,3.4163463169534225e-08
1808,1.9057682436596224e-06,2.2660739062985158e-08
1809,1.9924648881897156e-06,2.25903047379461e-08
1810,1.5398034034497243e-06,7.488405628919281e-08
1811,1.9103925161800817e-06,8.022645658911642e-08
1812,2.243122140921372e-06,2.9339290108509886e-08
1813,2.2833387962606366e-06,1.1502966579257645e-08
1814,2.404061383742828e-06,5.349351184236184e-08
1815,2.1038342961077205e-06,8.361393355471591e-08
1816,2.0464442869183586e-06,7.648093003354006e-08
1817,2.187407246001527e-06,8.095742032310227e-08
1818,1.9431520212886966e-06,5.96058882251782e-08
1819,1.8466273603578998e-06,4.34744116262209e-08
1820,2.2581912775265778e-06,1.1629151686065597e-07
1821,2.1014830995369493e-06,5.325203744632745e-08
1822,1.924918265672204e-06,3.60922172149003e-08
1823,2.334290721162091e-06,5.336650943377208e-08
1824,2.573492135837796e-06,3.03160057057994e-08
1825,2.1476474660886424e-06,5.2832657360113444e-08
1826,2.4503811664189357e-06,5.725189922145546e-08
1827,2.449951170602205e-06,4.9773274113373844e-08
1828,2.127056679235295e-06,6.053718948351161e-08
1829,2.48536368663288e-06,6.858541079513003e-08
1830,2.2000850155023954e-06,4.800944353178238e-08
1831,2.2591657784509778e-06,2.8064171431196883e-08
1832,2.3799217236941672e-06,2.3000948701223933e-08
1833,2.072311085399292e-06,5.560141858040879e-08
1834,2.369103999200206e-06,5.6007187110296286e-08
1835,2.047327882337413e-06,4.61348363955949e-08
1836,2.4967586362834027e-06,3.5619976301859424e-08
1837,2.541717632809082e-06,2.991893044423932e-08
1838,2.574099591257095e-06,3.597932263232906e-08
1839,2.3113816727260428e-06,4.264799713382672e-08
1840,2.2287541199261796e-06,5.605326192092974e-08
1841,2.5322643963932023e-06,2.632424944692957e-08
1842,2.5867070654328472e-06,5.2324466093267574e-08
1843,2.2989698251763002e-06,2.8353174030826267e-08
1844,2.520347393897282e-06,3.896878647546842e-08
1845,2.470367004292484e-06,5.636030397937475e-08
1846,2.436643391945381e-06,2.1076203893244383e-08
1847,2.247895604767791e-06,3.7752563741833e-08
1848,2.510109078812661e-06,4.103063083737979e-08
1849,2.50293114945066e-06,2.9327951622803994e-08
1850,2.4616898492979544e-06,4.1412874907109654e-08
1851,2.263753035691707e-06,3.353708066811123e-08
1852,2.3359836944791823e-06,2.018269107395554e-08
1853,2.548820567938037e-06,5.733054564416307e-08
1854,2.68044334106321e-06,4.2604447969551984e-08
1855,2.6486923552226926e-06,2.4942604426314574e-08
1856,2.7651368572634283e-06,5.746679876406091e-08
1857,2.6277162845644852e-06,2.831275325299032e-08
1858,2.8251190578032492e-06,3.7191937529712504e-08
1859,2.8938822254076513e-06,6.008764330545091e-08
1860,2.538963919107573e-06,4.7144993686742964e-08
1861,2.641882822729258e-06,4.715963852763849e-08
1862,2.4329355063912317e-06,4.472806480748659e-08
1863,2.560742100143898e-06,2.6970953026506095e-08
1864,2.855260586187569e-06,5.2262535632507934e-08
1865,2.717261313733843e-06,2.4946274379544775e-08
1866,2.7417729171475003e-06,6.3252969084715e-08
1867,2.731647679610205e-06,5.920430012906763e-08
1868,2.9407069721543166e-06,5.977247496957716e-08
1869,2.759188344469976e-06,4.688178334433246e-08
1870,2.9627830429035384e-06,4.873941605865184e-08
1871,2.8995813750043453e-06,3.3987767267262825e-08
1872,2.7539582632130077e-06,4.898344840853497e-08
1873,2.783492163871415e-06,3.9507629334689653e-08
1874,2.925766136030461e-06,2.5690820137924675e-08
1875,2.9488749788697532e-06,3.8906383337256045e-08
1876,2.8150244766322885e-06,4.292670530148257e-08
1877,2.7373996509538756e-06,3.154256233983688e-08
1878,2.7320836935018633e-06,4.046189516770937e-08
1879,2.9104826211323598e-06,4.581993806596074e-08
1880,2.7141071115011073e-06,2.1178892417594852e-08
1881,3.1055548035396896e-06,4.0440545356901225e-08
1882,2.83652523513922e-06,4.3925541870493134e-08
1883,2.9176388096630035e-06,3.4124428616166824e-08
1884,2.9172898976526085e-06,3.828984151965642e-08
1885,2.860573083296458e-06,1.67586524657537e-08
1886,2.9821456273282365e-06,2.9040588100937015e-08
1887,3.0228921730213187e-06,3.0685946228459215e-08
1888,3.2064488983962747e-06,2.726464365387926e-08
1889,2.999747366061456e-06,1.4409814119709097e-08
1890,3.1887090656823602e-06,1.704140528691056e-08
1891,3.268700002223568e-06,4.525696262192014e-08
1892,3.1386441499137163e-06,2.7581453565517222e-08
1893,3.38836082747207e-06,5.480990594719515e-08
