year,parlant_VERB en_ADP,parlant_VERB sans_ADP
1800,1.7292904752608251e-07,1.446315653907959e-07
1801,3.0955372665175673e-07,2.0716287929545274e-07
1802,4.0057338424048794e-07,1.4098392853156838e-07
1803,1.9503391857078611e-07,1.170203560718619e-07
1804,2.5707248596518184e-07,1.359518080334965e-07
1805,2.331159758561796e-07,8.812921237222326e-08
1806,2.3053353626067974e-07,1.4120178093435243e-07
1807,2.2490945994491085e-07,1.5942948516922684e-07
1808,1.5182696255777728e-07,7.931258982907252e-08
1809,1.6265019753269883e-07,5.1957702140725814e-08
1810,1.8018975822542416e-07,8.424456154898508e-08
1811,2.4820059252306237e-07,7.52123057168319e-08
1812,2.2671270283325384e-07,1.7603574065105931e-07
1813,2.5306526652002503e-07,1.2078114686175923e-07
1814,2.5173416240420465e-07,1.2586708120210233e-07
1815,2.1038343334112142e-07,9.710004889029733e-08
1816,2.1785476178592944e-07,1.6918508194407877e-07
1817,2.895784583234473e-07,2.179622828890615e-07
1818,3.2902449920158006e-07,1.4663048331087225e-07
1819,2.732677195638189e-07,1.9149442920252113e-07
1820,3.144617419792439e-07,1.981702411057995e-07
1821,3.7375040840004203e-07,1.5778381845521494e-07
1822,2.6367369798663276e-07,1.082766516447009e-07
1823,3.4194096265594e-07,1.6405260017116063e-07
1824,3.444235145977359e-07,2.0294881597493486e-07
1825,3.222792086532422e-07,1.4617035049013793e-07
1826,2.9770988418942324e-07,1.2771577972969794e-07
1827,2.3964910234042236e-07,9.585963667291253e-08
1828,2.045423124208412e-07,1.2657775033675378e-07
1829,2.0318427118581894e-07,9.773420439618263e-08
1830,3.068429634822678e-07,8.662573525164419e-08
1831,2.5725489649630617e-07,1.4032085005055706e-07
1832,3.206602769978417e-07,1.6506561983931078e-07
1833,2.096636748660785e-07,1.436369956309136e-07
1834,1.6335429275926572e-07,1.0828055740930154e-07
1835,3.0630507552587005e-07,1.3084141414765327e-07
1836,4.328163001332541e-07,1.0753199930491064e-07
1837,3.4371981705305643e-07,1.2872097854277342e-07
1838,2.486991868000388e-07,1.5464796554454097e-07
1839,2.53790554793909e-07,6.64190162869005e-08
1840,2.9427962733308277e-07,1.0764774183158465e-07
1841,3.036919515864156e-07,7.576247318397122e-08
1842,2.85101279029476e-07,6.171603583737806e-08
1843,2.6049477774847674e-07,1.0218955925900275e-07
1844,2.705860739915522e-07,9.44032527705474e-08
1845,2.996582306735718e-07,9.430585423686466e-08
1846,2.810160757427127e-07,8.254846761701629e-08
1847,2.1788623261187468e-07,8.46736085691191e-08
1848,2.2848429237498635e-07,4.585776380849893e-08
1849,2.1032331520842718e-07,1.1647387054836145e-07
1850,2.525506523909371e-07,7.80734570327013e-08
1851,2.7087642617829033e-07,1.1802472799082864e-07
1852,3.125061880382418e-07,8.398603412729244e-08
1853,3.2547029227281143e-07,9.077336127205626e-08
1854,3.7304871280952057e-07,1.3924380404262138e-07
1855,3.3964397516683675e-07,8.119613781332191e-08
1856,3.479071040146664e-07,9.16362523639691e-08
1857,3.080232233720892e-07,1.0983395526409367e-07
1858,3.768130607539888e-07,7.780944599744544e-08
1859,3.610350853833211e-07,1.0438955566627328e-07
1860,2.9614380103737403e-07,8.33047497650341e-08
1861,3.121967973029882e-07,1.230866524259966e-07
1862,2.4803745279911027e-07,1.1159426271944994e-07
1863,3.2315195852561374e-07,9.040263759807488e-08
1864,2.824094886832995e-07,1.1555294321397014e-07
1865,2.9558983438704445e-07,7.860429729333873e-08
1866,2.933964466933503e-07,9.585257743083275e-08
1867,2.843747619607484e-07,8.007138951882098e-08
1868,2.988623801769563e-07,8.298988718458133e-08
1869,2.744537770382749e-07,9.37635653563973e-08
1870,3.0505140458103597e-07,1.123873540898046e-07
1871,2.3366590440332402e-07,7.222400455475508e-08
1872,3.211137169500944e-07,1.0220003143768253e-07
1873,2.2866537108257035e-07,8.500126513766304e-08
1874,2.5511581469572775e-07,6.392831575219304e-08
1875,2.7634976618173823e-07,5.378235456987568e-08
1876,2.58769427219363e-07,1.0096844516027659e-07
1877,2.603807516265988e-07,7.545475266823587e-08
1878,3.0557787855656215e-07,8.817069113709053e-08
1879,3.323472910210512e-07,9.958200042348153e-08
1880,2.573556274754196e-07,5.904418487467922e-08
1881,3.263133461217649e-07,6.902782445639133e-08
1882,2.682120241459529e-07,5.923292656362378e-08
1883,2.8373831817418704e-07,7.267239965358385e-08
1884,2.475636353693744e-07,6.337628821739827e-08
1885,2.655601782919348e-07,7.541393642895855e-08
1886,2.3426074235999295e-07,6.324394519197085e-08
1887,2.3047104047435596e-07,7.247106270646952e-08
1888,2.22555582851669e-07,8.686641805866202e-08
1889,2.3243657132354656e-07,7.016953240679413e-08
1890,1.9990878108444576e-07,5.7678599674204634e-08
1891,2.460448946806082e-07,8.28648605288862e-08
1892,1.9432387787787775e-07,6.581938172267598e-08
1893,2.3463566556358728e-07,7.82118902975526e-08
1894,2.2433480317829435e-07,9.767385877879065e-08
1895,2.136608170388854e-07,7.402896073926968e-08
1896,2.4531640541169963e-07,8.904513415508575e-08
1897,2.1325771371039082e-07,6.758987858290766e-08
1898,2.2916337361067463e-07,8.54411612571937e-08
1899,2.1723382737093289e-07,8.070264634341129e-08
1900,1.8999254791651765e-07,6.333084978660253e-08
1901,2.3640365576227396e-07,5.9240633731860726e-08
1902,1.870818095994764e-07,6.530677376659355e-08
1903,2.6137066555520505e-07,7.560308068477184e-08
1904,2.327212662578404e-07,5.0521475003506566e-08
1905,2.1571973540801537e-07,7.01863207552833e-08
1906,2.4177668045410883e-07,3.858138386547694e-08
1907,2.3348509259335515e-07,6.788553069680958e-08
