year,faut_VERB aider_VERB,faut_VERB céder_VERB
1800,6.917161954334006e-08,1.0375742931501009e-07
1801,9.524730160137551e-08,2.0001934331048687e-07
1802,1.5888664961494214e-07,1.7007585029205075e-07
1803,1.560271414291492e-07,2.2623935080900992e-07
1804,6.426812149129546e-08,2.397695482159179e-07
1805,3.980028751016107e-08,2.1890159018767008e-07
1806,7.780506905419315e-08,1.498467980809437e-07
1807,7.117387923472052e-08,2.5053205376934784e-07
1808,3.3991110370834576e-08,2.1527702642742952e-07
1809,1.197286110254936e-07,2.1686693685296632e-07
1810,7.254392642153107e-08,3.7208016578915704e-07
1811,6.267691787797958e-08,1.6045291317823285e-07
1812,9.601949813031752e-08,1.3869482984318893e-07
1813,4.888760685162197e-08,2.674439656402683e-07
1814,9.754699448194515e-08,1.604805390797992e-07
1815,1.1598061178119679e-07,1.2407228666688752e-07
1816,9.038654980031424e-08,2.3871319854151807e-07
1817,1.1676550570882682e-07,2.2107602148935257e-07
1818,6.199012148044858e-08,2.2531025933858473e-07
1819,7.24573467891787e-08,3.343389209931047e-07
1820,4.390598107306687e-08,3.370080605691328e-07
1821,6.311352507282209e-08,2.642878769165691e-07
1822,7.318699601910339e-08,3.107940926838637e-07
1823,9.289725966254991e-08,1.4626377264903567e-07
1824,7.073734309415158e-08,2.1052781562502787e-07
1825,8.453225319726698e-08,1.8491429898404022e-07
1826,7.662946188702335e-08,2.281267938997189e-07
1827,6.267745789045875e-08,2.037017310385636e-07
1828,4.769596628761974e-08,2.1463185362335935e-07
1829,7.801590129474789e-08,1.6717693540613254e-07
1830,1.033246732617954e-07,2.2647934372344025e-07
1831,5.9246584527272717e-08,2.104812892866903e-07
1832,4.6001897402447867e-08,2.0565553882079257e-07
1833,4.2859426230279496e-08,1.6796261093077192e-07
1834,6.814207864636046e-08,1.698884659617761e-07
1835,8.621920244422654e-08,1.6336269936800818e-07
1836,6.51912728244497e-08,1.7675573360520502e-07
1837,7.653680000885288e-08,1.2037151009280933e-07
1838,7.385229139345029e-08,1.35711474058553e-07
1839,5.942753844578874e-08,1.566090475080273e-07
1840,8.280595409360103e-08,1.4077012622237817e-07
1841,8.539329598988843e-08,1.3290535605392506e-07
1842,5.567860128508073e-08,1.6502332300660782e-07
