year,tirant_VERB en_ADP
1800,1.6664071722516383e-07
1801,4.02419857437053e-07
1802,1.9469209178168967e-07
1803,1.4432509942707838e-07
1804,8.898663139689234e-08
1805,4.4348891492518305e-07
1806,1.3255677799861587e-07
1807,1.1672516109229036e-07
1808,1.0877155354194201e-07
1809,1.4683698168482806e-07
1810,7.020380365929668e-08
1811,1.0028307428910921e-07
1812,2.1604387256957125e-07
1813,1.8692320691293673e-07
1814,7.552024783308298e-08
1815,1.0519172000122978e-07
1816,1.1124498655590287e-07
1817,1.5257359109455138e-07
1818,1.490147241156592e-07
1819,1.480200211290139e-07
1820,2.3139638472002844e-07
1821,1.7750679148775816e-07
1822,1.3634837614517892e-07
1823,1.8579451932509983e-07
1824,2.5347549126308877e-07
1825,1.47050897680856e-07
1826,1.35642963527971e-07
1827,1.1521591147811705e-07
1828,1.6601865127086057e-07
1829,1.1059397042600949e-07
1830,1.408972849503698e-07
1831,9.978371906527173e-08
1832,1.8130158707663213e-07
1833,1.3668682186107617e-07
1834,9.614566964799565e-08
1835,1.8227041209684103e-07
1836,2.1103155201096513e-07
1837,2.1778198533439763e-07
1838,2.815224195984456e-07
1839,1.587064843988628e-07
1840,1.936385373713101e-07
1841,1.5024083666048682e-07
1842,1.3081116234658907e-07
1843,1.1341269612330507e-07
1844,1.2184606129617137e-07
1845,1.2443908820047866e-07
1846,8.020666641961327e-08
1847,1.0085328039366459e-07
1848,8.769291470756002e-08
1849,1.1814975042767628e-07
1850,9.097254860535031e-08
1851,1.3221349748349098e-07
1852,1.1588770831849615e-07
1853,1.4452075447479729e-07
1854,1.1222635509788859e-07
1855,1.4859424268820476e-07
1856,1.1648675868336511e-07
1857,1.239903260064068e-07
1858,1.3212925487060545e-07
1859,7.943790292230801e-08
1860,9.703629996749008e-08
1861,7.498382059711872e-08
1862,1.1566044835764622e-07
1863,1.0988166110337261e-07
1864,1.3137554044639899e-07
1865,1.0260920568772036e-07
1866,8.028261078152354e-08
1867,1.014237582808164e-07
1868,1.462202667834589e-07
1869,1.1329764693090993e-07
1870,8.601073497871425e-08
1871,1.1046024273042576e-07
1872,1.1852785064547788e-07
1873,1.257060950887734e-07
1874,1.0873788625076486e-07
1875,1.0012672646553256e-07
1876,1.3361692197122466e-07
1877,9.586464633226655e-08
1878,1.1595050297685816e-07
1879,6.964630550054807e-08
1880,9.883483187422826e-08
1881,2.3148724870303283e-07
1882,1.1247601050534684e-07
1883,1.150119700032981e-07
1884,8.252121563856463e-08
1885,8.379326216223504e-08
1886,1.2003443167207806e-07
1887,1.4037188439397497e-07
1888,7.418519243351795e-08
1889,1.0337475941923913e-07
1890,1.1404632671574433e-07
