year,puissent_VERB aider_VERB,puissent_VERB céder_VERB
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,1.6668277424969347e-08,1.4287095950749062e-08
1802,2.2378401354217203e-08,6.713520406265161e-09
1803,1.950339223455444e-09,9.751696339321825e-09
1804,4.2021465418429216e-08,9.887403784603066e-09
1805,3.1271653710973624e-08,8.528632911009026e-09
1806,0.0,2.305335300434308e-08
1807,1.4234775136401367e-08,1.4234775136401367e-08
1808,1.5862518409903714e-08,3.6257183921861724e-08
1809,0.0,1.8072244145628247e-08
1810,0.0,2.3401267590372754e-09
1811,1.504245972228091e-08,0.0
1812,2.9339290108509886e-08,1.600324850414836e-08
1813,2.8757416448144113e-09,2.8757416004054903e-08
1814,6.293354459785405e-08,9.440030979135372e-09
1815,5.933891955578474e-08,1.0788894222457657e-08
1816,9.270415546325239e-09,1.1588019432906549e-08
1817,4.0478710161551135e-08,0.0
1818,2.98029441125891e-08,1.1921176934492905e-08
1819,1.5526575580793178e-08,6.210630232317271e-09
1820,5.6959109429044474e-08,5.933240565525466e-09
1821,2.465372084259343e-08,1.8736827200882544e-08
1822,1.804610860745015e-08,6.015369535816717e-09
1823,1.8777104315859106e-08,4.941343334508019e-09
1824,4.21055617039201e-08,2.5263338088166165e-08
1825,6.868245350233337e-08,6.163809906922779e-09
1826,6.253669226907732e-08,2.9947145208097936e-08
1827,4.2399456390285195e-08,3.7790819362726324e-08
1828,6.145441489024961e-08,2.2013523448549677e-08
1829,6.944272712416932e-08,2.2290258527846163e-08
1830,3.235419043789989e-08,2.922314124020886e-08
1831,1.4032085715598441e-08,1.870944643656003e-08
1832,6.764984572527055e-09,5.411987746839486e-09
1833,4.51761508202253e-08,1.7375443306377747e-08
1834,3.080395316601425e-08,2.0535967593104942e-08
1835,3.7059130875150004e-08,1.5126175867408165e-08
1836,4.9061476659062464e-08,8.736974699274924e-09
1837,2.852735292435682e-08,1.1828414692161004e-08
1838,5.23909449157145e-08,1.830527018853445e-08
1839,4.754203075663099e-08,1.1885507689157748e-08
1840,4.58617570586739e-08,1.2739377330817092e-09
1841,2.8250413564023802e-08,8.988767952189392e-09
1842,2.0795621225033756e-08,1.2074877098200432e-08
1843,2.4218335781256428e-08,7.088293507706567e-09
1844,3.402907822191992e-08,6.586273748609983e-09
1845,2.17628883802945e-08,1.3392547515422848e-08
1846,3.688335681317767e-08,7.610851504580296e-09
1847,3.182001862001016e-08,8.629157832729106e-09
1848,5.309846429213394e-08,3.218088684420195e-09
1849,2.9327951622803994e-08,8.379414495607307e-09
1850,2.1724787302446202e-08,1.1541293254424545e-08
1851,1.7413483988093503e-08,1.9348316282474798e-09
1852,2.2135854038651814e-08,3.906327261660181e-09
1853,2.329053394589664e-08,8.360704129017904e-09
1854,2.5458755104068587e-08,4.1565315633818045e-09
