year,entraînant_VERB en_ADP
1929,2.785101571589621e-08
1930,1.995684684175103e-08
1931,2.167017854048936e-08
1932,1.9727165678773417e-08
1933,3.326492148403304e-08
1934,2.7557634396657704e-08
1935,3.590485420090772e-08
1936,2.5461901032031165e-08
1937,4.658713592675667e-08
1938,3.8895642262559704e-08
1939,2.7529290846928234e-08
1940,3.0429394115571995e-08
1941,3.246652724442356e-08
1942,2.1239483061208375e-08
1943,3.193558839598154e-08
1944,2.2492303131116387e-08
1945,3.703456741277478e-08
1946,4.1763314584386535e-08
1947,2.622591566137089e-08
1948,3.044128504825494e-08
1949,4.22131343214005e-08
1950,2.6588404367089424e-08
1951,3.944718685033877e-08
1952,2.9525450528922192e-08
1953,6.356557946674002e-08
1954,3.9090146231046674e-08
1955,2.7218263198847126e-08
1956,3.750090726839517e-08
1957,3.6223653410161205e-08
1958,4.549733745307094e-08
1959,3.022791617013354e-08
1960,4.221708493901133e-08
1961,5.766972321907815e-08
1962,3.55149545328004e-08
1963,4.4615767080813384e-08
1964,5.1713730186975226e-08
1965,4.2134733035936733e-08
1966,2.9357096309468034e-08
1967,3.9442685562107727e-08
1968,3.772789369804741e-08
1969,4.405504938631566e-08
1970,4.7826741678136386e-08
1971,5.5494691508783944e-08
1972,4.104117579117883e-08
1973,3.528450420731133e-08
1974,5.2880373857533414e-08
1975,3.655347313724633e-08
1976,4.513686135965145e-08
1977,4.9364967225074e-08
1978,3.445542873237173e-08
1979,4.388979846225993e-08
1980,4.3207144528878416e-08
1981,3.858585273519566e-08
1982,3.972801465579323e-08
1983,5.5574780333245144e-08
1984,4.755186822080759e-08
1985,3.7296459254321235e-08
1986,4.435919365164409e-08
1987,3.238733015109574e-08
1988,3.897759981441595e-08
1989,2.9635859988275115e-08
1990,4.90378582185258e-08
1991,3.51687923227928e-08
1992,3.636563050690711e-08
1993,3.43430848204207e-08
1994,4.008944287647864e-08
1995,3.524592884218691e-08
1996,4.056949975961288e-08
1997,3.308477047880842e-08
1998,2.5747898035888284e-08
1999,3.97607493596297e-08
2000,3.887867805474343e-08
2001,3.242096724420662e-08
2002,3.8992872930521116e-08
2003,4.8752998083045895e-08
2004,3.655976854588516e-08
2005,5.044199724579812e-08
2006,4.4473210891737835e-08
2007,3.435252438066527e-08
2008,4.4277371102907637e-08
2009,3.290052674742583e-08
2010,4.818268806161541e-08
2011,3.518054114692859e-08
2012,3.676592896795228e-08
2013,3.7374274342028e-08
2014,4.309235990263005e-08
2015,3.7238468308942174e-08
2016,3.604131748602413e-08
2017,3.370919188228072e-08
2018,3.149389371515099e-08
2019,3.188734609693711e-08
