year,mangeant_VERB en_ADP
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,1.7902721083373763e-08
1803,1.950339223455444e-09
1804,2.4718509905596875e-08
1805,5.685755422035754e-09
1806,0.0
1807,2.8469551160981155e-09
1808,1.1330369531492579e-08
1809,2.9367397402779716e-08
1810,1.4040760554223652e-08
1811,2.5070767684098882e-09
1812,0.0
1813,2.5881675469463516e-08
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,0.0
1817,7.784366928831332e-09
1818,4.768470951432846e-09
1819,1.5526575580793178e-08
1820,4.746592452420373e-09
1821,6.903041693817613e-09
1822,4.010246357211145e-09
1823,4.249555374258307e-08
1824,7.57900142644985e-09
1825,1.4969252504215547e-08
1826,1.673517004974201e-07
1827,7.373818444733615e-09
1828,5.503380862137419e-09
1829,1.0287811491593857e-08
1830,2.2961039292113128e-08
1831,7.795603274018958e-09
1832,8.117981842303834e-09
1833,5.791814139399776e-09
1834,7.467624740797874e-09
1835,3.327758690829796e-08
1836,1.2769425516978572e-08
1837,9.74104708006962e-09
1838,1.0730675015224733e-08
1839,1.4682098203877558e-08
1840,3.821813088222825e-09
1841,8.988767952189392e-09
1842,4.024959032733477e-09
1843,1.3585895297651973e-08
1844,1.536797183954164e-08
1845,1.2834524554250493e-08
1846,1.8734404472198207e-08
1847,2.6966118227278457e-09
1848,8.04522137798358e-09
1849,4.1897072478036534e-09
1850,2.7155984128057753e-09
1851,1.096404567135778e-08
1852,1.2370036550635177e-08
1853,7.166318205520383e-09
1854,7.79349651480743e-09
1855,3.02495415382964e-08
1856,1.2942972915652717e-08
1857,2.0990488514005534e-08
1858,1.9085335978274998e-08
1859,5.092173349652285e-09
1860,1.327383358784573e-08
1861,2.357981898626349e-08
1862,4.066187830886747e-09
1863,2.4973104473247076e-08
1864,1.3904711160250827e-08
1865,8.001635798393636e-09
1866,1.1190909532388105e-08
1867,5.338092634588065e-09
1868,1.432563490055827e-08
1869,1.3673853160867111e-08
1870,8.601073631098188e-09
1871,4.248470908407853e-09
1872,1.4513614310374123e-08
1873,6.584604861359367e-09
1874,3.5847653734322193e-09
1875,4.005069165202713e-09
1876,1.5115036333668286e-08
1877,1.7317484335421796e-08
1878,8.4547240319921e-09
1879,2.2604503158163425e-08
1880,9.626769603698904e-09
1881,1.1853263259808955e-08
1882,3.9932310791357395e-09
1883,1.0742875922176154e-08
1884,5.281357573494461e-09
1885,1.9981470700258797e-08
1886,7.744156427236248e-09
1887,7.834709769838355e-09
1888,5.07249175996094e-09
1889,1.3783300722991498e-08
1890,7.865263995654459e-09
1891,1.0836173736095134e-08
1892,5.829716442917743e-08
1893,1.0469308087124318e-08
1894,5.671385361338821e-09
1895,9.629783193076946e-09
