year,traînant_VERB en_ADP,traînant_VERB sans_ADP
1800,2.2009151834367913e-08,6.288328968651058e-09
1801,2.8574191901498125e-08,1.1905912700171939e-08
1802,9.622712582313397e-08,0.0
1803,5.655983770225248e-08,7.801356893821776e-09
1804,1.087614407424553e-07,0.0
1805,2.2743021466098412e-08,2.842877711017877e-09
1806,2.0171682990621775e-08,5.76333825108577e-09
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,5.6651849433819734e-08,6.798221985349073e-09
1809,4.969867006821005e-08,2.259030518203531e-09
1810,1.193464669313471e-07,2.3401267590372754e-09
1811,5.766276700569506e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,7.476928232108548e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,6.203614244526534e-08,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0
1817,4.203558034987509e-08,1.8682481339737933e-08
1818,5.48374146092101e-08,2.384235475716423e-09
1819,9.626476327184719e-08,2.070210003424222e-09
1820,1.0323838406378627e-07,0.0
1821,7.001656854299654e-08,5.9168927535324656e-09
1822,3.60922172149003e-08,6.015369535816717e-09
1823,5.237824041159911e-08,3.9530747564242574e-09
1824,3.873711751367637e-08,5.894778887238772e-09
1825,1.1447075820569808e-07,1.0566531649658373e-08
1826,6.870228019817404e-08,0.0
1827,3.594736658341091e-08,0.0
1828,5.228211819030548e-08,0.0
1829,5.4011008832066665e-08,0.0
1830,5.218418053232199e-08,6.262101504006523e-09
1831,3.430065276255334e-08,0.0
1832,1.488296597074168e-08,1.3529969367098715e-09
1833,4.8651238260255525e-08,3.4750886612755494e-09
1834,7.094243459349059e-08,9.334530925997342e-10
1835,8.924443761770817e-08,3.025235173481633e-09
1836,3.965242711956307e-08,2.016224964762614e-09
1837,5.357576071673975e-08,0.0
1838,8.205810164696459e-08,2.5248647617104325e-09
1839,8.180026089821268e-08,1.3982950353153e-09
1840,1.2611983191135323e-07,7.64362617644565e-09
1841,7.512041833024341e-08,2.5682194149112547e-09
1842,6.171603672555648e-08,6.708265054555795e-10
1843,4.961805188941071e-08,3.5441467538532834e-09
1844,7.57421432240335e-08,5.488561161115513e-09
1845,4.464182268293371e-08,2.7901139176833567e-09
1846,7.669396495657566e-08,5.854501328173001e-10
1847,4.422443566909351e-08,1.4561703842730367e-08
1848,4.022610866627474e-08,8.045221711050488e-10
1849,3.5193544078993e-08,0.0
1850,5.906426725488245e-08,0.0
1851,3.805168802273329e-08,3.2247193804124663e-09
1852,6.315229228448516e-08,7.812654523320361e-09
1853,3.463720310570295e-08,1.7915795513800958e-09
1854,5.455447649183043e-08,4.1565315633818045e-09
1855,4.4578271740647324e-08,3.1841622671890946e-09
1856,5.4360487666826884e-08,0.0
1857,5.125584578991038e-08,6.834112886711097e-09
1858,2.9851424443450014e-08,9.787352261980686e-09
1859,4.6338776371612767e-08,2.5460866748261424e-09
1860,5.629936372653077e-08,1.8308735638683515e-09
1861,3.584132307610233e-08,2.8295783494058924e-09
1862,4.698705780015189e-08,4.517986262886353e-10
1863,4.9946209501605665e-08,2.4973103585068657e-09
1864,5.418042547944424e-08,4.794728170054441e-09
1865,4.8480496284142305e-08,5.177528628053096e-09
1866,4.087114879869347e-08,1.9462451650298362e-09
1867,3.54255238477208e-08,7.76449837758264e-09
1868,4.445886503390284e-08,3.951899252285784e-09
1869,3.564969119906891e-08,6.8369265804335555e-09
1870,5.6193677266946906e-08,1.0321287824410774e-08
1871,6.478918379571041e-08,6.37270636261178e-09
1872,4.414557586152057e-08,3.0236697590169115e-09
1873,3.591602748542755e-08,3.591602570907071e-09
1874,3.4055272379873713e-08,1.7923826867161097e-09
1875,2.9179789251543298e-08,4.577221712764867e-09
1876,5.078652520751348e-08,4.836811839936672e-09
1877,5.195245544875604e-08,3.0924081073635534e-09
1878,3.6838440686803864e-08,3.0195443923020093e-09
1879,4.5209007870639084e-08,3.665595160740054e-09
1880,6.032775701214632e-08,0.0
1881,5.299105865219644e-08,6.2752567586699115e-09
1882,4.05978499706805e-08,6.655385131892899e-09
1883,2.9700892412165558e-08,6.319338941018771e-10
1884,4.423137056619453e-08,5.281357573494461e-09
1885,3.545099502844096e-08,6.445635691854079e-10
1886,4.1947515683204983e-08,0.0
1887,3.7867764035581786e-08,2.6115699047757346e-09
1888,4.7554610027589206e-08,2.3460273723685532e-08
1889,5.7639257811104017e-08,6.265136742733546e-10
1890,4.456982899414541e-08,3.9326319978272295e-09
1891,3.9520164363260335e-08,6.374220040683554e-10
1892,3.13425623232888e-08,0.0
