year,levant_VERB en_ADP,levant_VERB sans_ADP
1800,1.8864987794131594e-08,2.829747991484055e-08
1801,4.524246932646747e-08,0.0
1802,4.0281122437590966e-08,2.2378401354217203e-09
1803,5.851017803593095e-08,2.5354410126965377e-08
1804,4.2021465418429216e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,2.881669125542885e-08,0.0
1807,2.562259560079383e-08,0.0
1808,5.211970233176544e-08,2.2660739951163578e-09
1809,3.840352036377226e-08,2.259030518203531e-09
1810,3.2761775514700275e-08,3.2761775514700275e-08
1811,4.512738271955641e-08,2.5070767684098882e-09
1812,8.00162425207418e-09,2.400487453257938e-08
1813,2.300593315851529e-08,0.0
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,2.966945977789237e-08,1.3486118000116676e-08
1816,7.184571870766376e-08,2.3176038865813098e-09
1817,6.227493543065066e-08,1.556873407970727e-09
1818,5.126106117359086e-08,0.0
1819,7.24573512300708e-09,1.3456364911235141e-08
1820,5.3399165977907614e-08,0.0
1821,5.325203744632745e-08,5.9168927535324656e-09
1822,4.0102463572111446e-08,1.2030739071633434e-08
1823,6.917881023582595e-08,1.7788837070042973e-08
1824,5.5579342017608724e-08,8.421112696055388e-10
1825,4.0505039322624725e-08,0.0
1826,6.253669226907732e-08,8.807984341885344e-10
1827,2.5808365222701468e-08,1.8434546111834038e-09
1828,6.420610532131832e-08,1.2841221419535032e-08
1829,6.601345603485242e-08,1.2002446148073886e-08
1830,5.322786122974321e-08,6.262101504006523e-09
1831,4.989185953263586e-08,7.795603274018958e-09
1832,6.494385473843067e-08,4.058990921151917e-09
1833,4.170106393530659e-08,2.3167257001688313e-09
1834,6.067445212920575e-08,1.8669061851994684e-09
1835,6.050470346963266e-08,3.781543966852041e-09
1836,8.468145296092189e-08,2.688300027031687e-09
1837,3.6181031504156635e-08,9.74104708006962e-09
1838,4.292270006089893e-08,1.2624323808552163e-09
1839,6.152497888933794e-08,3.4957374772659477e-09
1840,8.025807574085775e-08,5.095750932326837e-09
1841,5.521671653241356e-08,6.420548537278137e-09
1842,4.092041550052272e-08,8.049918065466954e-09
1843,6.202256486176339e-08,1.2995204023980023e-08
