year,posant_VERB en_ADP
1800,9.432493897065797e-09
1801,6.667311436281409e-08
1802,2.9091921760482364e-08
1803,2.7304748240197796e-08
1804,2.7190360185613827e-08
1805,3.4114531644036106e-08
1806,2.881669125542885e-09
1807,1.7081731584767113e-08
1808,5.6651849433819734e-08
1809,1.8072244145628247e-08
1810,1.0764583180389309e-07
1811,1.0028307073639553e-08
1812,2.1337665856435706e-08
1813,1.8979895344273245e-07
1814,2.5173417128598885e-08
1815,1.213750626671839e-07
1816,6.952811304472561e-08
1817,6.07180652423267e-08
1818,7.271917934481564e-08
1819,5.693077564927762e-08
1820,2.7292905713238724e-08
1821,6.015507914014506e-08
1822,6.416394171537831e-08
1823,3.755421085216426e-08
1824,2.273700339117113e-08
1825,6.163810262194147e-08
1826,9.424542912750411e-08
1827,9.862482297506858e-08
1828,8.255071048957063e-08
1829,9.773420561742796e-08
1830,9.393152433645469e-08
1831,1.2940700400143612e-07
1832,1.1906373131864711e-07
1833,9.035230275067363e-08
1834,1.0548020235034983e-07
1835,1.4369867074037757e-07
1836,1.3844745572200168e-07
1837,1.308083459328202e-07
1838,1.0225702595789699e-07
1839,1.3703291845690302e-07
1840,1.808991578755581e-07
1841,1.669342641896776e-07
1842,1.7173157873529021e-07
1843,1.884304643984258e-07
1844,1.8880651092567646e-07
1845,2.3827573425450055e-07
1846,2.0842024328615594e-07
1847,2.362232010000298e-07
1848,2.099802829391706e-07
1849,2.81548352631944e-07
1850,2.640919438690048e-07
1851,2.0122249133613934e-07
1852,2.102906160317275e-07
1853,2.257390159243755e-07
1854,2.187374681383858e-07
1855,1.9688737395995304e-07
1856,1.8430794024304475e-07
1857,1.747580251620917e-07
1858,2.451731730968021e-07
1859,2.8312484712245123e-07
1860,2.1329676708203849e-07
1861,1.9335451284518967e-07
1862,2.164115447400583e-07
1863,2.2675578037478772e-07
1864,1.9226859193643975e-07
1865,1.9250993910091552e-07
1866,1.5813241527329325e-07
1867,1.5820165799595998e-07
1868,2.0204084894004382e-07
1869,2.0706121484082018e-07
1870,2.373896239582507e-07
1871,1.7631154802799642e-07
1872,1.6932549384840456e-07
1873,1.999325533463825e-07
1874,1.953697144063682e-07
1875,1.882382374418512e-07
1876,2.019368965378021e-07
1877,2.387338988718568e-07
1878,1.6426320970097663e-07
1879,1.5456592328266794e-07
1880,1.8290862113801154e-07
1881,1.4293640898666027e-07
1882,1.6904677524465228e-07
1883,1.7188601919571056e-07
1884,1.822068371737373e-07
1885,1.7983323208348168e-07
1886,1.4649363400121018e-07
1887,1.7301649624101856e-07
1888,2.1304465414040408e-07
1889,1.5286934251790285e-07
1890,1.8417825398131527e-07
1891,1.695542566348962e-07
1892,1.4229522493636182e-07
1893,1.4472279086241713e-07
1894,1.5249724771848605e-07
1895,1.625025842777461e-07
1896,1.1558177037684914e-07
1897,1.852894944143202e-07
1898,1.2844466046324499e-07
1899,1.5366667760474684e-07
1900,1.4275396109653116e-07
1901,1.7995738699205788e-07
1902,1.5369188455238714e-07
1903,1.8414750591055906e-07
1904,1.6177622175206352e-07
1905,1.5121024055098076e-07
1906,2.1451249110349124e-07
1907,1.5788529683646857e-07
1908,1.7681001307501276e-07
1909,1.7218078074421328e-07
1910,1.67806332385112e-07
1911,1.5375880613177628e-07
1912,1.5576169776210236e-07
1913,1.3946862775782165e-07
1914,1.8549980462800875e-07
1915,1.4254722291440203e-07
1916,1.362445360975073e-07
1917,1.6120643664407908e-07
1918,1.619578995359916e-07
1919,1.427216483329552e-07
1920,1.7719021894180287e-07
1921,1.332803600817556e-07
1922,1.7485706571562787e-07
1923,1.7622473746925493e-07
1924,1.663019614239758e-07
1925,1.7927030082631745e-07
1926,1.6384823631199197e-07
1927,1.5608914827325293e-07
1928,1.6339238584350824e-07
1929,1.637639694962445e-07
1930,1.7330945745186455e-07
1931,1.8818839020440237e-07
1932,1.4466588460493313e-07
1933,1.5370687211913037e-07
1934,1.6294949034545425e-07
1935,2.0465765615540477e-07
1936,1.6368364352814524e-07
1937,2.1656723214746876e-07
1938,1.400243101468135e-07
1939,1.4682288629330742e-07
1940,1.166460159574001e-07
1941,1.3576912172297284e-07
1942,1.4867637432303127e-07
1943,1.7709735233850665e-07
1944,1.8315161476323283e-07
1945,1.873513451045028e-07
1946,2.0742445894228467e-07
1947,2.0861523530868453e-07
1948,1.8264770940135122e-07
1949,2.0812057233143832e-07
1950,1.7761053960896334e-07
1951,1.4712734675015327e-07
1952,1.992968003960982e-07
1953,1.8746459140572824e-07
1954,1.9349621682707152e-07
1955,1.895892740577665e-07
1956,1.4477094723019945e-07
1957,1.4666162639898062e-07
1958,1.5717262158432277e-07
1959,1.7206659874702268e-07
1960,1.7717333244959832e-07
1961,1.8412621649588345e-07
1962,1.9913743765087588e-07
1963,1.7393682671951183e-07
1964,1.472320354523049e-07
1965,1.767470045876962e-07
1966,1.916519862810162e-07
1967,1.7256175155466735e-07
1968,1.6348753884010137e-07
1969,1.4215701260589242e-07
1970,1.719923088394637e-07
1971,1.9320374899933768e-07
1972,1.7237293548078014e-07
1973,1.57677623957575e-07
1974,1.9351966207281635e-07
1975,1.7020211506846294e-07
1976,1.7369122407018267e-07
1977,1.7806648755502863e-07
1978,1.7584150302507595e-07
1979,1.9779669768738017e-07
1980,1.8419888281329122e-07
1981,1.625666180560259e-07
1982,1.6201580488317546e-07
1983,1.96406324981524e-07
1984,2.1746281309020787e-07
1985,1.7806052332591804e-07
1986,1.714422835363827e-07
1987,2.0226804037237756e-07
1988,2.0028490066437143e-07
1989,1.7232704330183424e-07
1990,1.9506170462202377e-07
1991,2.1277118289475538e-07
1992,2.0386792887183702e-07
1993,1.6839190958295447e-07
1994,2.041396660046324e-07
1995,2.0767986946834682e-07
1996,2.1886178358521136e-07
1997,1.9563169084690912e-07
1998,2.51757225733229e-07
1999,1.9606163426111323e-07
2000,2.1427453367195426e-07
2001,2.3045174096791854e-07
2002,2.619970558281892e-07
2003,2.2168030550107076e-07
2004,2.5063263456304163e-07
2005,2.215844772113229e-07
2006,2.3883761945953097e-07
2007,2.6683122800186254e-07
2008,2.3586215558424328e-07
2009,2.2791960785362164e-07
2010,1.8186602673830876e-07
2011,1.7743230301681123e-07
2012,1.6748923015175166e-07
2013,1.6288489723681465e-07
2014,2.3278536254167648e-07
2015,1.6779475933703658e-07
2016,1.7958518166993898e-07
2017,1.823818207569161e-07
2018,1.4223881061870003e-07
2019,2.158135675722761e-07
