year,appuyant_VERB en_ADP,appuyant_VERB sans_ADP
1800,0.0,1.8864987794131594e-08
1801,2.1430643926123594e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,1.755305234496518e-08,0.0
1804,4.2021465418429216e-08,2.4718509461507665e-09
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,6.7770917766551975e-09,0.0
1810,4.680253518074551e-09,1.6380887757350138e-08
1811,0.0,0.0
1812,1.3336041604361526e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,7.784366928831332e-09,3.113746815941454e-09
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,5.175524897538253e-09,3.1053151161586356e-09
1820,5.6959108540866055e-08,2.3732962262101864e-09
1821,2.465372084259343e-08,2.7612166775270452e-08
1822,1.303330066093622e-08,1.2030739071633434e-08
1823,9.882686669016039e-09,0.0
1824,2.3579115548955087e-08,5.052667617633233e-09
1825,3.522177216552791e-09,3.522177216552791e-09
1826,7.0463874735082754e-09,9.688783109140786e-09
1827,8.295545583791863e-09,2.7651818612639545e-09
1828,5.228211819030548e-08,2.7516904310687096e-09
1829,1.5431716349212365e-08,0.0
1830,2.5048406016026092e-08,1.0436835840010872e-09
1831,2.3386808933878456e-08,0.0
1832,4.19429042608499e-08,0.0
1833,1.7375443306377747e-08,3.4750886612755494e-09
1834,6.534171426153534e-09,1.8669061851994684e-09
1835,2.3445572594482655e-08,6.050470346963266e-09
1836,2.4866775305554256e-08,3.36037508930076e-09
1837,1.8090515752078318e-08,0.0
1838,1.5780404760690203e-08,1.2624323808552163e-09
1839,2.1673573158409454e-08,2.7965900706306e-09
1840,2.1019973317493168e-08,6.3696887764308485e-09
1841,4.494383976094696e-09,6.420548537278137e-10
1842,1.2074877098200432e-08,2.683306021822318e-09
1843,1.2404512972352677e-08,1.7720733769266417e-09
1844,2.5796238034558883e-08,1.6465684371524958e-09
1845,2.3436957263811564e-08,5.580227946389016e-10
1846,1.3465353276842507e-08,4.0981509297211005e-09
1847,1.5101026207275936e-08,0.0
1848,6.43617736884039e-09,0.0
1849,1.256912263158938e-08,3.3517659758786067e-09
1850,1.6972489191857676e-08,5.431196825611551e-09
1851,1.2898877521649865e-08,1.6123597124106936e-08
1852,1.7578472011337e-08,4.557381805270211e-09
1853,9.555090940693844e-09,8.957897534855874e-09
1854,1.558699302961486e-08,2.5978321716024766e-09
1855,1.1675261646360013e-08,5.306937111981824e-10
1856,2.329735160344626e-08,1.0872097000458325e-08
1857,1.0739319655783675e-08,2.928905395993553e-09
1858,1.0766087576996597e-08,0.0
1859,1.2730433596175317e-08,3.5645213447565993e-09
1860,1.0069804545764782e-08,4.119465657481669e-09
1861,2.169343282787395e-08,5.187560159214399e-09
1862,1.5361154154236445e-08,5.873382252774562e-09
1863,2.2475793670651e-08,1.4983862484108101e-09
1864,1.965838514195184e-08,1.0068928801842958e-08
1865,1.2708479601997169e-08,4.23615986733239e-09
1866,7.784980771141647e-09,2.919367858567057e-09
1867,2.620518202434141e-08,2.426405742994575e-09
1868,2.7169307137420162e-08,2.9639244392143382e-09
1869,2.3440891894210836e-08,9.767038289254515e-10
1870,9.17447806614291e-09,1.7202146374017957e-09
1871,1.4869648623516696e-08,0.0
1872,6.047339518033823e-09,3.628403577593531e-09
1873,1.3767810169706962e-08,5.986004469882289e-10
1874,2.0313670745508716e-08,4.779687312606029e-09
1875,1.6592428764283795e-08,1.1443054281912168e-09
1876,2.4184059421727966e-08,1.209202959984168e-09
1877,2.1646856751544874e-08,3.0924081073635534e-09
1878,1.3889904337816006e-08,1.8117265465633636e-09
1879,1.1607718342077078e-08,3.665595160740054e-09
1880,2.4387816210946767e-08,5.134277003548959e-09
1881,1.1156012114099667e-08,2.7890030285249168e-09
1882,1.7969540522244642e-08,4.6587693702804245e-09
1883,6.951272890631799e-09,1.8958017378167824e-09
1884,8.582206056928499e-09,2.6406787867472303e-09
1885,8.379326565943757e-09,3.86738152613475e-09
1886,1.5488312854472497e-08,8.38950331427668e-09
1887,1.1752064710268684e-08,5.223139698529167e-09
1888,3.4239320712003973e-08,4.4384300679212174e-09
1889,7.51816386923565e-09,2.5060546970934183e-09
1890,1.9007721618891082e-08,1.9663159989136147e-09
1891,2.2309770031370135e-08,3.824531802365527e-09
1892,2.3193495124473884e-08,5.014809900671935e-09
1893,2.6481190573690583e-08,2.463366621796581e-09
1894,1.7014155417882648e-08,6.301539290376468e-09
1895,9.027921521465032e-09,6.6204757231957956e-09
