year,soit_VERB en_PRON,soit_VERB sans_ADP
1800,2.703981465401739e-07,4.779129767484847e-07
1801,2.3335589816042557e-07,5.21478966675204e-07
1802,2.774921767922933e-07,4.274274658655486e-07
1803,2.340407121437238e-07,5.460950092128769e-07
1804,4.968420626028092e-07,7.934641530482622e-07
1805,4.0653150867875354e-07,5.202466013543017e-07
1806,2.247701900159882e-07,4.841203917749226e-07
1807,2.9608332852149033e-07,6.576466375918244e-07
1808,2.9458962558237545e-07,5.642524456561659e-07
1809,3.1174620773732897e-07,5.127999429532792e-07
1810,3.4867889242562455e-07,5.686508188773587e-07
1811,2.707642989818737e-07,4.061464267124393e-07
1812,2.7205524855133945e-07,4.320877451391425e-07
1813,1.6391727797326894e-07,5.924027846049285e-07
1814,2.863476140646526e-07,2.2656075771010364e-07
1815,2.8320846801044297e-07,4.234640869071882e-07
1816,2.062667476820934e-07,3.6386381907504983e-07
1817,1.9927979622025305e-07,4.250264282745775e-07
1818,2.193496584368404e-07,5.793692139377526e-07
1819,2.4324967284883314e-07,4.813238092538086e-07
1820,3.203949825447694e-07,5.114453642818262e-07
1821,2.435787685994839e-07,6.735396596013743e-07
1822,3.2081970857689157e-07,5.484012035594787e-07
1823,2.3619621458692563e-07,3.330465574435948e-07
1824,2.324227050820582e-07,5.061088472757547e-07
1825,3.134737767140905e-07,4.200196315196081e-07
1826,2.0874923278846325e-07,3.4703458595686243e-07
1827,2.894223711247257e-07,4.6455056690319907e-07
1828,3.0452040755690746e-07,4.338498627021181e-07
1829,2.3404771276602787e-07,4.972442297912494e-07
1830,2.640519582985945e-07,5.395843913902354e-07
1831,2.822008298153378e-07,4.770909072249196e-07
1832,2.54363413887404e-07,3.6666216374214855e-07
1833,2.2240567432163516e-07,5.201049475545005e-07
1834,2.64167226760037e-07,4.6765998718001356e-07
1835,1.837830367890092e-07,4.689114518896531e-07
1836,2.775669716292839e-07,5.54461905721837e-07
1837,2.8875246016468736e-07,5.218417982177925e-07
1838,2.8152242581569453e-07,4.639439055154071e-07
1839,3.369891121707269e-07,4.187893694052036e-07
