year,touchant_VERB en_ADP
1800,4.7162465932615305e-08
1801,9.524730160137551e-08
1802,9.622712582313397e-08
1803,2.9255089017965474e-08
1804,2.9662210465630778e-08
1805,3.695740957709859e-08
1806,5.187004603612877e-08
1807,5.97860605466849e-08
1808,4.305540457494317e-08
1809,5.1957702140725814e-08
1810,6.31834211617388e-08
1811,3.760615285841595e-08
1812,3.7340914360584065e-08
1813,1.0640243885973177e-07
1814,3.1466771410748606e-09
1815,2.4275012222574333e-08
1816,2.3176038865813098e-08
1817,2.0239355080775567e-08
1818,5.6029534789558966e-08
1819,7.556266723440785e-08
1820,9.493184904840746e-08
1821,7.889190811738445e-08
1822,9.323822780515911e-08
1823,4.249555340951616e-08
1824,1.8526447931321854e-08
1825,4.402721387464226e-08
1826,5.725189922145546e-08
1827,7.650336897313537e-08
1828,5.6868266540277546e-08
1829,6.42988169374803e-08
1830,3.861629238599562e-08
1831,1.2472964883158966e-08
1832,5.682587200794842e-08
1833,4.865124125785769e-08
1834,1.4935249481595747e-08
1835,3.781543966852041e-08
1836,2.8899226123257904e-08
1837,7.862416850912268e-08
1838,5.7440672662778525e-08
1839,2.3771015378315496e-08
1840,4.203994591334137e-08
1841,3.9165346521485844e-08
1842,3.5553803456878086e-08
1843,3.36693943836508e-08
1844,4.281077892187568e-08
1845,4.073566373108406e-08
1846,3.8639709210031015e-08
1847,5.2853593501822616e-08
1848,2.735375304041554e-08
1849,5.865590591014325e-08
1850,5.295417082606946e-08
1851,4.772584816237213e-08
1852,4.49227646193151e-08
1853,5.0761421732659073e-08
1854,5.0397943596180994e-08
1855,2.175844215912548e-08
1856,3.6240326295455816e-08
1857,6.59003731584562e-08
1858,6.900083349137276e-08
1859,6.619825310139049e-08
1860,7.506581312100025e-08
1861,4.7631232291678316e-08
1862,4.789065499721801e-08
1863,5.4441368746438457e-08
1864,6.13725177345259e-08
1865,4.848049783845454e-08
1866,5.93604774223877e-08
1867,4.270474107670452e-08
1868,3.1615194018286275e-08
1869,9.718203086706012e-08
1870,8.486392033546508e-08
1871,5.523012092112367e-08
1872,3.809823734268747e-08
1873,6.524744833313889e-08
1874,7.647499805640834e-08
1875,7.323554740423788e-08
1876,4.5949712923487596e-08
1877,4.391219254884504e-08
1878,7.246906363889138e-08
1879,9.225081498698273e-08
1880,4.685027832351807e-08
1881,5.5780059682319916e-08
1882,6.389169726617183e-08
1883,4.044376922252013e-08
1884,5.545425452169184e-08
1885,4.5764013079097055e-08
1886,5.0337018109303244e-08
1887,5.223139609711325e-08
1888,4.818867238576274e-08
1889,5.388017498830777e-08
