year,luttant_VERB en_ADP,luttant_VERB sans_ADP
1800,3.144164484325529e-09,3.772997558826319e-08
1801,3.095537337571841e-08,6.429193044610315e-08
1802,0.0,4.4756802708434407e-08
1803,3.900678446910888e-09,2.9255089017965474e-08
1804,2.2246657849223084e-08,5.19088700912107e-08
1805,0.0,1.1371510844071508e-08
1806,8.645007376628655e-09,1.729001475325731e-08
1807,1.7081731584767113e-08,4.839823830593559e-08
1808,2.2660739951163578e-09,3.172503681980743e-08
1809,2.0331274441787173e-08,7.454800510231507e-08
1810,1.8721014072298203e-08,4.9142660163425944e-08
1811,1.504245972228091e-08,2.0056613703189896e-08
1812,2.6672082320544632e-09,9.068507855758412e-08
1813,0.0,4.3136125782439194e-08
1814,6.293354282149721e-09,9.440031645269187e-08
1815,1.3486118000116676e-08,2.966945977789237e-08
1816,1.1588019432906549e-08,8.806894413737609e-08
1817,1.556873407970727e-09,5.1376821019744057e-08
1818,3.5763532135746345e-09,2.98029441125891e-08
1819,9.315945348475907e-09,4.554461963124368e-08
1820,1.0679833017945839e-08,6.882558878373857e-08
1821,2.3667571014129862e-08,8.382264993223032e-08
1822,2.0051231786055723e-08,2.8071724500478012e-08
1823,7.906149512848515e-09,5.138997105635923e-08
1824,6.736890156844311e-09,2.5263338088166165e-08
1825,1.761088586071935e-08,5.547429182684027e-08
1826,2.642395191543301e-09,6.077509140389736e-08
1827,3.6869092223668076e-09,4.147772858509313e-08
1828,8.255071293206129e-09,5.870272801189458e-08
1829,6.858540846366168e-09,4.6295149047637096e-08
1830,2.0873671680021744e-09,5.4271545479878114e-08
1831,1.5591206548037917e-08,1.1693404644574912e-07
1832,9.470978667991403e-09,6.088486204092192e-08
1833,4.401778908036391e-08,5.907650457714908e-08
1834,1.6802155666795215e-08,5.6940637760405366e-08
1835,1.2100940693926532e-08,4.5378527602224494e-08
1836,1.747394939854985e-08,4.234072503717101e-08
1837,1.0436836284100082e-08,4.800944797267448e-08
1838,1.4517972157790382e-08,3.5348108440302894e-08
1839,1.1885507689157748e-08,4.4046291947097416e-08
1840,8.917564020549662e-09,3.630722522629526e-08
1841,9.630822361827995e-09,3.852329122366882e-08
1842,2.0124794275488966e-08,4.628703065279183e-08
1843,1.8311423488626133e-08,4.84366691200222e-08
1844,2.4149668931272572e-08,5.0494762149355665e-08
1845,1.8414752223083752e-08,4.798996133814626e-08
1846,2.2832554735785493e-08,6.90831152283522e-08
1847,2.8044762068191176e-08,3.613459931273155e-08
1848,2.413566591030758e-08,3.861706587837688e-08
1849,9.217356655710773e-09,3.9383248662261394e-08
1850,3.530277936647508e-08,2.1724787302446202e-08
1851,3.031236062156495e-08,7.352360142931502e-08
1852,1.6276363368206148e-08,2.7344290387532055e-08
1853,1.1943863675867306e-08,4.180352242144636e-08
1854,1.0391328686409906e-08,4.8839246424847715e-08
1855,2.0697054736729115e-08,3.767925349507095e-08
1856,2.4332790005132665e-08,6.109082961724965e-08
1857,8.298565390418844e-09,5.564920352307823e-08
1858,2.691521838737998e-08,5.431980509840173e-08
1859,2.189634606963864e-08,4.633877614956816e-08
1860,1.1442959635399319e-08,4.8518150469467614e-08
1861,2.2636625240934904e-08,5.2818793783160345e-08
1862,1.3102160245637151e-08,4.698705791117419e-08
1863,2.2475793670651e-08,4.9946209501605665e-08
1864,2.685047562067666e-08,5.753673448793961e-08
1865,1.4591217123438582e-08,2.5416959203994338e-08
1866,1.8489329178805747e-08,3.7951781550749075e-08
1867,1.649955905236311e-08,4.124889763090778e-08
1868,3.754304200853653e-08,5.77965266757019e-08
1869,1.025539064780645e-08,5.567211758261692e-08
1870,1.490852596930381e-08,3.612450871770534e-08
1871,1.0621176826930423e-08,8.072094548339237e-08
1872,1.4513614310374123e-08,3.265563108811875e-08
1873,2.334541804316359e-08,4.4296431578327855e-08
1874,1.6131444624534197e-08,4.1822262264457066e-08
1875,2.574687130163511e-08,6.86583252473838e-08
1876,7.255217759905008e-09,5.1391127353639376e-08
1877,6.80329748092845e-09,5.257093604882357e-08
1878,1.4493812372506909e-08,2.717589886458427e-08
1879,1.1607718342077078e-08,2.443730195977878e-08
1880,1.5402831010646878e-08,5.7760616734015e-08
1881,1.1853263259808955e-08,4.53212992135299e-08
1882,9.983077475794744e-09,2.7952617998039386e-08
1883,1.516641390253426e-08,2.022188394512625e-08
1884,7.922036360241691e-09,1.386356363042296e-08
1885,2.0626034213933053e-08,3.4161868001092444e-08
1886,1.355227396970804e-08,4.194751518360462e-08
1887,1.1099172247952538e-08,3.9826441478041374e-08
1888,1.3315291091942072e-08,4.3750241873752316e-08
1889,1.6915869149869422e-08,3.884384724983647e-08
1890,2.2940351840361473e-08,2.2940352728539892e-08
1891,1.1473596295275001e-08,1.7847816891070067e-08
1892,9.402768341715273e-09,1.2537024751679837e-08
1893,2.155445777418663e-08,1.847524977449666e-08
1894,3.0877544077156927e-08,5.1672622625176245e-08
1895,1.3842813118003505e-08,3.009307270041006e-08
1896,1.7691087705884456e-08,2.3588115349859606e-08
1897,2.2724183423861177e-08,2.505486740300711e-08
1898,3.281845906144554e-08,1.9804241913057297e-08
1899,1.6029977345510815e-08,3.537649995166703e-08
1900,1.038210584169974e-08,2.6993476454073573e-08
1901,2.235495527580511e-08,2.6825947685438223e-08
1902,1.6694965410124496e-08,2.7988617645746672e-08
1903,1.2420506401156217e-08,1.9980815224585058e-08
1904,1.5048950530172078e-08,1.5048950530172078e-08
1905,1.806265698123255e-08,1.651442893546573e-08
1906,1.594697174311932e-08,2.211999294843281e-08
1907,1.3885677496716653e-08,3.651418722938615e-08
1908,1.2769611812402104e-08,1.3260750719723546e-08
1909,1.4852655993990993e-08,2.0903737130151256e-08
1910,1.2825961626106164e-08,1.6032451699565797e-08
1911,1.1704822888702893e-08,2.128149745317387e-08
1912,2.0837685354990754e-08,2.8130874241139026e-08
1913,1.4318072560914885e-08,3.606033122105501e-08
1914,1.4063162190325329e-08,3.348371946376716e-08
1915,4.2410743361642744e-08,1.8849219074468238e-08
1916,1.538244731591476e-08,4.1752356239044275e-08
1917,2.52227767560953e-08,3.3995915860174364e-08
1918,1.378365155346728e-08,1.6080927700556913e-08
1919,1.1049418269237776e-08,2.8544330010760177e-08
1920,1.8930579326337238e-08,2.0445025228355007e-08
1921,9.844571380313027e-09,2.1203693689741954e-08
1922,1.4018077365562931e-08,2.0658220023506146e-08
1923,1.1677542488541803e-08,2.441668023323018e-08
1924,7.734974438733389e-09,2.836157442231979e-08
1925,7.698724324711748e-09,2.969508017258704e-08
1926,1.89484357093761e-08,2.452150482668003e-08
1927,8.919379901328739e-09,3.2332752919472796e-08
1928,2.6279895593006586e-08,3.085031252680892e-08
1929,1.5596569369336066e-08,1.67106100068537e-08
1930,1.6805765667982087e-08,1.575540586884472e-08
1931,1.1405356659111021e-08,1.4826963656844327e-08
1932,2.082311922890767e-08,1.53433514782364e-08
1933,1.2617728861741284e-08,1.6058926410877916e-08
1934,1.9170528275935794e-08,2.036868629318178e-08
1935,2.154291145473053e-08,2.8723881939640705e-08
