year,aurait_VERB ôté_VERB,aurait_VERB oté_VERB,aurait_VERB sauté_VERB
1800,3.772997558826319e-08,0.0,3.144164484325529e-09
1801,3.809892135109294e-08,0.0,0.0
1802,2.4616241489638924e-08,0.0,0.0
1803,6.436119548425268e-08,0.0,3.900678446910888e-09
1804,3.460591457837836e-08,0.0,2.4718509461507665e-09
1805,2.55858996212055e-08,0.0,8.528632911009026e-09
1806,1.729001475325731e-08,0.0,2.881669125542885e-09
1807,1.3380689267705748e-07,0.0,2.562259560079383e-08
1808,1.5862518409903714e-08,0.0,9.064295980465431e-09
1809,3.388545621874073e-08,0.0,1.8072244145628247e-08
1810,8.658469141664682e-08,0.0,9.360507036149102e-09
1811,1.0028307073639553e-08,0.0,0.0
1812,1.8670457180292033e-08,0.0,0.0
1813,6.901780125190271e-08,0.0,7.764502640839055e-08
1814,2.2026739543434815e-08,0.0,1.2586708564299443e-08
1815,6.47333635583891e-08,0.0,0.0
1816,2.0858434979231788e-08,0.0,0.0
1817,4.981994905506326e-08,0.0,2.1796227045456362e-08
1818,5.48374146092101e-08,1.1921177378582115e-09,4.768470951432846e-09
1819,9.626476327184719e-08,0.0,0.0
1820,7.238553223487543e-08,5.933240565525466e-09,0.0
1821,6.7058117281249e-08,0.0,1.0847637454958203e-08
1822,4.210758675071702e-08,1.0025615893027862e-09,3.0076847679083585e-09
1823,2.174191138237802e-08,0.0,0.0
1824,6.14741253457396e-08,8.421112696055388e-10,2.6105450245950124e-08
1825,5.547429182684027e-08,0.0,8.805443041381977e-10
1826,6.253669226907732e-08,1.7615968683770689e-09,3.5231937367541377e-09
1827,5.7147094167930845e-08,0.0,4.608636583469661e-09
1828,4.494427585655103e-08,2.7516904310687096e-09,2.659967357487858e-08
1829,8.487444347338169e-08,0.0,9.430493719264632e-09
1830,5.0096812032052185e-08,0.0,1.878630406793036e-08
1831,7.639690835503643e-08,0.0,9.354723218280014e-09
1832,7.035583848846727e-08,0.0,2.3000948701223933e-08
1833,9.498575082034222e-08,0.0,3.243415847009601e-08
1834,3.453776287187793e-08,0.0,0.0
1835,8.016873209726327e-08,0.0,1.2100940693926532e-08
1836,3.8308275662757296e-08,0.0,5.376600054063374e-09
1837,2.922314124020886e-08,1.3915781860163179e-09,1.6003149028165353e-08
1838,4.7341213615936795e-08,6.312161904276081e-10,5.680945491803868e-09
1839,5.942753844578874e-08,0.0,6.9914751765765e-10
1840,4.649872664685972e-08,1.2739377330817092e-09,2.5478754661634184e-09
1841,4.237562123421412e-08,0.0,8.988767952189392e-09
1842,5.0311989241436095e-08,0.0,1.0062397137744483e-08
