year,travaillant_VERB en_ADP
1800,1.2262241000371432e-07
1801,1.3096504858367553e-07
1802,1.4993528907325526e-07
1803,9.361628405812894e-08
1804,7.415552971679062e-08
1805,6.254330742194725e-08
1806,6.051504897186533e-08
1807,1.6512339584551228e-07
1808,8.157866204783204e-08
1809,5.4216732658929345e-08
1810,7.488405628919281e-08
1811,1.5543875520052097e-07
1812,3.200649700829672e-08
1813,1.35159851311073e-07
1814,3.4613449884091096e-08
1815,1.0249449644561537e-07
1816,7.416332437060191e-08
1817,8.874178480944295e-08
1818,1.335171828653614e-07
1819,6.003609342997152e-08
1820,9.374520004712394e-08
1821,1.1833785862336299e-07
1822,1.0727409005539812e-07
1823,9.981513537926645e-08
1824,9.179012838700373e-08
1825,1.2944001070991362e-07
1826,1.3652375230321923e-07
1827,1.8711064048160253e-07
1828,4.586150598173688e-08
1829,1.0202079181453882e-07
1830,1.1376150865771706e-07
1831,1.0134283767726515e-07
1832,9.065079353831607e-08
1833,1.135195623058749e-07
1834,1.0454674281845655e-07
1835,8.924443761770817e-08
1836,1.0753200285762432e-07
1837,1.4820307114860043e-07
1838,1.0667553418386433e-07
1839,1.629013781645483e-07
1840,1.5605736924939606e-07
1841,1.091493242455499e-07
1842,1.1873629146563758e-07
1843,1.0278025541765601e-07
1844,1.2239492197529955e-07
1845,1.61268587817176e-07
1846,1.0421012164307797e-07
1847,1.7150451014913415e-07
1848,1.1504666730388635e-07
1849,1.508294644736452e-07
1850,1.072661364176497e-07
1851,1.8574384030856095e-07
1852,1.9075898194387264e-07
1853,1.5049267765299135e-07
1854,1.402829354901769e-07
1855,1.1250706677401467e-07
1856,1.2218166034472233e-07
1857,1.6401870084337133e-07
1858,1.0766087210622999e-07
1859,1.1355546392088911e-07
1860,1.2724570996880402e-07
1861,1.3016060462778256e-07
1862,1.513525447471853e-07
1863,1.423467000383205e-07
1864,1.1459400028890343e-07
1865,1.4167602024883763e-07
1866,1.3039841917361628e-07
1867,2.0867089389753346e-07
1868,1.7289559917088582e-07
1869,1.4162204831080771e-07
1870,1.5539271869258187e-07
1871,1.6887671794307835e-07
1872,1.4634561074089447e-07
1873,1.3288929512356162e-07
1874,1.6071698949460256e-07
1875,1.2644574576281542e-07
1876,1.7110221706140294e-07
1877,1.5462039471003663e-07
1878,1.509772169505652e-07
1879,1.6434084670891025e-07
1880,1.6237151090336965e-07
1881,1.7779894245784078e-07
1882,1.5906371042540002e-07
1883,1.5482380000264584e-07
1884,2.066331168393276e-07
1885,1.7338760655016827e-07
1886,2.5555716831604514e-07
1887,1.9456195854417047e-07
1888,1.94022812038952e-07
1889,2.2053280934741792e-07
1890,1.9400983575224018e-07
1891,2.1289895490994581e-07
1892,1.8304056137452562e-07
1893,2.5865350083975613e-07
1894,1.8778587618228926e-07
1895,2.16670126507168e-07
1896,2.293944323383812e-07
1897,3.041544367476945e-07
1898,2.4953345878486743e-07
1899,3.156247334601403e-07
1900,3.1924976062747135e-07
1901,3.766809940630722e-07
1902,5.013399595465984e-07
1903,4.6657904384517224e-07
1904,4.939280406901503e-07
1905,4.0408742441044865e-07
1906,3.852994261421827e-07
1907,3.800561371170019e-07
1908,3.536200117171262e-07
1909,4.5438123552621335e-07
1910,4.4249566644172234e-07
1911,5.868372463524452e-07
1912,6.897273685524397e-07
