year,dut_VERB aider_VERB,dut_VERB céder_VERB
1800,0.0,1.1004575384276905e-07
1801,0.0,9.524730337773235e-09
1802,0.0,5.370816325012129e-08
1803,0.0,2.9255089017965474e-08
1804,0.0,3.707776485839531e-08
1805,0.0,6.538618890772341e-08
1806,0.0,4.610670600868616e-08
1807,2.8469551160981155e-09,8.54086508184082e-08
1808,0.0,9.517511045942229e-08
1809,0.0,1.1295152546608733e-07
1810,0.0,2.574139479349924e-08
1811,0.0,1.278609147448151e-07
1812,0.0,4.5342538612658245e-08
1813,0.0,4.888760685162197e-08
1814,0.0,5.034683425719777e-08
1815,0.0,9.440282155992463e-08
1816,0.0,1.1356259221884102e-07
1817,0.0,1.120948880384276e-07
1818,0.0,1.4782260393531033e-07
1819,0.0,1.8528379541749018e-07
1820,0.0,1.6257078527814883e-07
1821,0.0,1.0749022294476163e-07
1822,0.0,1.0927921323400369e-07
1823,0.0,1.373693407913379e-07
1824,0.0,1.456852487535798e-07
1825,0.0,1.4440927031955653e-07
1826,0.0,1.0041102171953753e-07
1827,9.217273055917019e-10,1.3641563612054597e-07
1828,5.503380862137419e-09,1.5134297370877903e-07
1829,1.714635211591542e-09,1.4488666977285902e-07
1830,0.0,1.6177095574221312e-07
1831,0.0,2.1515865000765189e-07
1832,4.058990921151917e-09,1.4882965615470312e-07
1833,0.0,2.409394710412016e-07
1834,3.733812370398937e-09,2.0629313723929954e-07
1835,7.563087933704082e-09,1.9815290386304696e-07
1836,1.344150035720304e-08,2.090153259359795e-07
1837,2.0873671680021744e-09,2.46309326712435e-07
1838,5.049729523420865e-09,3.1687054047324636e-07
1839,1.3982950353153e-09,2.3840929941343347e-07
1840,0.0,3.5479166626828373e-07
1841,4.494383976094696e-09,3.409311375435209e-07
1842,1.609983613093391e-08,3.5889217997464584e-07
1843,1.4767278067040479e-08,3.727260775576724e-07
1844,1.6465684371524958e-09,4.412803207287652e-07
1845,1.0602432709561072e-08,2.7845337058352015e-07
1846,3.5127007969038004e-09,3.694190411351883e-07
1847,2.6966118227278457e-09,3.16042900294633e-07
1848,1.206783295515379e-08,3.749073300696182e-07
1849,1.005529792763582e-08,4.105913262719696e-07
1850,1.0183494048021657e-08,3.272295998613117e-07
1851,1.2898877521649865e-09,3.1795732979844615e-07
1852,6.510545436100301e-10,2.81255552181392e-07
1853,3.5831591027601917e-09,3.386085438705777e-07
1854,1.0391328908454511e-09,3.31483391846632e-07
1855,3.1841622671890946e-09,3.6936282299393497e-07
1856,6.212626857404757e-09,3.9553725628138636e-07
1857,1.4644527812635033e-09,3.4951605698552157e-07
1858,3.9149408159744326e-09,3.98345235907982e-07
1859,0.0,5.204201443120837e-07
1860,1.7393299245327398e-08,4.7373853817589406e-07
1861,8.488735048217677e-09,4.3339707644918235e-07
1862,1.3553959066214816e-09,4.364374603937904e-07
1863,1.9978483312144135e-09,3.4812507010428817e-07
1864,8.151037178549814e-09,3.6679668369288265e-07
1865,9.41368871743009e-10,4.0102312937051465e-07
1866,1.1677471434268227e-08,3.984937109180464e-07
1867,1.5043715606566366e-08,3.261089318584709e-07
1868,8.397785578040384e-09,4.095155645700288e-07
1869,8.30198221279943e-09,3.530784340455284e-07
1870,3.4404292748035914e-09,4.3005366023862734e-07
1871,2.1242354542039266e-09,3.3669132903924037e-07
1872,1.8142017887967654e-09,4.360131526937039e-07
1873,5.9860045809045914e-09,3.7113227335794363e-07
1874,6.572069999322139e-09,3.6445115370042913e-07
1875,6.865832347102696e-09,3.884916850438458e-07
1876,4.232210137899983e-09,3.9540935858894954e-07
1877,5.566334504436554e-09,3.4573122320580296e-07
1878,3.0195443923020093e-09,4.559511808110983e-07
1879,1.0385853066452455e-08,3.628939282407373e-07
1880,7.059631101924424e-09,3.382205022717244e-07
1881,9.064259565150223e-09,3.4235011980854324e-07
1882,1.2645231528551903e-08,3.1280310963666125e-07
1883,1.3902545781263598e-08,2.925853834767622e-07
1884,1.2543224237049344e-08,3.287645142791007e-07
1885,1.160214413431504e-08,3.989848380570038e-07
1886,1.2906927748801422e-09,4.465796905606112e-07
1887,5.876032105334161e-09,3.577850691272033e-07
1888,1.2047167707862627e-08,3.7029190025350545e-07
1889,4.385595886446936e-09,3.00726554769426e-07
1890,5.243509182406569e-09,3.401726473839517e-07
1891,5.099376032546843e-09,3.932893832825357e-07
1892,1.8805537127519756e-09,4.118412562092999e-07
1893,9.23762488724833e-09,4.6126538677526696e-07
1894,1.2603078580752936e-08,3.894351152666786e-07
1895,1.023164486468886e-08,3.81580150587979e-07
1896,1.4152869098893461e-08,3.160807580115943e-07
1897,1.3401440845939305e-08,3.490201549993799e-07
1898,2.8291773368493978e-09,3.389354503724462e-07
1899,7.185851913504848e-09,3.2502160252079193e-07
1900,4.671947717582725e-09,3.1405872391587764e-07
1901,3.912117296778206e-09,3.593559085857123e-07
1902,1.9641135384773634e-09,2.735028203915135e-07
1903,3.2401321625741275e-09,2.9107187060617434e-07
1904,4.299700151477737e-09,3.3107690455835836e-07
1905,8.773290538499623e-09,3.1635451591682795e-07
1906,1.18316245689698e-08,2.721273517636291e-07
1907,6.1714118260169926e-09,2.72570702009034e-07
1908,6.875944702500192e-09,2.774934841909271e-07
1909,6.0510818578052294e-09,3.0145389473545947e-07
1910,1.2825961626106164e-08,2.971347896618681e-07
1911,1.755723388896513e-08,3.0645355764136184e-07
1912,9.376957876838787e-09,3.60491952733355e-07
1913,8.484783542428431e-09,2.9855831940039934e-07
1914,1.0045115850232378e-08,3.716692731359217e-07
1915,5.890381071793627e-09,3.1690248647464614e-07
1916,7.69122365795738e-09,3.296238730854384e-07
1917,3.289927263949721e-08,3.509255748213036e-07
1918,1.2635013924011673e-08,3.491858251436497e-07
1919,1.3811772170413406e-08,3.2779939829197247e-07
1920,6.057785384427916e-09,2.9607426199618203e-07
1921,4.543648568500203e-09,2.711043691761006e-07
1922,1.475587119159627e-08,2.5822774318839947e-07
1923,1.0615948120573648e-08,2.781378327654238e-07
1924,1.5469948877466777e-08,2.9650735200448253e-07
1925,4.399271169575059e-09,2.83752996210751e-07
1926,6.687683296036084e-09,2.6750731763058866e-07
1927,1.2264147031260109e-08,3.099484615631809e-07
1928,7.998228745975666e-09,3.599203068915813e-07
1929,8.912325100141061e-09,2.76282065669875e-07
1930,7.352522590764465e-09,3.046044980692386e-07
1931,9.124285327288817e-09,3.011014086951036e-07
1932,9.863582839386709e-09,2.8056413725607854e-07
1933,2.2941324395731044e-09,3.200314893092582e-07
1934,1.677421224144382e-08,2.6479293069314735e-07
1935,7.180970484910176e-09,2.501371341168124e-07
1936,1.4549657478823974e-08,2.6189383106611785e-07
1937,1.2591118370153254e-08,2.3797213088982971e-07
1938,7.779128452511941e-09,2.3985646180335607e-07
1939,1.988226472349197e-08,2.8141053576291597e-07
1940,2.5357829169792012e-09,3.271159982887184e-07
1941,3.246652724442356e-08,3.3351980732732045e-07
1942,3.034211770724937e-09,1.9115533689273434e-07
1943,1.1612940831184915e-08,2.700008678857557e-07
1944,3.2131861615880553e-09,3.3095818707806757e-07
1945,8.714016175304096e-09,3.616316632815142e-07
1946,6.960552134671616e-09,2.909510783410951e-07
1947,1.3112957830685446e-08,3.4451318242645357e-07
1948,6.523132700664291e-09,2.6636124061951705e-07
1949,1.9634016634739737e-09,2.297179975130348e-07
1950,1.2762433776458693e-08,1.9250003902016033e-07
1951,7.462981344019681e-09,2.1322803434031812e-07
1952,1.1599284199803606e-08,1.8347958530284814e-07
1953,3.232148326759443e-09,2.2625037843226892e-07
1954,4.886268278880834e-09,1.9251896787864098e-07
1955,1.407841132561316e-08,1.830193525620416e-07
1956,4.360570571293465e-09,1.7965551535326085e-07
1957,9.718541527092839e-09,1.8818630564965133e-07
1958,2.4816730892496253e-09,1.8447103400376363e-07
1959,7.750747599288843e-09,1.9841914422613627e-07
1960,9.689166802218097e-09,1.972437502217872e-07
1961,7.64297514166401e-09,2.1747737832811254e-07
1962,6.976152100435229e-09,2.2387105502730265e-07
1963,5.1728425987107585e-09,1.8492912090550817e-07
1964,1.3993127545575135e-08,2.1172209585529345e-07
1965,2.73602163147757e-09,2.035600203953436e-07
1966,7.200797291773142e-09,2.0993093130527996e-07
1967,2.9582012395223956e-09,1.7354781789435947e-07
1968,6.737123747768692e-09,2.1424052931706683e-07
1969,1.1354394757745467e-08,1.6577415351548552e-07
1970,3.6789800095249348e-09,1.821095167997555e-07
1971,2.0553589941130213e-09,1.7162247445412504e-07
1972,6.669190977248718e-09,1.8058116779684497e-07
1973,5.513203671370093e-09,1.7697384180337394e-07
1974,6.750686232237513e-09,1.4851509888558212e-07
1975,3.998036124386317e-09,1.4564274408712663e-07
1976,9.141642998145016e-09,1.5312251377963548e-07
1977,6.464460078348111e-09,1.4985793939104042e-07
1978,6.534650598410963e-09,1.5029695532575715e-07
1979,6.437170796402825e-09,1.462993282075331e-07
