year,aient_VERB eu_VERB,aient_VERB su_VERB
1800,1.7292904885835014e-06,7.231578535993322e-08
1801,1.4263283674154081e-06,1.2382149350287364e-07
1802,1.6403367908424116e-06,5.818384352096473e-08
1803,1.6948447409959044e-06,8.581492494386112e-08
1804,1.3273839840621804e-06,7.415552971679062e-08
1805,1.7682699535725988e-06,9.950071699904584e-08
1806,1.685776396698202e-06,6.627838899930794e-08
1807,1.4889575368215446e-06,7.686778502602465e-08
1808,1.5658571328458493e-06,6.798222074166915e-08
1809,1.6061707128756098e-06,7.680704072754452e-08
1810,1.4110964912106283e-06,6.31834211617388e-08
1811,1.4290337730926694e-06,8.022645658911642e-08
1812,1.6803411426735693e-06,6.934741492159446e-08
1813,1.6794331259006867e-06,2.5881675469463516e-08
1814,1.5922186094030621e-06,4.405347908686963e-08
1815,2.0121287889196537e-06,8.091670444798638e-09
1816,1.5018073327155435e-06,9.733936678912869e-08
1817,1.7795063058656524e-06,1.3856173097792635e-07
1818,1.633201350159652e-06,7.033494853203592e-08
1819,1.928400706674438e-06,7.349245834120666e-08
1820,1.561628891977307e-06,1.3290458866777044e-07
1821,1.9308793071104446e-06,9.960103142248045e-08
1822,1.6191369240914355e-06,9.323822780515911e-08
1823,1.298585061704216e-06,4.4472091786929013e-08
1824,1.5292740727090859e-06,9.936913158981042e-08
1825,1.6369318700526492e-06,6.868245350233337e-08
1826,1.4709333981954842e-06,5.989429041619587e-08
1827,1.6286921891150996e-06,9.678137047330893e-08
1828,1.709716912046133e-06,8.89713192009367e-08
1829,1.7334962194581749e-06,1.5860375413012662e-07
1830,1.974649421754293e-06,6.470838087579978e-08
1831,1.7165917824968346e-06,1.2005229166334175e-07
1832,1.6168313550224411e-06,1.2582871988797706e-07
1833,1.4583788470190484e-06,7.29768601104297e-08
1834,1.7511580381324166e-06,5.974099792638299e-08
1835,1.5723659316790872e-06,8.470658485748572e-08
1836,1.5256102869898314e-06,8.535352691296794e-08
1837,1.723469608805317e-06,8.906100390504434e-08
1838,1.6329562413375243e-06,6.627769977285425e-08
1839,1.6548822259210283e-06,8.110111338055503e-08
1840,1.546560383758333e-06,9.17235141173478e-08
1841,1.8401292436465155e-06,9.309795245826535e-08
1842,1.6750537952248123e-06,5.433694738599115e-08
1843,1.8606770026963204e-06,7.442707783411606e-08
1844,1.6624852605673368e-06,7.464443285698508e-08
1845,1.6629079482299858e-06,7.700714377278928e-08
1846,1.8359716023041983e-06,8.430481557297753e-08
1847,1.5386866607514094e-06,9.16848037491036e-08
1848,1.6380071201638202e-06,7.240699773092274e-08
1849,1.6767208990131621e-06,5.446619866233959e-08
1850,1.7176159872178687e-06,6.177986477950981e-08
1851,1.6555709407839458e-06,8.061798695280231e-08
1852,1.7265966789636877e-06,5.208436348880241e-08
1853,1.7324574628219125e-06,7.882950114890264e-08
1854,1.6407908560722717e-06,8.520889593910397e-08
1855,1.5406038755827467e-06,6.315255518529739e-08
1856,1.5697237358835991e-06,9.422484481547144e-08
1857,1.6118742678372655e-06,6.931743001814539e-08
1858,1.6095300452434458e-06,9.053300686900911e-08
1859,1.4522878473144374e-06,1.0795407234809318e-07
1860,1.5837056253076298e-06,9.9324893199082e-08
1861,1.624649485165719e-06,5.8949545689301885e-08
1862,1.5826506114535732e-06,9.03597268120393e-08
1863,1.808552156035148e-06,1.3085906402920955e-07
1864,1.6028775462473277e-06,1.0356612278883404e-07
1865,1.6031511904657236e-06,9.319551708131257e-08
1866,1.6489561858179513e-06,5.4494865509013835e-08
1867,1.5038863239169586e-06,6.454239098729886e-08
1868,1.6375682889702148e-06,5.0386717020955984e-08
1869,1.5920272744551767e-06,1.0353060275747339e-07
1870,1.6623007468297146e-06,6.995539791887495e-08
1871,1.6059219660746749e-06,6.160282595146782e-08
1872,1.718049134069588e-06,8.284855113060985e-08
1873,1.6234043869189918e-06,8.61984617017697e-08
1874,1.5169532616710057e-06,8.96191352239839e-08
1875,1.5139161178012728e-06,7.209123964457831e-08
1876,1.5846604810576537e-06,8.1621202241422e-08
1877,1.6185663298529107e-06,1.0390490956524445e-07
1878,1.574994371367211e-06,9.179414917070972e-08
