year,servant_VERB en_ADP,servant_VERB sans_ADP
1800,5.65949598296811e-08,2.2009151834367913e-08
1801,4.0480102825313224e-08,1.904946067554647e-08
1802,1.1189200677108602e-07,4.2518962573012686e-08
1803,4.4857802805609026e-08,2.145373123596528e-08
1804,9.88740396223875e-08,1.730295728918918e-08
1805,1.5635826855486812e-07,1.421438877713399e-08
1806,9.797675115663651e-08,3.7461698632057505e-08
1807,8.256169792275614e-08,2.2775640928784924e-08
1808,8.384473915157287e-08,1.3596443970698147e-08
1809,1.0843346331945725e-07,6.7770917766551975e-09
1810,6.31834211617388e-08,1.4040760554223652e-08
1811,1.2033967777824728e-07,1.0028307073639553e-08
1812,9.868670503010435e-08,1.0668832928217853e-08
1813,6.326631751818468e-08,1.7254450312975678e-08
1814,6.922689976818219e-08,6.293354282149721e-09
1815,7.012781111370714e-08,3.236668177919455e-08
1816,7.416332437060191e-08,3.0128852301913867e-08
1817,8.718491140147222e-08,1.2454987263765815e-08
1818,9.179306914575136e-08,4.768470951432846e-09
1819,8.487860725381324e-08,2.380741526142316e-08
1820,1.4239777712532486e-07,3.322614716694261e-08
1821,7.198886198267473e-08,2.5639868894700157e-08
1822,4.3110148340019805e-08,1.2030739071633434e-08
1823,1.0574474762492514e-07,1.087095569118901e-08
1824,1.1284291279167746e-07,3.9579230559638745e-08
1825,4.4027216539177516e-08,2.3774695989686734e-08
1826,9.072223861039674e-08,4.4039921931471326e-08
1827,1.1152900175614988e-07,3.041700225026034e-08
1828,6.604057034564903e-08,2.2930753518224378e-08
1829,1.268830054357295e-07,2.143294042245003e-08
1830,1.3046044955444813e-07,9.39315203396518e-09
1831,9.198811312671751e-08,1.7150327380477393e-08
1832,1.0147476814381662e-07,3.6530918290367254e-08
1833,7.181849837056831e-08,1.50587169400751e-08
1834,9.334531192450868e-08,1.120143711119681e-08
1835,7.411826175030001e-08,3.2521278114927554e-08
1836,1.0215539808511309e-07,3.763620171071125e-08
1837,1.0575994124906174e-07,3.2006298833486824e-08
1838,9.278878110308142e-08,3.282324301245865e-08
1839,8.879173840625754e-08,2.237272100913401e-08
1840,1.1975014047038712e-07,2.4204817705708592e-08
1841,1.2327452880711576e-07,2.1829865914924085e-08
1842,1.267862081988369e-07,4.8970335342346516e-08
1843,1.175475317638508e-07,1.9492807368237663e-08
1844,6.750930670040844e-08,7.1351298203126134e-09
1845,9.095771247302764e-08,2.4553003186156275e-08
1846,1.264572233594663e-07,3.3956109035671034e-08
1847,1.1002176325547453e-07,1.3483059113639229e-08
1848,1.2952807537658373e-07,1.045878850192139e-08
1849,1.0893239577036695e-07,1.0893239643650077e-08
1850,1.194863301634541e-07,1.6972490080036096e-08
1851,8.642247850687568e-08,1.2898877521649865e-08
1852,1.3607039606178262e-07,1.0416872697760482e-08
1853,8.778739779558009e-08,2.09017620989016e-08
1854,1.1274592148780016e-07,1.7665259477439577e-08
1855,1.3479620619705202e-07,1.8043586180738203e-08
1856,1.226993825431677e-07,1.9673318973900678e-08
1857,1.0055908555850479e-07,7.322263684272912e-09
1858,1.1793759258083014e-07,2.9362055675719034e-08
1859,1.2730433596175317e-07,1.2730433596175317e-08
1860,1.0802153935229875e-07,3.020941297116053e-08
1861,1.4289370575681914e-07,1.9807047557662827e-08
1862,1.3870217691058784e-07,2.0782737308877586e-08
