year,voulant_VERB avoir_VERB,voulant_VERB savoir_VERB
1800,1.3205491100620748e-07,8.803660733747165e-08
1801,1.9525697325661895e-07,1.5001450748286516e-07
1802,2.64065135979763e-07,1.6112448975036386e-07
1803,1.1116933507082649e-07,6.826187259889593e-08
1804,2.3235398383114614e-07,1.1370514130248921e-07
1805,2.7860200724205697e-07,1.02343598484822e-07
1806,1.5561013011478053e-07,2.9681191904273874e-07
1807,1.8505208743135881e-07,1.9359295322374237e-07
1808,2.198091770821975e-07,2.016805886739803e-07
1809,3.140052298178375e-07,2.5752946619661543e-07
1810,1.0998595723066273e-07,2.6443431977440923e-07
1811,2.5572182771327334e-07,2.1310152220621603e-07
1812,1.0935553440560852e-07,2.2404549326893175e-07
1813,2.1855636589407368e-07,1.9555042740648787e-07
1814,3.3354777428939997e-07,8.496028058857519e-08
1815,2.1038343511747826e-07,5.3944472000466703e-08
1816,1.344210218690023e-07,1.3905623141852175e-07
1817,2.3041725860650786e-07,1.198792496381884e-07
1818,1.9789154137583864e-07,1.0013788820373293e-07
1819,2.701624097767308e-07,1.4284448823786988e-07
1820,2.373296252855539e-07,1.9461029410194897e-07
1821,3.195122335597489e-07,1.8736828266696648e-07
1822,3.338529950269731e-07,1.5339192316332628e-07
1823,2.8956272135616246e-07,2.1840738106959634e-07
1824,3.14949609503401e-07,1.2042191244177047e-07
1825,1.4793144487157406e-07,1.67303410236741e-07
1826,2.721667282656881e-07,1.4973573669863072e-07
1827,2.571619184266183e-07,1.1060727622691502e-07
1828,2.34810907162597e-07,7.24611788349705e-08
1829,2.1861599464045867e-07,1.9118182947863716e-07
1830,1.7533883855946897e-07,9.601889239263528e-08
1831,1.3720261504701625e-07,1.013428398977112e-07
1832,2.8007035934862756e-07,2.043025375542129e-07
1833,2.0387185983850031e-07,1.5637898798104288e-07
1834,2.0255932131618692e-07,1.2508271751698885e-07
1835,1.9966552144978778e-07,1.7243840488845308e-07
1836,2.419470015446734e-07,1.3441499824295988e-07
1837,2.6231248462238455e-07,1.77426226599664e-07
1838,2.947779531581318e-07,1.4454850827405608e-07
1839,2.1323999810363148e-07,1.1815593126129897e-07
1840,1.7644036898190052e-07,2.0701488523400258e-07
1841,1.707865848743495e-07,1.187801466073779e-07
1842,1.5697340050024877e-07,1.2007794580881637e-07
1843,1.5062623237582784e-07,1.447193227477328e-07
1844,1.9319735500289426e-07,1.0702694375197552e-07
1845,2.1372273462105795e-07,1.1606874394942679e-07
1846,1.7504959259895259e-07,1.4753343080542436e-07
1847,1.6017874759910455e-07,1.1002176592000978e-07
1848,1.6009990844167987e-07,1.013697961127491e-07
1849,1.6842624006585538e-07,1.1312210190794758e-07
1850,2.0638547670870366e-07,1.3985332003585427e-07
1851,1.9799777106754846e-07,1.4382248636479744e-07
1852,1.3802355702807745e-07,1.894568697480281e-07
1853,1.6960286597367258e-07,1.6900566990329935e-07
1854,2.3276576222031053e-07,1.1690245216300355e-07
1855,1.9688737395995304e-07,1.5761603222586018e-07
1856,2.428101737450561e-07,1.4340814402657998e-07
1857,2.631133302344324e-07,1.308244454989449e-07
1858,1.9183209420958747e-07,1.5317206170095687e-07
1859,2.3576762941956986e-07,1.34942595764187e-07
1860,1.8308736215999488e-07,1.6752493614546893e-07
1861,1.5326882607524794e-07,1.3864933556817505e-07
1862,2.0330937688939343e-07,1.278590122666401e-07
1863,1.7481172420730218e-07,1.06884884942815e-07
1864,1.8939175383536622e-07,1.1747083483726328e-07
1865,1.9062719047724386e-07,1.2379000580153843e-07
1866,2.0143637868841324e-07,1.6640396438560856e-07
1867,1.669367115653131e-07,1.5480468817941073e-07
1868,1.857392710746808e-07,1.2102691471227445e-07
1869,1.2941326321680435e-07,1.3869194859239542e-07
1870,1.6456719720281399e-07,7.568944049296533e-08
1871,1.093981252253684e-07,1.0939812611354682e-07
1872,1.8262965006954346e-07,1.203420545436984e-07
1873,1.310935031639815e-07,1.3887530414535831e-07
1874,1.780433533937753e-07,9.917851429008806e-08
1875,1.4990401631109762e-07,1.3388373076850257e-07
1876,1.8077584762465904e-07,1.1366507735033338e-07
1877,1.74411812992048e-07,1.2864417442415288e-07
1878,1.775492135536183e-07,9.904105624514159e-08
1879,1.863344194497074e-07,1.3012863142591868e-07
1880,1.3413299360109932e-07,8.535735496195684e-08
1881,1.6245942280335157e-07,1.1504637242865101e-07
1882,2.0432032954431634e-07,1.35104315290846e-07
1883,1.2638677571175094e-07,7.709593674576354e-08
1884,1.5381953843984775e-07,1.0496698266138083e-07
1885,1.147323147598911e-07,9.15280260471718e-08
1886,1.3487739369821838e-07,8.002295004416737e-08
1887,1.3580163304993675e-07,1.1686774925578902e-07
1888,1.7690315345930685e-07,9.637734166290102e-08
1889,1.810624556952689e-07,9.02179664308278e-08
1890,1.284659725264703e-07,8.258527017801498e-08
1891,1.5234386463447436e-07,8.031517317874659e-08
1892,1.3728041636795751e-07,7.14610379759506e-08
1893,1.2994258646870094e-07,9.360793118418087e-08
1894,1.2603078491935094e-07,8.507077886577008e-08
1895,1.0532575434041291e-07,9.148294211058783e-08
1896,1.3327285053321702e-07,7.902018772654174e-08
1897,1.2993570663866194e-07,7.807795832093234e-08
1898,1.239179736600704e-07,7.525611778191887e-08
1899,1.6195805052632295e-07,6.633094074004475e-08
1900,1.6247996370566398e-07,8.09804330259567e-08
1901,1.1624576679025722e-07,6.706486432861425e-08
1902,1.0262492899926201e-07,7.660042733448336e-08
1903,9.720396620949145e-08,5.0222049630122e-08
1904,1.1662936660883361e-07,4.460938907158152e-08
1905,1.1456885218308344e-07,6.089695503419534e-08
1906,1.085422960400706e-07,7.922043820940416e-08
1907,8.999975698031903e-08,5.3999853477648685e-08
1908,9.626322938771636e-08,6.925058482210034e-08
1909,1.1497055307785331e-07,9.296662284441481e-08
1910,1.0474535239168858e-07,7.107720456644984e-08
1911,1.5269474307189057e-07,6.597263890739669e-08
1912,1.1408632261122875e-07,5.3136096411776634e-08
1913,1.0446890019721877e-07,6.257528006869961e-08
1914,7.835190185545571e-08,4.955590249267061e-08
1915,7.657495215696031e-08,5.0657276595700296e-08
1916,1.2415831829315493e-07,3.735737141852269e-08
1917,7.566832760375064e-08,6.250862050194428e-08
1918,9.878283346864691e-08,7.925599732061528e-08
1919,8.931613137974637e-08,4.972238287770381e-08
1920,7.42078674065283e-08,7.19362009959923e-08
1921,8.935842210622269e-08,6.209652880784233e-08
1922,7.599273632585835e-08,4.0578644888711324e-08
1923,7.643482691221948e-08,4.0340603746358283e-08
1924,5.543398584606507e-08,6.574728583785827e-08
1925,8.908524140593954e-08,7.588742878539279e-08
1926,6.910605643284384e-08,4.569916645102978e-08
1927,9.922809951490308e-08,9.922810262352755e-08
1928,1.1883082695618441e-07,4.1133747963328915e-08
1929,1.0026365693249772e-07,6.015819398186295e-08
1930,7.037414651023255e-08,5.04172987803031e-08
1931,6.501053295693282e-08,4.33403561928003e-08
1932,7.233294008202051e-08,4.822196153497771e-08
1933,8.48829020405617e-08,4.129438302413746e-08
1934,6.589869450124297e-08,4.7926318913482646e-08
1935,7.779384425532498e-08,4.30858246858179e-08
1936,5.8198629471206687e-08,4.486144389304059e-08
1937,5.162358274191092e-08,4.5328026665458765e-08
1938,6.352954906585495e-08,6.352954962096646e-08
1939,4.894096239382861e-08,3.5176316970364496e-08
1940,5.832300642438781e-08,3.296517814277422e-08
1941,8.559357844717397e-08,2.6563522936839945e-08
1942,4.8547388331598995e-08,5.46158132053165e-08
1943,7.838735216481041e-08,7.258087908468269e-08
1944,5.7837350908584995e-08,4.177142010064472e-08
1945,8.71401590885057e-08,3.0499056169475125e-08
1946,5.0115973593278795e-08,3.7586980639048306e-08
1947,7.152522396580707e-08,4.291513544529835e-08
1948,6.196975910199853e-08,3.696441819300844e-08
1949,3.7304630939871686e-08,2.5524222291295473e-08
1950,8.720996724775887e-08,4.9986199845974966e-08
1951,7.78282358560034e-08,4.47778885082073e-08
1952,6.326882662222033e-08,4.2179214787552155e-08
1953,5.4946518446286063e-08,2.5857186169986335e-08
1954,6.64532446847943e-08,4.202190706514841e-08
1955,4.5050916774869165e-08,2.627970197011109e-08
1956,6.192010459926678e-08,5.232684863187842e-08
1957,6.184526246677535e-08,3.799066305987253e-08
1958,4.053399216275011e-08,3.4743422361316334e-08
1959,5.8905684330312624e-08,4.10789646743126e-08
1960,7.405291668760583e-08,4.014083243575328e-08
1961,5.558527371718469e-08,5.141637871020066e-08
1962,6.024858389963583e-08,4.50278889729816e-08
1963,3.103705514817534e-08,3.685650273865804e-08
1964,7.057403328403211e-08,4.319617330494907e-08
1965,5.4173228791754013e-08,3.00962392785209e-08
1966,7.36696978975715e-08,7.533141799243026e-08
1967,8.578784260748762e-08,3.944268511801852e-08
1968,7.77014932396014e-08,4.221930982595268e-08
1969,5.768032362851727e-08,6.31304324372195e-08
1970,4.1388525939822784e-08,3.954903471381499e-08
1971,6.525764506548626e-08,4.8300934807343765e-08
1972,5.335352626367751e-08,3.745007282063284e-08
1973,6.450448442052448e-08,4.35543112686787e-08
1974,4.444201473496889e-08,4.556712962511256e-08
1975,4.968987887821186e-08,3.084199295955159e-08
1976,5.37071538353473e-08,3.599522058195248e-08
1977,5.34787130135328e-08,2.6445518219730957e-08
1978,5.34653228356774e-08,4.3366315871651295e-08
1979,5.3252958376326376e-08,3.6867432662290867e-08
1980,3.467941933621432e-08,2.7288723725149566e-08
1981,3.668818693292053e-08,2.7199863250615408e-08
1982,4.0969514891742165e-08,4.6556267285779995e-08
1983,2.652432762317858e-08,3.536576942408942e-08
1984,4.29126627565779e-08,3.537395265595933e-08
1985,4.932757624587225e-08,4.8124464413490387e-08
1986,3.9563605058745566e-08,3.416856708682303e-08
1987,4.338679904236642e-08,3.849814467216106e-08
1988,4.617346460733529e-08,2.398621523624911e-08
1989,4.939309805607195e-08,3.677041693350702e-08
1990,4.304434275681501e-08,2.94227158192939e-08
1991,3.69272303846202e-08,4.2202549899172936e-08
1992,4.297756561744137e-08,4.242656892472496e-08
1993,4.5421502115061685e-08,3.711269069839318e-08
1994,4.3781891445604515e-08,4.905681860734035e-08
1995,3.4703684148595926e-08,4.7717567674965267e-08
1996,4.37723552959568e-08,3.790045255414043e-08
1997,4.3633538671095096e-08,3.6441199391390455e-08
1998,3.8621845277475586e-08,3.671459491982887e-08
1999,4.8901153348879234e-08,3.93037282719888e-08
2000,4.241310147534705e-08,4.683113363768143e-08
2001,5.2136420958248664e-08,4.731708713734406e-08
2002,4.3374092539849585e-08,4.205972459203622e-08
2003,4.666953667964435e-08,4.41693819297484e-08
2004,3.9202640800262145e-08,4.801222486250367e-08
2005,4.1884870682906694e-08,4.63886191681695e-08
2006,4.200247705199445e-08,3.664922054724684e-08
2007,3.9145900521120325e-08,4.753430449255802e-08
2008,3.3633772655861094e-08,3.618823685158645e-08
2009,2.622505901328509e-08,4.243691420491302e-08
2010,5.007220771346965e-08,5.6213136367944117e-08
2011,3.403335013807407e-08,5.200602037902513e-08
2012,4.1872306510981616e-08,8.646801941125659e-08
2013,4.74151260476674e-08,6.944921437934681e-08
2014,6.64791688365085e-08,9.051561056239166e-08
2015,5.763095956012876e-08,8.954964858531866e-08
2016,7.24969044796353e-08,9.44531075575128e-08
2017,3.421231298261773e-08,9.13166902094531e-08
2018,4.414308119038424e-08,9.551426760623372e-08
2019,6.989706591298273e-08,9.719262994423161e-08
