year,fût_VERB allemand_ADJ
1800,0.0
1801,9.524730337773235e-09
1802,0.0
1803,1.3652374120098898e-08
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,4.768470951432846e-09
1819,1.0351050350188018e-08
1820,1.0679833017945839e-08
1821,0.0
1822,1.604098542884458e-08
1823,2.9648061783404955e-09
1824,0.0
1825,8.805443041381977e-10
1826,0.0
1827,0.0
1828,2.7516904310687096e-09
1829,4.286587973467704e-09
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,0.0
1833,5.791814250422078e-09
1834,4.667265462998671e-09
1835,0.0
1836,6.720749901045764e-09
1837,0.0
1838,4.418513332993257e-09
1839,9.088918062616358e-09
1840,9.554533331179726e-09
1841,1.926164561183441e-09
1842,0.0
1843,1.7720733769266417e-09
1844,2.7442806360689076e-09
1845,2.7901139176833567e-09
1846,5.269050973311096e-09
1847,1.6179670936367074e-09
1848,0.0
1849,0.0
1850,0.0
1851,1.2898877521649865e-09
1852,3.906327261660181e-09
1853,6.569124799682413e-09
1854,5.7152309551611324e-09
1855,0.0
1856,5.177189232874468e-10
1857,2.9289055625270066e-09
1858,0.0
1859,5.092173349652285e-10
1860,7.323494338740133e-09
1861,2.3579818653196583e-09
1862,1.355395928825942e-08
1863,2.9967726078439227e-09
1864,1.7740493518658695e-08
1865,1.4120533076145136e-09
1866,3.8924903300596725e-09
1867,4.85281148598915e-10
1868,6.421836395986702e-09
1869,2.9301114867763545e-09
1870,0.0
1871,1.0621177271019633e-09
1872,1.572308139241585e-08
1873,7.781805755335824e-09
1874,0.0
1875,7.437985338754061e-09
1876,6.04601479992084e-10
1877,4.9478527941460015e-09
1878,1.2078177347163432e-09
1879,2.443730107160036e-09
1880,6.417846254436199e-10
1881,0.0
1882,1.9966155395678697e-09
1883,1.8958017378167824e-09
1884,3.9610181801208455e-09
1885,6.445635691854079e-10
1886,1.0970888975059268e-08
1887,5.8760321608453125e-09
1888,1.268122939990235e-09
1889,1.2530273707511697e-08
1890,1.5075088732885433e-08
1891,6.374220040683554e-10
1892,1.8805537127519756e-09
1893,1.2316833108982905e-09
1894,6.301539290376468e-10
1895,1.2037228991346183e-09
1896,2.94851448812139e-09
1897,2.330685422435863e-09
1898,2.8291773368493978e-09
1899,1.1055156790007459e-09
1900,6.22926377147337e-09
1901,1.6766216748287377e-09
1902,1.9641135384773634e-09
1903,3.2401321625741275e-09
1904,5.374625189347171e-10
1905,1.0321518084666081e-09
1906,2.572092316910357e-09
1907,6.68569621886661e-09
1908,1.1787333775714615e-08
1909,1.6502950672681038e-09
1910,7.481810837539626e-09
1911,1.5961122423746588e-09
1912,2.604710613862693e-09
1913,3.1817938284106617e-09
1914,2.6786975415582504e-09
1915,4.358881966481931e-08
1916,1.8678685265172135e-08
1917,9.869781991689308e-09
1918,8.040463406189247e-09
1919,1.8415696745321952e-09
1920,6.815008557481406e-09
