year,passant_VERB en_ADP
1800,5.753821135101589e-07
1801,3.6908330969254166e-07
1802,3.312003400424146e-07
1803,4.739324372948772e-07
1804,3.8808059477091206e-07
1805,3.809456208259121e-07
1806,4.783570943800441e-07
1807,4.839823652957875e-07
1808,4.804076860764894e-07
1809,5.715347368706603e-07
1810,5.850316888711404e-07
1811,6.242620926855125e-07
1812,4.45423786743504e-07
1813,6.556690834713663e-07
1814,3.1152103474596515e-07
1815,4.612252402225181e-07
1816,3.893574600510874e-07
1817,3.845477438702005e-07
1818,4.875761800970935e-07
1819,6.479757281852017e-07
1820,5.446715078960551e-07
1821,6.331075326215796e-07
1822,5.724626532810362e-07
1823,1.008034061555918e-06
1824,6.526362312797573e-07
1825,5.855619455985561e-07
1826,5.883733500411381e-07
1827,6.230876792301387e-07
1828,6.411438793207935e-07
1829,5.221064043325896e-07
1830,6.189043375570691e-07
1831,6.096161691004909e-07
1832,7.238533417108783e-07
1833,7.205017134026548e-07
1834,5.9834344057208e-07
1835,6.284925788690998e-07
1836,6.935813949837666e-07
1837,8.071153487776428e-07
1838,7.726086224124629e-07
1839,6.942534991338789e-07
1840,7.541711646297244e-07
1841,7.852330803359564e-07
1842,6.185020318127954e-07
1843,8.074747306352492e-07
1844,6.986938245745478e-07
1845,8.163873665978372e-07
1846,8.389500294470054e-07
1847,7.2269197559649e-07
1848,7.313106777928624e-07
1849,8.035859018207248e-07
1850,6.714317208889042e-07
1851,6.804157806072908e-07
1852,6.621224883929244e-07
1853,6.921468909126816e-07
1854,7.138843045595422e-07
1855,7.387256708568657e-07
1856,7.2428877473385e-07
1857,8.015438126562913e-07
1858,8.81840445998705e-07
1859,8.00998840588818e-07
1860,8.330474692286316e-07
1861,8.050150341887274e-07
1862,7.60377101727272e-07
1863,8.780543510056305e-07
1864,8.237342541406178e-07
1865,8.378182911883414e-07
1866,7.677936970651444e-07
1867,9.487246686035178e-07
1868,1.067012796340805e-06
1869,8.809868390358133e-07
1870,8.509328282002571e-07
1871,1.1417765612975472e-06
1872,1.0667506487038736e-06
1873,1.204384126651803e-06
1874,1.0545185418209257e-06
1875,9.680824035740443e-07
1876,9.395506879172899e-07
1877,1.0266794490121356e-06
1878,9.5538382538507e-07
1879,1.0178135880778427e-06
1880,8.792449577299521e-07
1881,9.880043378984738e-07
1882,9.956455926385388e-07
1883,1.2379584930499732e-06
1884,8.951901264708795e-07
1885,9.642670804055342e-07
1886,1.011257801053489e-06
1887,1.1758593672084316e-06
1888,9.745524849336107e-07
1889,9.936506941699008e-07
1890,9.995439214094404e-07
1891,1.281218281690144e-06
1892,1.026155494798786e-06
1893,1.1805684678733996e-06
1894,1.1210438515263377e-06
1895,1.0562668464331182e-06
1896,1.0703108088705449e-06
1897,9.986986810872622e-07
1898,1.0722582075572973e-06
1899,1.022602013733831e-06
1900,1.050150032710917e-06
1901,1.099863801812262e-06
1902,1.2133311955153658e-06
1903,9.990407363602571e-07
1904,1.0378400787658393e-06
1905,1.0455698031819338e-06
1906,1.0488992074897396e-06
1907,1.0306258246828293e-06
1908,1.0480904109044786e-06
1909,1.074342058871025e-06
1910,1.026611343490913e-06
1911,1.0257681424263865e-06
1912,1.0991878838240154e-06
1913,9.821136970344924e-07
1914,1.12304390142981e-06
1915,1.1215285766752459e-06
1916,1.12621491155096e-06
1917,1.1876637557861613e-06
1918,9.728960463917247e-07
1919,1.016546484322589e-06
1920,1.0813147426347314e-06
1921,1.1790767615593722e-06
1922,1.082343111136197e-06
1923,1.0180694474115626e-06
1924,1.103523025847153e-06
1925,1.045926666165542e-06
1926,1.0321324097617435e-06
1927,1.0513719246318942e-06
1928,1.10032782174585e-06
1929,1.0416279820901764e-06
1930,9.978423349821242e-07
1931,1.1017574621519088e-06
1932,9.973178265454408e-07
1933,1.0174477225177725e-06
1934,1.1035034788164921e-06
1935,1.085523379629194e-06
1936,1.1009240239445717e-06
1937,1.0198805853178783e-06
1938,1.0411066995175133e-06
1939,9.421135018783389e-07
1940,1.024456295795062e-06
1941,8.972568181775387e-07
1942,1.0346662406846008e-06
1943,1.0074225968992323e-06
