year,provenant_VERB en_ADP,provenant_VERB sans_ADP
1800,9.432493897065797e-09,3.458580977167003e-08
1801,6.191074675143682e-08,4.0480102825313224e-08
1802,2.9091921760482364e-08,3.5805442166747525e-08
1803,1.1702034896643454e-08,9.361627917314763e-08
1804,2.7190360185613827e-08,1.2359254952798437e-08
1805,2.55858996212055e-08,3.4114531644036106e-08
1806,5.76333825108577e-08,1.2391177506287931e-07
1807,3.701041606518629e-08,1.9928686256776018e-08
1808,2.2660739951163578e-09,5.6651849433819734e-08
1809,9.036121806360597e-08,1.197286110254936e-07
1810,0.0,3.978215445954447e-08
1811,2.2563691359778204e-08,1.0279014617253779e-07
1812,7.734903562095496e-08,7.20146218213813e-08
1813,3.738464116054274e-08,7.189353823378042e-08
1814,1.2586708564299443e-08,1.0069366851439554e-07
1815,6.47333635583891e-08,6.74305908887618e-08
1816,6.489290882427667e-08,4.6352077731626196e-09
1817,6.227493543065066e-08,1.2454987263765815e-08
1818,5.6029534789558966e-08,2.2650237241350624e-08
1819,5.3825459644940565e-08,4.7614829412623294e-08
1820,5.458581142647745e-08,3.678609061807947e-08
1821,4.437669787193954e-08,6.01550809165019e-08
1822,3.709477880420309e-08,4.912551787583652e-08
1823,8.597937295462543e-08,8.696764552951208e-08
1824,1.431589158329416e-08,6.905312233129735e-08
1825,4.402721387464226e-08,2.993850500843109e-08
1826,3.2589543508265706e-08,7.927185663447744e-08
1827,4.977327350275118e-08,6.91295483079557e-08
1828,7.796455747666187e-08,5.595103758082587e-08
1829,8.74463985667262e-08,6.42988169374803e-08
1830,8.975678866818271e-08,5.635891398014792e-08
1831,1.0134284167406804e-07,5.456922025359745e-08
1832,7.712082350508354e-08,1.2582871988797706e-07
1833,1.0077756940063409e-07,8.80355770505048e-08
1834,6.534171492766916e-08,7.841006066655609e-08
1835,9.22696727911898e-08,1.0210168710500511e-07
1836,8.064900214321824e-08,1.25005954032531e-07
1837,5.98378591121218e-08,8.766942727334026e-08
