year,embrassant_VERB en_ADP
1800,4.4018303668735825e-08
1801,1.6668277424969347e-08
1802,5.147032311469957e-08
1803,2.3404069793286908e-08
1804,1.730295728918918e-08
1805,5.1171799242411e-08
1806,2.881669125542885e-09
1807,1.9928686256776018e-08
1808,2.2660739951163578e-09
1809,1.8072244145628247e-08
1810,2.3401267590372754e-09
1811,2.2563691359778204e-08
1812,2.6672082320544632e-09
1813,3.163315653864629e-08
1814,3.1466771410748606e-09
1815,0.0
1816,3.476405652236281e-08
1817,1.0898113522728181e-08
1818,8.344824387052086e-09
1819,2.898294049202832e-08
1820,5.933240565525466e-09
1821,1.4792232327920374e-08
1822,2.105379337535851e-08
1823,1.9765373338032077e-08
1824,1.1789557774477544e-08
1825,3.0819052199149155e-08
1826,1.4092774947016551e-08
1827,1.7512818750731185e-08
1828,1.834460228167245e-08
1829,3.086343414171466e-08
1830,3.1310507520032616e-09
1831,9.354723218280014e-09
1832,1.623596290745155e-08
1833,1.50587169400751e-08
1834,3.267085935121372e-08
1835,3.403389570166837e-08
1836,2.352262562510532e-08
1837,2.2265250532171876e-08
1838,2.5879863585487328e-08
1839,2.7266752411492234e-08
1840,1.0828470564661075e-08
1841,3.0818634311202686e-08
1842,2.0124794275488966e-08
1843,2.2446262681885543e-08
1844,1.811225303072206e-08
1845,3.0691253982695343e-08
1846,2.6345256642912318e-08
1847,3.829188699455699e-08
1848,4.263967667839097e-08
1849,5.865590679832167e-09
1850,1.0862393651223101e-08
1851,2.192809134271556e-08
1852,1.4323199737376058e-08
1853,2.7470886010405593e-08
1854,2.338049043260071e-08
1855,2.2289135870323662e-08
1856,1.346069211649592e-08
1857,1.610898081594314e-08
1858,1.2234189661342043e-08
1859,3.4626779665813956e-08
1860,1.9224172476128842e-08
1861,9.903524222920623e-09
1862,2.801151488540654e-08
1863,2.5472566278494924e-08
1864,2.3973639073915365e-08
1865,3.577201823645737e-08
1866,1.3137155030484848e-08
1867,1.552899675516528e-08
1868,4.445886503390284e-08
1869,2.6859355628516823e-08
1870,2.981705193860762e-08
1871,1.4869648623516696e-08
1872,1.0885210954825197e-08
1873,9.577607151811662e-09
1874,3.4652732239237594e-08
1875,2.1169650921137873e-08
1876,1.269663130187837e-08
1877,2.2265338017746217e-08
1878,2.1740720113072598e-08
1879,3.6045020190833554e-08
1880,1.7328185109022343e-08
1881,1.673401861523871e-08
1882,2.3293848405714357e-08
1883,1.9589950994713945e-08
1884,1.1883054540362536e-08
1885,1.5469526104539e-08
1886,2.2587123282846733e-08
1887,1.6322312390570914e-08
