year,découvrant_VERB en_ADP,découvrant_VERB sans_ADP
1800,4.087413785214267e-08,0.0
1801,7.143547975374531e-09,0.0
1802,8.951360541686881e-09,8.951360541686881e-09
1803,5.851017448321727e-09,1.1702034896643454e-08
1804,3.9549615138412264e-08,9.887403784603066e-09
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,1.613734639249742e-07,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,1.8128591960930862e-08,0.0
1809,1.8072244145628247e-08,2.710836710662079e-08
1810,5.3822915901946544e-08,2.106114038724627e-08
1811,3.259199843341776e-08,2.5070767684098882e-09
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,2.5173417128598885e-08,6.293354282149721e-09
1815,1.8880564667256294e-08,3.236668177919455e-08
1816,3.244645441213834e-08,3.7081662185300956e-08
1817,3.892183608744659e-08,1.556873407970727e-09
1818,1.3113295338484932e-08,2.1458118837358597e-08
1819,2.794783471316009e-08,1.1386155129855524e-08
1820,1.4239777357261119e-08,2.3732962262101864e-09
1821,4.634899553046523e-08,9.86148829262845e-10
1822,2.606660132187244e-08,1.4035862250239006e-08
1823,2.9648060007048116e-08,0.0
1824,5.4737231636181605e-08,8.421112696055388e-10
1825,1.584979703039835e-08,1.6730341556581152e-08
1826,3.6112734136395375e-08,1.3211976401805714e-08
1827,1.1060727445055818e-08,4.608636583469661e-09
1828,4.3109815550668174e-08,4.586150570418113e-09
1829,7.715858618695393e-09,1.714635211591542e-09
1830,1.3567886369969528e-08,5.218417697960831e-09
1831,1.4032085715598441e-08,2.3386808933878456e-08
1832,4.058990810129615e-09,8.117981842303834e-09
1833,1.7375443306377747e-08,1.2741991461950875e-08
1834,2.9870498963191494e-08,1.4935249481595747e-08
1835,2.571449897459388e-08,6.050470346963266e-09
1836,3.2259599436201825e-08,1.1425274948351216e-08
1837,1.5307360268224102e-08,9.74104708006962e-09
1838,2.146135025249407e-08,1.8936485712828244e-09
1839,3.355908262392404e-08,3.4957374772659477e-09
1840,2.1019973317493168e-08,5.732719632334238e-09
