year,tout_ADV au_ADP,tout_ADV sot_ADJ
1800,5.345079490126636e-08,6.288328968651058e-09
1801,1.1191557902634486e-07,2.3811825844433088e-09
1802,6.042168365638645e-08,4.475680270843441e-09
1803,1.287223887480593e-07,9.751696339321825e-09
1804,6.179627476399219e-08,0.0
1805,6.822906506442905e-08,4.5486043376286034e-08
1806,8.068673729155762e-08,2.881669125542885e-09
1807,7.402083213037258e-08,2.8469551160981155e-09
1808,6.571614363792833e-08,6.798221985349073e-09
1809,7.228897835886983e-08,1.581321384946932e-08
1810,7.254392997424475e-08,2.3401267590372754e-09
1811,5.515568979319596e-08,3.7606149305702274e-08
1812,1.2269157600997005e-07,2.6672082320544632e-09
1813,2.2143210998137874e-07,2.30059336026045e-08
1814,7.237357380063258e-08,3.1466771410748606e-09
1815,2.966945888971395e-08,8.091670666843243e-09
1816,8.343373814057031e-08,2.3176038865813098e-09
1817,6.85024303948012e-08,9.341240669868967e-09
1818,3.337929666002992e-08,2.384235475716423e-08
1819,9.729986949480462e-08,6.210629899250364e-09
1820,6.407899721949661e-08,2.254631326081835e-08
1821,6.409967312492881e-08,2.9584464655840748e-08
1822,9.825103575167304e-08,1.1028177482330648e-08
1823,6.522573503531248e-08,7.906149623870817e-09
1824,1.0694812857536817e-07,9.263223965660927e-09
1825,7.220463604795668e-08,1.0566531649658373e-08
1826,6.165589194750964e-08,1.761596823968148e-08
1827,7.926854794781946e-08,1.1982455028203276e-08
1828,7.337840646215454e-08,1.0089531266022078e-08
1829,1.0373543024577714e-07,1.0287811491593857e-08
1830,1.356788690287658e-07,9.39315203396518e-09
1831,8.886987679090907e-08,1.2472964883158966e-08
1832,1.6641862132793506e-07,2.4353945637933805e-08
1833,1.0309429132604464e-07,1.9692169006546578e-08
1834,1.120143711119681e-07,1.4001797055129828e-08
1835,9.529490796467144e-08,1.8907719834260206e-08
1836,7.191202922030016e-08,2.688300071440608e-08
1837,1.2385045611296164e-07,3.0614719648269784e-08
1838,1.0478188849916137e-07,2.5248647617104325e-09
1839,9.368576492363445e-08,1.1885507689157748e-08
1840,1.3694830869326324e-07,1.6561190196995312e-08
1841,1.2776891367138887e-07,6.420548537278137e-09
1842,1.0800306959879435e-07,1.341653010911159e-09
1843,1.5239830730706672e-07,2.3627644840651385e-09
1844,1.3831174339173913e-07,8.781698090931656e-09
1845,1.272291987319818e-07,1.5066615510761494e-08
1846,1.2294452567118697e-07,4.0981511517657054e-09
1847,1.5963942523455898e-07,1.4561703842730367e-08
1848,2.059576766910709e-07,5.631655086713039e-09
1849,1.0977033859660423e-07,3.3517659758786067e-09
1850,1.4053221075727151e-07,4.073397619208663e-09
1851,1.3801799214618882e-07,1.4188765495859457e-08
1852,1.2565352403015595e-07,6.510545436100301e-10
1853,1.4272917248092654e-07,2.269334054005867e-08
1854,1.5431123578935058e-07,5.195664454227256e-09
1855,1.0189319255005103e-07,1.0083180512765466e-08
1856,1.0613238021761617e-07,2.070875637638636e-09
1857,1.2399032733867443e-07,5.369660049936442e-09
1858,1.1940569866197848e-07,5.872411223961649e-09
1859,1.3392415709745364e-07,7.638259802433822e-09
1860,2.0002293688037298e-07,9.154368096897514e-09
1861,1.924113153251028e-07,8.017138508620292e-09
1862,1.838820384847395e-07,8.584174260306554e-09
1863,9.98924178929883e-08,8.490855352150106e-09
1864,1.4432130512886943e-07,2.8768367688059016e-09
