year,poussant_VERB en_ADP
1800,3.144164395507687e-08
1801,3.333655484993869e-08
1802,1.7902721083373763e-08
1803,1.950339223455444e-09
1804,9.887403784603066e-09
1805,1.421438877713399e-08
1806,3.458002950651462e-08
1807,1.7081731584767113e-08
1808,0.0
1809,3.162642769893864e-08
1810,1.1700633351097167e-08
1811,1.2535384286138651e-08
1812,2.6672082320544632e-09
1813,5.751483289628823e-09
1814,6.608021863030444e-08
1815,3.236668177919455e-08
1816,3.9399267848239106e-08
1817,5.4490570278176165e-08
1818,2.026600132154499e-08
1819,1.5526575580793178e-08
1820,3.085285271708926e-08
1821,2.859831660373402e-08
1822,1.5038423839541792e-08
1823,5.929612356680991e-09
1824,4.210556348027694e-09
1825,2.3774696877865154e-08
1826,2.906634799515473e-08
1827,4.608636583469661e-09
1828,2.2930752408001354e-08
1829,4.115124596637543e-08
1830,1.982998831806526e-08
1831,4.8332740476553226e-08
1832,1.488296597074168e-08
1833,6.486831871654886e-08
1834,3.080395316601425e-08
1835,2.117664621437143e-08
1836,3.5619976301859424e-08
1837,4.313892532081809e-08
1838,3.976662044102852e-08
1839,3.7054818102788545e-08
1840,2.8026629905752998e-08
1841,3.0818632978935057e-08
1842,4.22620693996123e-08
1843,1.1813821920725331e-08
1844,3.89687833113328e-08
1845,2.3436957263811564e-08
1846,4.56651101377048e-08
1847,1.833696039454935e-08
1848,4.666228647920434e-08
1849,5.111443002192573e-08
1850,3.1229383523623255e-08
1851,3.3537082666512674e-08
1852,4.231854688896419e-08
1853,3.2845626662947325e-08
1854,3.4810952342922974e-08
1855,7.376642940926104e-08
1856,3.313400931403976e-08
1857,3.417056504417815e-08
1858,3.1808895073481835e-08
1859,2.49516496353408e-08
1860,2.5174511364411956e-08
1861,4.1500481273715195e-08
1862,2.4397126097142063e-08
1863,4.04564275413577e-08
1864,1.6781548595190543e-08
1865,5.5070078275321066e-08
1866,2.870711601765663e-08
1867,4.367530159754551e-08
1868,3.408512938563035e-08
1869,3.955650385023546e-08
1870,3.7844721134661086e-08
1871,8.072094948019526e-08
1872,3.870297127228639e-08
1873,4.788803698030364e-08
1874,6.094101223652615e-08
1875,5.034943750814591e-08
1876,3.3857681103199866e-08
1877,3.896433931060983e-08
1878,3.563062378475479e-08
1879,4.032154521382836e-08
1880,3.529815373326528e-08
1881,5.0899306769380814e-08
1882,4.9915387156929114e-08
1883,3.349249766415596e-08
1884,4.555170907138972e-08
1885,5.1565084646654213e-08
1886,3.678474314039448e-08
1887,3.590908548289917e-08
1888,3.867774789334533e-08
1889,3.0072656975743683e-08
1890,3.998175712727203e-08
1891,3.952016314201501e-08
1892,4.387958574270101e-08
1893,3.756634125995362e-08
1894,4.7261544011689693e-08
1895,3.972285611553161e-08
1896,5.012474701970859e-08
1897,3.26295968022805e-08
1898,6.111022987642656e-08
1899,3.8693050541382945e-08
1900,3.789468705495125e-08
1901,4.750427973210236e-08
1902,6.62888290925423e-08
1903,5.6702312178913417e-08
1904,3.171028861714831e-08
1905,4.4382527542019545e-08
1906,3.9095803927580164e-08
1907,3.857132568896304e-08
1908,3.388858349495649e-08
1909,4.7308457595818254e-08
1910,4.008112863829183e-08
1911,4.575521872496324e-08
1912,3.177746898952449e-08
1913,3.977242279962212e-08
1914,3.4153391226254826e-08
1915,5.0657277039789506e-08
1916,7.361599418942433e-08
1917,7.018511372081093e-08
1918,8.844509657990329e-08
1919,8.839534459958998e-08
1920,6.890731185649202e-08
1921,5.5281056177136634e-08
1922,3.9840852394945614e-08
1923,4.671016995416721e-08
1924,6.059063628605088e-08
1925,8.138651841349542e-08
1926,3.6782257240020044e-08
1927,4.4596899062554485e-08
1928,5.1417186841540286e-08
1929,3.0079096546842266e-08
1930,3.991369190714522e-08
1931,3.649714308551211e-08
1932,4.931791552920117e-08
1933,3.0970788600370724e-08
1934,4.7926318913482646e-08
1935,3.949533766700597e-08
1936,3.273672799508631e-08
1937,4.658713592675667e-08
1938,6.482607073365898e-08
1939,4.5882153187903896e-08
1940,3.296517903095264e-08
1941,4.427253941230447e-08
1942,4.5513175450651033e-08
1943,3.483882360377777e-08
1944,2.8918675454292497e-08
1945,5.010559478435539e-08
1946,5.568441707737293e-08
1947,4.649139762058496e-08
1948,5.3272251943070614e-08
1949,2.7487622844546422e-08
1950,5.424034488221707e-08
1951,5.010858705745136e-08
1952,6.64322619137181e-08
1953,3.878577725657806e-08
1954,4.8862680124273083e-08
1955,4.3173796537843145e-08
1956,2.703553869665143e-08
1957,3.445664731316356e-08
1958,2.4816729671250926e-08
1959,4.262911146302173e-08
1960,2.6991250345886897e-08
1961,4.794229990778831e-08
1962,3.297817485758969e-08
1963,4.202934689168103e-08
