year,fouillant_VERB en_ADP,fouillant_VERB sans_ADP
1800,0.0,0.0
1801,1.6668277424969347e-08,0.0
1802,0.0,0.0
1803,1.950339267864365e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,3.760615285841595e-08,0.0
1812,0.0,0.0
1813,2.0130190847567064e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,2.6466848268569265e-08
1818,7.152706427149269e-09,0.0
1819,1.035105001712111e-09,0.0
1820,7.119888678630559e-09,0.0
1821,0.0,1.4792232327920374e-08
1822,0.0,0.0
1823,9.882686891060644e-10,0.0
1824,0.0,5.052667617633233e-09
1825,2.4655239627691117e-08,0.0
1826,2.642395191543301e-09,8.807984341885344e-10
1827,9.217273055917019e-10,3.6869092223668076e-09
1828,0.0,0.0
1829,1.714635211591542e-09,0.0
1830,6.262101504006523e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,3.733812370398937e-09,1.8669061851994684e-09
1835,2.2689263801112247e-09,0.0
1836,2.688300027031687e-09,0.0
1837,6.957891152126194e-09,6.957890930081589e-10
1838,8.837027110075724e-09,2.5248647617104325e-09
1839,5.5931801412612e-09,2.0974426639952526e-09
1840,3.1848443882154243e-09,0.0
1841,1.2841097074556274e-08,0.0
1842,1.341653010911159e-09,6.708265054555795e-10
1843,8.269675610961258e-09,3.5441467538532834e-09
1844,4.9397050894128824e-09,0.0
1845,1.1160455892778032e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,1.0786447290911383e-09,4.314578916364553e-09
1848,1.126331028444838e-08,1.367687652020777e-08
1849,1.6758829879393033e-09,3.3517659758786067e-09
1850,2.0366988096043315e-09,6.1100964288129944e-09
1851,6.449438760824933e-10,6.449438760824933e-10
1852,5.208436348880241e-09,6.510545436100301e-10
1853,2.9859659189668264e-09,0.0
1854,2.5978321716024766e-09,5.195664454227256e-10
1855,4.776243400783642e-09,2.653468555990912e-09
1856,1.2942972638096961e-08,5.177189232874468e-10
1857,1.2691924067276261e-08,0.0
1858,7.34051397444091e-09,9.787352039936081e-10
