year,tout_DET âge_NOUN,tout_DET age_NOUN,tout_DET sage_NOUN
1800,2.788873871395481e-06,3.772997381190635e-08,6.288328968651058e-09
1801,2.9764782993879635e-06,1.6668277424969347e-08,1.4287095284615248e-08
1802,2.7503056116984226e-06,1.3427040812530322e-08,0.0
1803,2.6875675303017488e-06,2.5354410126965377e-08,3.900678446910888e-09
1804,2.3754487301630434e-06,2.2246659181490713e-08,3.213406207791536e-08
1805,4.818677552975714e-06,2.842877666608956e-08,2.842877711017877e-09
1806,2.7202956971450476e-06,2.305335300434308e-08,0.0
1807,2.5366371119162068e-06,1.99286853685976e-08,2.8469551160981155e-09
1808,2.5991869279096136e-06,1.8128591960930862e-08,2.2660739951163578e-09
1809,2.8802639917557826e-06,3.388545843918678e-08,2.9367397402779716e-08
1810,2.5811598334257724e-06,2.106114083133548e-08,0.0
1811,2.461949407006614e-06,2.757784356433035e-08,0.0
1812,2.4805035536701325e-06,8.00162469616339e-09,2.6672082320544632e-09
1813,2.222948296548566e-06,2.8757416226099508e-08,0.0
1814,2.7376090656616725e-06,9.440030979135372e-09,3.1466771410748606e-09
1815,2.6648567654774524e-06,1.3486118000116676e-08,2.697223555614414e-09
1816,1.944469659065362e-06,1.622322720606917e-08,0.0
1817,2.333753172933939e-06,1.401186056071424e-08,0.0
1818,2.17680690184352e-06,1.5497530370112145e-08,1.7881765401739358e-08
1819,2.2948277091927594e-06,7.2457350119847774e-09,7.24573512300708e-09
1820,2.2593781068280805e-06,1.3053129244156025e-08,8.306536791735653e-09
1821,2.513693289074581e-06,7.889190412058156e-09,4.2404398215012407e-08
1822,2.375068334004027e-06,6.015369535816717e-09,3.0076847679083585e-09
1823,2.275982751598349e-06,6.917880934764753e-09,9.882686891060644e-10
1824,2.0741199477924965e-06,1.0947446504872005e-08,3.115811608722652e-08
1825,2.8406359433574835e-06,1.6730341556581152e-08,3.522177216552791e-09
1826,2.1887840375711676e-06,8.807984452907647e-09,7.0463874735082754e-09
1827,2.0619040697056334e-06,7.373818333711313e-09,9.217273055917019e-10
1828,2.1967662178212777e-06,1.83446022261613e-08,0.0
1829,2.2050207917345688e-06,6.858540846366168e-09,8.57317605795771e-10
1830,2.1760802155768033e-06,1.2524203008013046e-08,1.0436835840010872e-09
1831,1.8101389969160664e-06,7.795602829929749e-09,4.677361831184612e-09
1832,2.168854052797542e-06,1.352996958914332e-08,0.0
1833,2.4163448415492894e-06,3.9384337569003947e-08,2.3167257001688313e-09
1834,2.3018953925202368e-06,1.680215633292903e-08,0.0
1835,2.1539674435189227e-06,1.2100940693926532e-08,7.563087933704082e-09
1836,1.983293259399943e-06,3.29316747205155e-08,1.3441500135158435e-09
1837,2.364987039982225e-06,2.296104073540306e-08,6.2621018370734305e-09
1838,2.088063183691702e-06,2.335499948991071e-08,2.5248647617104325e-09
1839,2.124010052284575e-06,1.67795404237836e-08,2.0974426639952526e-09
1840,2.1771595584141323e-06,2.930056863803543e-08,4.458782232319436e-09
1841,2.2690219338983297e-06,2.24719207686519e-08,5.1364388298225094e-09
1842,2.0520583348115906e-06,2.3478927690945284e-08,2.0124795163667386e-09
1843,2.3444529233529465e-06,3.071593740466838e-08,2.303695378902404e-08
1844,2.032963038800517e-06,3.018708716329144e-08,0.0
