year,petit_ADJ honneur_NOUN,petit_ADJ sonneur_NOUN
1800,7.231578535993322e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,4.034336598124355e-08,1.152667650217154e-08
1807,1.7081731584767113e-08,5.693910232196231e-09
1808,2.2660739062985158e-08,0.0
1809,2.259030518203531e-09,2.259030518203531e-09
1810,9.360507036149102e-09,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,4.887682791832049e-08,0.0
1819,2.6912729822470283e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,3.4515210245444905e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,7.412015179397713e-08,0.0
1824,1.6842225392110777e-08,0.0
1825,3.522177394188475e-08,0.0
1826,2.290075862276808e-08,0.0
1827,3.502563927781921e-08,0.0
1828,2.659967357487858e-08,0.0
1829,1.714635211591542e-09,0.0
1830,2.922314124020886e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,4.058990654698391e-08,0.0
1833,4.054269808762001e-08,0.0
1834,1.9602515166639023e-08,1.8669061851994684e-09
1835,1.285724948729694e-08,0.0
1836,3.293167694096155e-08,0.0
1837,2.2265250976261086e-08,0.0
1838,3.1560809077291196e-08,0.0
1839,2.3771015378315496e-08,0.0
1840,1.592422194107712e-08,0.0
1841,3.723918240439161e-08,0.0
1842,1.341653010911159e-08,0.0
1843,1.0041748765843295e-08,0.0
1844,2.085653250105679e-08,0.0
1845,1.674068350610014e-08,0.0
1846,3.454155717008689e-08,0.0
1847,9.168480197274675e-09,0.0
1848,2.333114323960217e-08,0.0
1849,2.513824481908955e-09,3.3517659758786067e-09
1850,2.7834882843080777e-08,0.0
1851,1.096404567135778e-08,0.0
1852,2.9948509450150596e-08,3.906327261660181e-09
1853,2.448492075757258e-08,0.0
1854,2.6497888327980945e-08,5.195664454227256e-10
1855,4.8823821430232783e-08,3.1841622671890946e-09
1856,1.5531567143511893e-08,1.5531567143511893e-09
1857,3.905207179855097e-08,0.0
1858,3.425573069648635e-08,0.0
1859,2.3933214521321133e-08,0.0
1860,2.242820151820979e-08,0.0
1861,3.301174444914068e-08,4.715963730639317e-10
1862,1.8071945717679228e-08,0.0
1863,3.2465035104678464e-08,4.994620828036034e-10
1864,3.0206784629172034e-08,4.794727948009836e-10
1865,2.3534221682552925e-08,9.41368871743009e-10
1866,1.8002767276925624e-08,0.0
1867,2.232293283555009e-08,1.455843445796745e-09
1868,1.975949714960734e-08,9.87974813071446e-10
1869,2.8812763730456936e-08,0.0
1870,1.834895613228582e-08,0.0
1871,2.1242354542039266e-09,0.0
1872,1.69325495846806e-08,6.047339295989218e-10
1873,1.4366410283628284e-08,0.0
1874,1.5533982988813477e-08,5.974609140757536e-10
1875,2.1741803024610817e-08,2.2886108563824337e-09
1876,1.6928840551599933e-08,0.0
1877,1.4843558382438005e-08,1.2369631985365004e-09
1878,1.69094480639842e-08,4.22736201599605e-09
1879,1.588424503040642e-08,6.10932526790009e-10
1880,1.2835692508872398e-08,0.0
1881,2.4403776777148778e-08,6.972507571312292e-10
1882,1.0648616211028639e-08,5.324308105514319e-09
1883,1.4534479397809719e-08,1.8958017378167824e-09
1884,3.762967182296961e-08,0.0
1885,6.445635580831777e-09,3.2228177904158883e-09
1886,2.1296431285122708e-08,0.0
1887,1.828098916689669e-08,0.0
1888,2.1558090423923204e-08,0.0
1889,6.891650361495749e-09,1.2530273485467092e-09
1890,8.520702365899524e-09,0.0
1891,1.8485238229004608e-08,0.0
1892,1.4417578242387208e-08,0.0
1893,1.9091091374434654e-08,4.310891643655168e-09
1894,1.8904618315218613e-08,5.671385139294216e-09
1895,9.629783193076946e-09,1.2037228991346183e-09
1896,1.3563166589847242e-08,0.0
1897,5.826713334045053e-09,0.0
1898,1.0750873968845553e-08,1.13167097914868e-09
1899,1.8241008703512307e-08,3.8693048765026106e-09
1900,1.2977633190303095e-08,0.0
1901,1.0059729937950124e-08,0.0
1902,9.820567470342212e-09,0.0
1903,1.4580594509538969e-08,1.0800440541913758e-09
