year,tout_ADV eu_VERB,tout_ADV su_VERB
1800,2.829748035892976e-08,5.345079756580162e-08
1801,7.381665767525192e-08,1.500145003774378e-07
1802,6.265952379180817e-08,3.3567602031325805e-08
1803,3.90067853572873e-08,2.9255089017965474e-08
1804,4.9437020477327565e-08,3.460591457837836e-08
1805,8.24434520652062e-08,9.097208675257207e-08
1806,7.204172813857213e-08,3.1698359492793315e-08
1807,9.394952016350544e-08,4.839823830593559e-08
1808,8.837688403318111e-08,2.4926814390369145e-08
1809,9.262025146838937e-08,4.292158095609011e-08
1810,8.658469141664682e-08,1.6380887757350138e-08
1811,7.521230349638586e-08,6.518399686683551e-08
1812,7.468183138570339e-08,7.734903562095496e-08
1813,1.5241430517676235e-07,4.026038169513413e-08
1814,9.440031245588898e-08,4.090680150170556e-08
1815,9.170560044680087e-08,1.0519171667056071e-07
1816,8.111613780670268e-08,1.6918508549679245e-07
1817,1.1987925141454525e-07,9.341240314597599e-08
1818,9.65615352122029e-08,1.1205906957911793e-07
1819,1.0247539350416446e-07,7.03871378959775e-08
1820,1.079849791807419e-07,1.293446416639199e-07
1821,9.17118416765561e-08,1.3904698903388635e-07
1822,9.524335098376469e-08,8.120748873352568e-08
1823,8.696764552951208e-08,8.30145694408202e-08
1824,1.1284290923896378e-07,8.168479581627253e-08
1825,1.0038205200402217e-07,1.0214314016820936e-07
1826,9.336463513420767e-08,1.2243097557984584e-07
1827,1.0231173064312316e-07,5.7147094167930845e-08
1828,9.630916242286958e-08,1.1098484264948638e-07
1829,9.773420917014164e-08,7.715858174606183e-08
1830,1.0541203909752994e-07,7.931995327226105e-08
1831,1.3252525299378703e-07,5.456922025359745e-08
1832,1.244757150686837e-07,5.411987658021644e-08
1833,1.0656937909914177e-07,4.2859426230279496e-08
1834,1.092140120562135e-07,7.654315226091057e-08
1835,1.3916081087472776e-07,2.949604294144592e-08
1836,1.1694104973258845e-07,8.468145296092189e-08
1837,1.1897993701381893e-07,8.836521203647862e-08
1838,1.2056229614643144e-07,5.680945847075236e-08
1839,1.0557127616550588e-07,7.061390050466798e-08
1840,1.1146955358753985e-07,6.815567132889555e-08
1841,1.1364370866573381e-07,9.309795245826535e-08
1842,1.495943084961482e-07,7.848669980603518e-08
1843,1.4885416543819474e-07,9.805472700463724e-08
1844,1.5367972050484013e-07,7.190015338665035e-08
1845,1.5289823895869858e-07,9.263178668561522e-08
1846,1.586569808864624e-07,1.264572233594663e-07
