year,doivent_VERB aider_VERB,doivent_VERB céder_VERB
1800,5.345079756580162e-08,2.04370692813427e-07
1801,1.4287095950749062e-08,1.2858386355674156e-07
1802,2.9091921760482364e-08,1.4545960880241182e-07
1803,5.655983770225248e-08,1.4627543976075685e-07
1804,5.438072037122765e-08,2.694317515761213e-07
1805,2.842877755426798e-08,2.8144489760961733e-07
1806,4.3225035994964855e-08,2.3341519295172475e-07
1807,5.4092147649953404e-08,1.366538526781369e-07
1808,6.118399653587403e-08,1.9941451512295316e-07
1809,2.4849335034105025e-08,2.0783080856290326e-07
1810,5.148278958699848e-08,2.0593115834799391e-07
1811,5.0141537144554604e-08,1.579458341893769e-07
1812,1.0668832928217853e-08,1.1202274663446588e-07
1813,1.1502966579257645e-08,1.581657897986588e-07
1814,2.5173417128598885e-08,2.7061423679697327e-07
1815,2.966945977789237e-08,1.9689731800554e-07
1816,2.3176038865813098e-08,2.595716352971067e-07
1817,4.3592454090912724e-08,2.1796228111270466e-07
1818,1.668964877410417e-08,2.5988165930357354e-07
1819,3.622867339458935e-08,1.9252952654369437e-07
1820,4.390598107306687e-08,1.1154492085552192e-07
1821,6.508582117703554e-08,2.3864802756179415e-07
1822,5.714601059025881e-08,1.7244059336007922e-07
1823,3.9530746676064155e-08,1.7591182199794275e-07
1824,4.21055617039201e-08,1.6336959163254505e-07
1825,2.6416328680056722e-08,1.3560382683408534e-07
1826,3.3470339388941284e-08,8.984144272972117e-08
1827,1.6591091167583727e-08,1.8618891317601083e-07
1828,4.861319524707142e-08,1.9078386515047896e-07
1829,1.457439946506156e-08,2.2547453681909246e-07
1830,2.7135772739939057e-08,1.9203777412712952e-07
1831,4.8332740476553226e-08,1.9177183219198923e-07
1832,2.0294953273491956e-08,2.1242051673198148e-07
1833,2.4325620628928846e-08,2.0966368197150587e-07
1834,2.6136685704614138e-08,2.1749457346231793e-07
1835,6.352993864311429e-08,1.830267279956388e-07
1836,2.5538851033957144e-08,1.7070705382593587e-07
1837,7.236206300831327e-08,1.628146435450617e-07
1838,5.23909449157145e-08,1.6096012700472784e-07
1839,5.103776956616457e-08,1.4891841715325427e-07
1840,5.7327198987877637e-08,1.5032465228159708e-07
1841,2.632424944692957e-08,1.6372398192743276e-07
1842,3.287049921141261e-08,1.5563175281840813e-07
1843,3.485077471054865e-08,1.7011903707953024e-07
1844,2.9089374464774664e-08,1.5807056286121224e-07
1845,4.8547981634783355e-08,1.7354508941025415e-07
1846,7.552306868774394e-08,1.7270778585043445e-07
1847,7.11905556727288e-08,1.537068783363793e-07
1848,4.827133182061516e-08,1.6331800622992887e-07
1849,5.614208120618969e-08,1.726159410964101e-07
1850,2.7834882843080777e-08,1.4324781716368307e-07
1851,5.611011744122152e-08,1.3285843181165546e-07
1852,8.073076429582215e-08,1.718783977366911e-07
1853,2.448492075757258e-08,1.5706180533925362e-07
1854,6.130883889454708e-08,1.413220758195166e-07
1855,3.92713346286655e-08,1.6080019804576295e-07
1856,5.0736453260924463e-08,2.1226475155344815e-07
1857,2.5383847912507917e-08,1.8061584228235006e-07
1858,4.7468656561022726e-08,1.5708700118466368e-07
1859,5.4995471288066256e-08,1.425808591193345e-07
1860,3.8448344952257685e-08,2.0643099674089171e-07
1861,3.678451676591976e-08,1.5562680744096724e-07
1862,4.743885639868495e-08,1.4728635733263218e-07
1863,4.145535115185339e-08,1.3585368208168802e-07
1864,6.520829742839851e-08,1.4240342238736048e-07
1865,6.307171673824996e-08,1.4826559890934732e-07
1866,5.498142741089396e-08,1.605652215630471e-07
1867,3.930777126015528e-08,1.0724713206400338e-07
1868,5.4832600682175325e-08,1.926550936559579e-07
1869,4.248661511496721e-08,1.2306468022416084e-07
1870,4.9886224928741285e-08,1.3761717809757101e-07
1871,7.328612383616928e-08,9.665271250014484e-08
1872,5.744972497723211e-08,1.7718704725666612e-07
1873,2.6937019725892242e-08,1.5743191283945634e-07
1874,2.8678122987457755e-08,9.917851429008806e-08
1875,3.833423178889461e-08,1.178634576604054e-07
1876,4.292670396921494e-08,1.5538257969183178e-07
1877,3.0924081073635534e-08,1.3853987468337436e-07
1878,3.804625947623208e-08,1.2561304174596444e-07
1879,4.3376211067425174e-08,1.1668811339404783e-07
1880,4.428314070992201e-08,1.0268554007097919e-07
1881,3.834879080955034e-08,1.3526664588425774e-07
1882,2.728707926280549e-08,1.3710094037833187e-07
1883,4.549924170760278e-08,1.3396999065662385e-07
1884,5.413391335196138e-08,1.0364664149165037e-07
1885,3.93183761104865e-08,1.5856264212743554e-07
1886,6.582533274013258e-08,9.551126822771039e-08
1887,5.419007464979586e-08,1.214379921066211e-07
1888,6.150396103521416e-08,1.2681229577538033e-07
1889,6.641045047217631e-08,1.1778457320588132e-07
1890,4.784702056781498e-08,1.822119486405427e-07
1891,6.69293100941104e-08,1.2939666760303226e-07
1892,3.761107336686109e-08,1.3978782931189926e-07
1893,5.542574754713314e-08,1.1516238629383224e-07
1894,3.7179081147087345e-08,9.641355092071535e-08
1895,4.393588426410133e-08,1.426411699867458e-07
1896,3.4202766840962795e-08,1.1735087923625542e-07
1897,5.0692406716734695e-08,1.252743402346823e-07
1898,4.809601605870739e-08,1.5277558418347326e-07
1899,3.758753308602536e-08,1.3874222304366413e-07
1900,4.879590065343109e-08,1.2821901407278347e-07
1901,4.750427962108006e-08,1.307764847524595e-07
1902,4.370152595356558e-08,1.3846999991073972e-07
1903,5.508224631967096e-08,1.4040573148577096e-07
1904,4.998401337275027e-08,1.2307891950058547e-07
1905,6.708986433068276e-08,1.3314758007254568e-07
1906,5.5042775670699484e-08,1.563832086048933e-07
1907,5.862841589987511e-08,9.411403567582965e-08
1908,6.237463878733251e-08,1.3064294535070076e-07
1909,4.8408654862441836e-08,1.3422399547380337e-07
1910,5.02350161468712e-08,1.4803296721765946e-07
1911,7.235708920916295e-08,1.0055507004835817e-07
1912,6.459682566628544e-08,1.2710987107311666e-07
1913,6.045408440513711e-08,1.2780205338458472e-07
1914,6.49584137590864e-08,1.366135649050193e-07
1915,5.183535378705528e-08,1.8260180922879954e-07
1916,6.922100936890274e-08,2.1095927138503612e-07
1917,9.211796481167767e-08,1.9958892494287284e-07
1918,8.614782132099208e-08,1.7459291257182485e-07
1919,6.721729306491397e-08,1.6482049147725775e-07
1920,9.919623522591792e-08,1.6507465261383913e-07
1921,8.102839643697735e-08,1.6735771168896463e-07
1922,5.5334517412575224e-08,1.770704471937279e-07
1923,5.201814445854325e-08,1.7410154384833731e-07
1924,6.83256118350073e-08,1.6501279276326386e-07
1925,5.829034321891413e-08,1.099817765748412e-07
1926,6.799144358637932e-08,1.3821211553022295e-07
1927,6.912519268098549e-08,1.505145377223016e-07
1928,9.255093402771308e-08,1.2797165993561066e-07
1929,7.909688548579652e-08,1.3591295555670513e-07
1930,5.461873797685257e-08,1.4915117674263456e-07
1931,7.299428261831054e-08,1.2888052935977612e-07
1932,7.562080384104775e-08,1.501456523556044e-07
1933,6.079451253526713e-08,1.6747166853292583e-07
1934,7.7880272897346e-08,1.1262685006840911e-07
1935,7.89906735576551e-08,1.3524160635824956e-07
1936,7.1535815493462e-08,1.4185916086262296e-07
1937,6.295559273894469e-08,1.2842940577684203e-07
1938,8.427389275311725e-08,1.6076866415914992e-07
1939,5.6587985852729616e-08,1.2999943521663226e-07
1940,8.621661606866837e-08,1.2425336137766863e-07
1941,8.854507882460894e-08,1.4167213180371618e-07
1942,1.0012898599143227e-07,1.6384743162234372e-07
1943,2.9032351633873077e-08,1.6258117341294565e-07
1944,8.032965581605822e-08,1.5744612369417155e-07
1945,1.2199622290154366e-07,1.612093001313042e-07
1946,1.0301616981678308e-07,1.4477947729574225e-07
1947,1.2278496797080152e-07,1.8596558959416143e-07
1948,8.806229345736938e-08,1.3263702669519262e-07
1949,1.197675061348491e-07,1.1289559864735565e-07
1950,9.678178969352302e-08,1.7548346420426242e-07
1951,8.955577612823618e-08,1.3753208349953638e-07
1952,1.0755699975106836e-07,1.3391901632076042e-07
1953,1.0558350993505883e-07,1.2713115893348004e-07
1954,8.013479657620337e-08,1.3290649292230228e-07
1955,1.0042600706583471e-07,1.3139850807419862e-07
1956,1.290729017000558e-07,1.0290946761415398e-07
1957,9.89524195915692e-08,1.1043797343290862e-07
