year,devraient_VERB aider_VERB,devraient_VERB céder_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,1.556873407970727e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,1.035105001712111e-09
1820,5.933240565525466e-09,0.0
1821,1.97229765852569e-09,1.3806083387635226e-08
1822,0.0,0.0
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,5.052667617633233e-09,0.0
1825,8.805443485471187e-09,0.0
1826,0.0,7.0463874735082754e-09
1827,0.0,1.1060727445055818e-08
1828,0.0,2.7516904310687096e-09
1829,0.0,1.714635211591542e-09
1830,9.39315203396518e-09,8.349468672008697e-09
1831,3.1182412207897414e-09,2.182768810143898e-08
1832,0.0,1.2176972319366541e-08
1833,2.3167257001688313e-09,1.1583628500844156e-09
1834,9.334530925997342e-10,6.534171426153534e-09
1835,7.563087933704082e-10,6.050470346963266e-09
1836,6.720750067579218e-10,6.720750067579218e-10
1837,6.957890930081589e-10,1.3915782304252389e-08
1838,6.312161904276081e-09,1.8936485712828244e-09
1839,2.0974426639952526e-09,4.194885327990505e-09
1840,3.1848443882154243e-09,5.732719632334238e-09
1841,1.2841097074556274e-09,3.852329122366882e-09
1842,4.024959032733477e-09,8.049918065466954e-09
1843,8.269675610961258e-09,2.953455480181333e-09
1844,3.841992946007622e-09,5.488561272137815e-10
1845,0.0,2.7901139176833567e-09
1846,1.5221703009160592e-08,7.025401593807601e-09
1847,3.775256551818984e-09,1.0247124926365814e-08
1848,1.045878850192139e-08,1.6090443422100975e-09
1849,8.379414939696517e-10,4.1897072478036534e-09
1850,0.0,4.073397619208663e-09
1851,8.384270167027807e-09,1.3543821175687754e-08
1852,2.6042181744401205e-09,3.2552727180501506e-09
1853,8.957897534855874e-09,4.180352064508952e-09
1854,0.0,8.832629738719788e-09
1855,4.776243400783642e-09,1.0083180512765466e-08
1856,0.0,9.318940286107136e-09
1857,6.345961978126979e-09,5.369659827891837e-09
1858,1.468102750479261e-09,8.808616946964776e-09
1859,5.092173349652285e-10,0.0
1860,0.0,1.1442959468865865e-08
1861,2.357981809808507e-09,8.960331143725853e-09
1862,4.517986262886353e-10,2.2589932147099034e-09
1863,0.0,1.4484400345793347e-08
1864,1.9178911792039344e-09,7.1920918109924514e-09
1865,1.5061901947888146e-08,9.41368871743009e-10
1866,0.0,7.298419202328432e-09
1867,2.91168689159349e-09,4.367530337390235e-09
1868,1.333765986544222e-08,2.4699371437009177e-09
1869,0.0,6.348574999037737e-09
1870,5.734048791339319e-10,1.77755516972411e-08
1871,2.1242354542039266e-09,6.37270636261178e-09
1872,0.0,1.8142017887967654e-09
1873,5.387403856360606e-09,1.7958012854535355e-09
1874,2.3898436563030145e-09,3.5847653734322193e-09
1875,1.1443054281912168e-09,8.58229043387837e-09
1876,4.836811839936672e-09,8.464420275799966e-09
1877,6.184815992682502e-10,0.0
1878,8.4547240319921e-09,6.039088673581716e-10
1879,3.0546627449723474e-09,9.774920428640144e-09
1880,1.1552122813895949e-08,5.776061406947974e-09
1881,6.972507571312292e-10,4.8807553554297556e-09
1882,1.9966155395678697e-09,8.652000893505374e-09
1883,1.2638677882037541e-09,4.423537092179686e-09
1884,4.621187876807653e-09,1.386356363042296e-08
1885,2.5782542767416317e-09,1.6114089618213256e-08
1886,6.453463874400711e-10,1.936039106809062e-09
1887,5.876032105334161e-09,1.6322312390570914e-08
1888,2.53624587998047e-09,5.706553452000662e-09
1889,6.891650361495749e-09,8.14467782106476e-09
1890,6.554386478008212e-10,8.520702365899524e-09
1891,1.2748440081367107e-09,7.0116419337296065e-09
1892,4.387958441043338e-09,6.268512375839919e-09
1893,0.0,3.079208221734575e-09
1894,5.671385139294216e-09,9.452309157609307e-09
1895,4.814891596538473e-09,1.444467478961542e-08
1896,4.1279202278587945e-09,2.948514543632541e-09
1897,8.740070001067579e-09,5.826713334045053e-09
1898,9.05336783318944e-09,1.584339415217073e-08
1899,4.4220627160029835e-09,3.3165470370022376e-09
1900,7.26747462209687e-09,1.349673794948103e-08
1901,8.38310842965484e-09,1.0618603774048552e-08
1902,4.910283735171106e-09,8.347482705062248e-09
1903,1.5120615870500842e-08,8.100330184390714e-09
1904,8.061937784020756e-09,3.2247751136083025e-09
1905,7.741138396966107e-09,1.0321517862621477e-08
1906,8.230695236477459e-09,4.115347618238729e-09
1907,4.114274698707732e-09,5.142843484406967e-09
1908,2.9468334439286537e-09,7.858222517143076e-09
1909,9.351672325408344e-09,1.1001967337165297e-08
1910,7.481810726517324e-09,1.1757131268552712e-08
1911,9.576673676292558e-09,3.7242617878519013e-09
1912,5.730363294986773e-09,6.772247651554153e-09
1913,6.363587878865928e-09,4.242391771214216e-09
1914,6.696743715117748e-10,1.875088173619588e-08
1915,1.0602685840410686e-08,7.068456930880984e-09
1916,1.0987461607214755e-08,1.538244731591476e-08
1917,2.52227767560953e-08,2.3029491202919417e-08
1918,1.033773866510046e-08,1.033773866510046e-08
1919,1.5653341733923298e-08,1.8415696745321952e-09
1920,4.543339038320937e-09,1.3630017114962811e-08
1921,8.330022005509363e-09,6.815472630705699e-09
1922,1.475587119159627e-08,1.1066902949607993e-08
1923,4.246379248229459e-09,9.554353752605493e-09
1924,3.867487219366694e-09,6.445812328337297e-09
1925,6.598906754362588e-09,6.598906754362588e-09
1926,1.671920735191179e-08,1.0031524944054127e-08
1927,3.3447675740205796e-09,7.804457524684949e-09
1928,5.713020723163709e-09,1.1426041224282812e-09
1929,5.570202965543558e-09,3.342121912552898e-09
1930,6.302162347537887e-09,3.1510811737689437e-09
1931,4.5621426636444085e-09,5.7026783295555106e-09
1932,9.863582839386709e-09,8.767629289252454e-09
1933,1.0323596200123575e-08,9.176529758292418e-09
1934,9.585264137967897e-09,8.38710612072191e-09
1935,2.154291145473053e-08,5.98414207075848e-09
1936,8.487299751891442e-09,4.849885826274658e-09
1937,1.1332006444320086e-08,1.0072894518486919e-08
1938,1.2965214679638848e-08,1.2965214679638848e-08
1939,3.058810094103137e-09,9.176430282309411e-09
1940,1.7750480196809804e-08,7.607348528892999e-09
1941,0.0,2.3612020783048138e-08
1942,1.517105907566929e-08,2.1239483061208375e-08
1943,1.1612940831184915e-08,5.806470415592457e-09
1944,1.2852744646352221e-08,6.4263723231761105e-09
1945,2.6142048525912287e-08,6.535512131478072e-09
1946,1.2528993842408909e-08,1.1136883415474585e-08
1947,1.1920871401116528e-08,1.3112957830685446e-08
1948,2.174377655705939e-08,5.435944139264848e-09
1949,2.6505922789965553e-08,8.835307596655184e-09
1950,1.2762433776458693e-08,6.381216888229346e-09
1951,8.529121409139861e-09,1.1727541604500402e-08
1952,1.7926167217297007e-08,9.490323193972472e-09
1953,2.477980309834038e-08,9.69644453618912e-09
1954,2.247683283940205e-08,8.795282724349818e-09
1955,1.9709776921672528e-08,7.508486277174597e-09
1956,2.616342520411763e-08,7.849027205963921e-09
1957,3.003912851795576e-08,7.951533653738352e-09
1958,2.3989505493204888e-08,6.617794756635931e-09
1959,2.325224279786653e-08,1.6276571201956358e-08
1960,3.460416664324839e-08,1.1765417085030094e-08
1961,2.91822690456911e-08,1.320150300188061e-08
1962,2.0928455413127267e-08,1.2683912586908264e-08
1963,2.2631185814248056e-08,1.5518526907953856e-08
1964,4.319617374903828e-08,2.007709554163739e-08
1965,3.720989383282358e-08,1.2038495533772675e-08
1966,2.6033651678858405e-08,1.0524241922382771e-08
1967,3.204718268534634e-08,7.888536934785861e-09
1968,3.1439910230801615e-08,8.533690198930799e-09
1969,3.40631842732364e-08,8.175163657142548e-09
1970,3.632992928714884e-08,5.978342709767048e-09
1971,5.087013477123037e-08,8.735275613958038e-09
1972,4.514529194921124e-08,1.7955514408640738e-08
1973,4.686223320504723e-08,8.821126051827832e-09
1974,5.85059467539395e-08,7.313243344242437e-09
1975,4.968987710185502e-08,1.1994108817248161e-08
1976,5.656391621755574e-08,1.1427053969725876e-08
1977,5.7004783116099134e-08,8.22749424145286e-09
1978,6.772274474542428e-08,1.2475242172627077e-08
1979,4.7986180362613595e-08,9.948355028654987e-09
1980,6.196814439363152e-08,1.3075846183596695e-08
1981,5.69299452024552e-08,8.855769451088236e-09
1982,5.524676893742253e-08,1.2415004135846175e-08
1983,6.062703050702112e-08,1.326216381158929e-08
1984,5.8569984417999876e-08,6.378909400694965e-09
1985,7.579603078511354e-08,7.820225356169885e-09
1986,6.114375139532058e-08,1.0790073723399018e-08
1987,6.477466030219148e-08,6.110816741511371e-09
1988,7.435726701032763e-08,5.99655392008458e-09
1989,7.68337073964176e-08,6.036934507847036e-09
1990,5.5031375012504213e-08,1.471135746555774e-08
1991,6.975143662657501e-08,5.8614650910726596e-09
1992,6.832330967654343e-08,1.1570882918476855e-08
1993,7.090185505376212e-08,1.1078414630105726e-08
1994,6.962903142948562e-08,1.2659823411809157e-08
1995,5.747797970911961e-08,1.3556126887692699e-08
1996,7.473329333151923e-08,9.60856638698715e-09
1997,7.480035435492027e-08,1.3905194329311144e-08
1998,8.201182311040611e-08,1.0966696883940585e-08
1999,7.723640038648227e-08,1.3710603319339043e-08
2000,6.494506266108147e-08,5.743440834038438e-09
2001,8.368114379209146e-08,1.095302959441824e-08
2002,7.053766637454828e-08,8.324320788233308e-09
2003,8.750538427193533e-08,1.2500768420409258e-08
2004,7.488144859735257e-08,7.047666006343434e-09
2005,8.016674257760315e-08,1.0358624180639708e-08
2006,6.670981633760675e-08,9.471146533712727e-09
2007,4.833320232933147e-08,6.7906151812735516e-09
2008,4.981204426712793e-08,1.575252639440805e-08
2009,7.390698186782174e-08,8.582746957586096e-09
2010,6.329882751288096e-08,1.322662068758973e-08
2011,5.5065196846726394e-08,9.177532511728259e-09
2012,4.868081404652003e-08,5.7872298064864935e-09
2013,3.151711425175563e-08,8.367375237128272e-09
2014,2.4469530401916018e-08,6.063246349441442e-09
2015,2.5268960257562867e-08,8.86630147078904e-09
2016,2.8791626860424913e-08,7.663958356829426e-09
2017,3.19482644783875e-08,6.037467414898856e-09
2018,3.407535942301365e-08,6.453666934191915e-09
2019,2.448948244193616e-08,7.397864543179367e-09
