year,furent_VERB en_ADP,furent_VERB sans_ADP
1800,2.1160226424399298e-06,6.445537223953579e-07
1801,1.9787628389167367e-06,6.333945634651172e-07
1802,2.2512672330776695e-06,8.436657026322791e-07
1803,2.3384566247841576e-06,6.416615860871389e-07
1804,1.6981615544864326e-06,5.092012997920392e-07
1805,2.422131728962995e-06,8.358060199498141e-07
1806,1.8990199350810144e-06,8.990807600639528e-07
1807,1.9957155927841086e-06,6.234831744222902e-07
1808,2.560663688200293e-06,8.950992196332663e-07
1809,2.3945724478835473e-06,8.900580041881767e-07
1810,1.984427399293054e-06,7.488405344702187e-07
1811,2.466963451297488e-06,9.57703377935104e-07
1812,2.0990928533137776e-06,6.241266987672134e-07
1813,1.782959770935122e-06,8.253378496192454e-07
1814,2.583421974122757e-06,9.912032510328572e-07
1815,2.200934432039503e-06,1.3620979188999627e-06
1816,1.944469659065362e-06,9.84981625151704e-07
1817,2.476985628163675e-06,7.971191848810122e-07
1818,2.564245278335875e-06,1.1480093462523655e-06
1819,2.4697606022527907e-06,7.701181061747775e-07
1820,2.7518369734025327e-06,8.982926260614477e-07
1821,2.6399204671179177e-06,8.431572382505692e-07
1822,2.410158003840479e-06,7.388878771052987e-07
1823,3.1930960631143535e-06,8.370635669052717e-07
1824,4.164240181125933e-06,9.120064987655496e-07
1825,3.6137537335889647e-06,8.277116307908727e-07
1826,4.632999662135262e-06,8.658248589199502e-07
1827,2.9744139737886144e-06,8.470673833471665e-07
1828,3.0571279694413533e-06,7.411219371533662e-07
1829,2.637108991621062e-06,9.276176342609688e-07
1830,2.7125336146127665e-06,8.787815772848262e-07
1831,2.0861034499830566e-06,7.468187845915963e-07
1832,2.317683765795664e-06,6.737924991284672e-07
1833,2.3155673716246383e-06,8.583468797951355e-07
1834,2.6799439183378126e-06,8.298397915496025e-07
1835,3.200698756700149e-06,8.281581358460244e-07
1836,3.7286720271367813e-06,8.568956104682002e-07
1837,3.351615987412515e-06,7.952869509608718e-07
1838,3.945101070712553e-06,9.594485845809686e-07
1839,3.094426801908412e-06,8.837224640956265e-07
1840,3.0402522952499567e-06,9.000369800560293e-07
1841,2.796791022774414e-06,7.935797725622251e-07
1842,2.544444896557252e-06,7.73462943470804e-07
1843,2.619124416014529e-06,7.259593530761776e-07
1844,2.4451539957226487e-06,8.820118182484293e-07
1845,2.4843175197020173e-06,6.757655910405447e-07
1846,2.299062771271565e-06,7.634269536538341e-07
1847,2.3492882519349223e-06,7.011190632510989e-07
1848,2.168187165807467e-06,6.934981229278492e-07
1849,1.955755351445987e-06,5.857211249349348e-07
1850,2.082864057229017e-06,6.381656021403614e-07
1851,2.1515327262022765e-06,6.642922016908415e-07
1852,2.296920456501539e-06,7.129047503440233e-07
1853,2.276500481457333e-06,5.959988129689009e-07
1854,2.4372861844312865e-06,5.928253017373208e-07
1855,2.069705487883766e-06,6.962701490920153e-07
1856,2.0563795715133892e-06,6.854598382233235e-07
1857,2.3655793484067544e-06,6.355724622153502e-07
1858,2.520732550692628e-06,6.777741532459913e-07
1859,2.3021716515359003e-06,6.110607841947058e-07
1860,2.1759931314591086e-06,5.835909746565449e-07
1861,2.0038130514876684e-06,5.008353696211998e-07
1862,2.0782736100954935e-06,5.45772763871355e-07
1863,2.144690142813488e-06,6.183340701682027e-07
1864,1.944741597981192e-06,5.883131279915688e-07
1865,2.079483920169878e-06,5.643506142405386e-07
1866,2.0761569885507924e-06,5.386233397075557e-07
1867,2.1949265374132665e-06,5.299270355862973e-07
1868,2.1276036932249554e-06,4.949753815708391e-07
1869,2.161933934985427e-06,5.083743417344522e-07
1870,2.207035322498996e-06,5.470282644637336e-07
1871,2.0647569272114197e-06,4.025426108000829e-07
1872,2.171599589928519e-06,4.166616633938247e-07
1873,1.8532670083004632e-06,4.9623974973656e-07
1874,2.1317405298759695e-06,5.096341624266643e-07
1875,1.920716613312834e-06,5.086437795398524e-07
1876,1.7412522765880567e-06,5.193526817492966e-07
1877,2.0502664028754225e-06,5.615813165604777e-07
1878,1.9494177649903577e-06,6.002854320286133e-07
1879,1.925048309203703e-06,4.7102898292905593e-07
1880,1.70201280980109e-06,4.7299528205257957e-07
1881,1.6162272231667885e-06,3.5699238765118935e-07
1882,1.7004508663376328e-06,4.991538844478782e-07
1883,1.5817305438758922e-06,5.554699100684957e-07
1884,1.5962903034960618e-06,4.198679164346686e-07
1885,1.626878429306089e-06,4.21544569917387e-07
1886,1.7753478687154711e-06,4.3560882545534696e-07
1887,1.4252642586143338e-06,3.9891730807539716e-07
1888,1.5712042795712478e-06,4.007268614714121e-07
1889,1.500500275142258e-06,4.2352323248451285e-07
1890,1.2905586572742322e-06,3.847424920877529e-07
1891,1.4456730923484429e-06,3.6396795621840283e-07
1892,1.473100383009296e-06,3.7360334204095125e-07
1893,1.4644714383393875e-06,4.4217429717718915e-07
1894,1.65856511102902e-06,4.965613129570556e-07
1895,1.4637270169259864e-06,4.4898862938680395e-07
1896,1.452438255000743e-06,4.2340667505413876e-07
1897,1.3453881138048018e-06,3.909724739514786e-07
1898,1.4372221812664066e-06,4.0457237560076464e-07
1899,1.5880732462392189e-06,4.3225662693657796e-07
1900,1.3745908518103533e-06,4.241090323375829e-07
1901,1.4055677866053884e-06,3.632680432019697e-07
1902,1.2580147767948802e-06,3.707264397689869e-07
1903,1.4964010688345297e-06,4.795395511791867e-07
1904,1.3689170828001807e-06,5.546613124352007e-07
1905,1.5219078477457515e-06,4.4279312305661733e-07
1906,1.432140948054439e-06,4.866398626290902e-07
1907,1.3330250112630893e-06,4.119417553738458e-07
1908,1.3354066368265194e-06,4.3416679318397655e-07
1909,1.4616113048759871e-06,4.587820399137854e-07
1910,1.4113901443124632e-06,4.905930381937651e-07
1911,1.5312036794057349e-06,4.45847348373718e-07
1912,1.3518448440663633e-06,4.204002834740095e-07
