year,appartenant_VERB en_ADP,appartenant_VERB sans_ADP
1800,6.917161954334006e-08,6.288328968651058e-09
1801,1.4048977448055666e-07,9.524730337773235e-09
1802,1.4545960880241182e-07,1.5664880947952042e-08
1803,1.2677205063482688e-07,2.145373123596528e-08
1804,3.806650568094483e-07,4.943701892301533e-09
1805,2.5301611117356515e-07,0.0
1806,3.0833859909762396e-07,1.4408345627714425e-08
1807,5.665440880875394e-07,8.540865792383556e-09
1808,2.900574713748938e-07,6.798221985349073e-09
1809,3.0496912017952127e-07,2.710836710662079e-08
1810,2.4103306373035593e-07,0.0
1811,1.7048121492280188e-07,2.5070767684098882e-09
1812,2.053750307595692e-07,2.6672082320544632e-09
1813,1.6104152678053651e-07,2.300593315851529e-08
1814,2.454408161156607e-07,1.2586708564299443e-08
1815,1.2407228666688752e-07,1.6183340889597275e-08
1816,2.3871319854151807e-07,0.0
1817,1.4478922594207688e-07,0.0
1818,1.3947777688372298e-07,1.1921177378582115e-09
1819,1.0040518816367694e-07,1.0351049795076506e-08
1820,2.7174240813110373e-07,7.119888678630559e-09
1821,2.406203236660076e-07,1.0847637454958203e-08
1822,1.8948414037822658e-07,1.4035862250239006e-08
1823,2.6584427814668743e-07,3.9530747564242574e-09
1824,2.1052781562502787e-07,1.431589158329416e-08
1825,2.3950804006744875e-07,9.68598712347557e-09
1826,2.59835530869168e-07,2.8185549894033102e-08
1827,2.89422359855962e-07,4.608636583469661e-09
1828,3.549680513970088e-07,4.586150570418113e-09
1829,3.3864046145026805e-07,1.628903412154159e-08
1830,2.1499882052467e-07,8.245100246995207e-08
1831,2.385454536124598e-07,2.8064171431196883e-08
1832,3.436612132645678e-07,2.3000948701223933e-08
1833,3.092828819717397e-07,1.9692167896323554e-08
1834,3.920503104382078e-07,2.5203233278148218e-08
1835,2.911788783421798e-07,2.647080776796429e-08
1836,3.367095757766947e-07,2.9571300075303952e-08
1837,3.569398074887431e-07,3.270208637218275e-08
1838,3.610556689181976e-07,3.219202682203104e-08
1839,3.628575484526664e-07,3.146163862766116e-08
1840,4.1657764882074844e-07,2.993753511759678e-08
1841,3.826646945981338e-07,2.5682194149112547e-08
1842,3.4547565519460477e-07,3.4212153110502186e-08
1843,4.0462342099090165e-07,2.8943864194275193e-08
1844,3.326068167552876e-07,4.006649589882727e-08
1845,3.850357188639464e-07,2.511102614732863e-08
1846,3.37804721084467e-07,2.8101606375230404e-08
1847,3.7644701933459146e-07,2.480882876909618e-08
1848,4.135243898417684e-07,7.321151684891447e-08
1849,3.996980808551598e-07,8.379414850878675e-08
1850,3.7067917446620413e-07,2.7834882843080777e-08
1851,4.3404722305240284e-07,3.740674614505224e-08
1852,3.7630951510436716e-07,4.6224872818356744e-08
1853,4.4132576704214443e-07,2.09017620989016e-08
1854,3.673334845188947e-07,3.065441944727354e-08
1855,3.449509051733912e-07,6.739810487488285e-08
1856,4.224586405143782e-07,5.1254172461767666e-08
1857,4.0418893831883906e-07,4.3445432140742923e-08
1858,4.267285476089455e-07,6.900083349137276e-08
1859,4.1246605064770847e-07,4.277425702525761e-08
1860,4.2613581285877444e-07,4.577183787546346e-08
1861,4.112320368676592e-07,5.3761986862355116e-08
1862,4.418590435761871e-07,3.298130124562704e-08
1863,3.895804354669963e-07,5.194405616748554e-08
1864,4.785138685292623e-07,3.0206784629172034e-08
1865,4.5279841742740246e-07,3.7654753981541944e-08
1866,5.775482350145467e-07,3.649209645573137e-08
1867,4.3772359958893503e-07,4.464586567110018e-08
1868,4.144554281992896e-07,3.6061081232219294e-08
1869,4.6393432739932905e-07,5.4207063726607885e-08
1870,4.191589653146366e-07,6.880858904878551e-08
1871,4.3971672880616097e-07,1.0196330180178848e-07
1872,6.065481557016028e-07,6.71254696271717e-08
1873,4.980355470252107e-07,5.207823861042016e-08
1874,4.911128712592472e-07,7.707245686106035e-08
1875,4.525728058979439e-07,7.437985516389745e-08
1876,5.719530236092396e-07,8.585340793842988e-08
1877,5.621997729576833e-07,7.916564470633602e-08
1878,5.151342747922172e-07,5.5559617351264023e-08
1879,5.425080757959222e-07,7.147910707772098e-08
1880,5.538601044463576e-07,4.941741593711413e-08
1881,4.950480274601432e-07,4.741305303923582e-08
1882,5.477381819218863e-07,8.3857855770475e-08
1883,6.679541115772736e-07,5.9401784824331116e-08
