year,serait_VERB en_PRON,serait_VERB sans_ADP
1800,7.231578535993322e-08,1.2545216350190458e-06
1801,1.142967676059925e-07,1.1786853519879514e-06
1802,8.727576528144709e-08,1.1144443305965979e-06
1803,6.631153581793114e-08,1.2443164223441272e-06
1804,9.145848167690929e-08,1.6610838429187424e-06
1805,5.1171799242411e-08,1.1968514854743262e-06
1806,1.0662175498055149e-07,1.1353776017131167e-06
1807,1.0249038240317532e-07,1.2583541320054792e-06
1808,7.478044494746428e-08,1.502407030784525e-06
1809,9.487928309681593e-08,1.3509002201317344e-06
1810,1.427477371862551e-07,1.4649193644800107e-06
1811,1.178326058948187e-07,1.3086940953144222e-06
1812,1.893717893608482e-07,2.4138234948622994e-06
1813,1.5241430162404868e-07,2.565161594247911e-06
1814,1.6992056828257773e-07,2.0453401248232694e-06
1815,8.361393355471591e-08,2.3843456347094616e-06
1816,9.038654980031424e-08,1.5991466852938174e-06
1817,7.161617787687646e-08,1.7670513443590607e-06
1818,1.0609847578280096e-07,1.9503045223245863e-06
1819,1.2938812687934842e-07,1.8901017710959422e-06
1820,1.6494408328071586e-07,2.132406734745018e-06
1821,1.311577904061778e-07,1.8273337900609476e-06
1822,9.825103575167304e-08,2.3279480956261978e-06
1823,1.1562743651438723e-07,1.919217766044312e-06
1824,7.915846111927749e-08,1.9267506559117464e-06
1825,1.1535130539641614e-07,2.05166816158453e-06
1826,9.248383747717526e-08,2.076041937471018e-06
1827,1.778933693685758e-07,2.6674788387026638e-06
1828,1.4950850868444832e-07,2.7718695037037833e-06
1829,2.1690135554308654e-07,2.772565039776964e-06
1830,1.2941676175159955e-07,2.897265630963375e-06
1831,1.6682589887295762e-07,2.634913926158333e-06
1832,1.3665268738805025e-07,2.754701654339442e-06
1833,1.0656938087549861e-07,2.5715655738167698e-06
1834,1.1388127774125678e-07,2.4820517410262255e-06
1835,1.6941316971497145e-07,2.291615601279773e-06
1836,1.357591514761225e-07,2.197013145632809e-06
1837,1.3637466622640204e-07,2.2536607957590604e-06
1838,1.4139243376121158e-07,2.360117377975257e-06
1839,1.3283802502428443e-07,2.4519104044884443e-06
1840,1.5350950377523986e-07,2.2637873371422756e-06
1841,1.1492782192590312e-07,2.619583710838924e-06
1842,1.925272101743758e-07,2.6464106213097693e-06
1843,1.3704033108297153e-07,2.5677343273855513e-06
1844,1.679499774809301e-07,2.4972953269752907e-06
1845,1.858215910033323e-07,2.564672740845708e-06
1846,1.5865698799188976e-07,2.4343016775674187e-06
1847,1.5586415713642054e-07,2.604926976346178e-06
1848,1.5527277241744741e-07,2.3580544166179607e-06
