year,montrant_VERB en_ADP,montrant_VERB sans_ADP
1800,1.0375742931501009e-07,3.458580977167003e-08
1801,1.166779455274991e-07,5.714838380299625e-08
1802,1.0294064622939914e-07,4.2518962573012686e-08
1803,1.3457341196954076e-07,1.755305234496518e-08
1804,7.415552971679062e-08,8.651478111687538e-08
1805,6.822906328807221e-08,6.254330742194725e-08
1806,1.0085842205853623e-07,8.06867319624871e-08
1807,7.686778502602465e-08,4.839823830593559e-08
1808,9.744118045773575e-08,7.931259204951857e-08
1809,4.51806094758922e-08,1.129515236897305e-08
1810,7.020380365929668e-08,8.190443878675069e-08
1811,3.760615285841595e-08,2.0056614147279106e-08
1812,1.4936365744233626e-07,2.6672082320544632e-09
1813,9.489947672136623e-08,3.738464116054274e-08
1814,9.44003133440674e-08,7.552024783308298e-08
1815,1.1867783911156948e-07,2.4275012222574333e-08
1816,7.879853569647821e-08,1.8540831092650478e-08
1817,4.981994905506326e-08,7.7843672841027e-08
1818,9.775365583664097e-08,4.887682791832049e-08
1819,9.729986771844779e-08,7.866798057420965e-08
1820,1.1035827185423841e-07,5.458581142647745e-08
1821,9.467028405651945e-08,1.8736827200882544e-08
1822,1.0426640528748976e-07,4.912551787583652e-08
1823,1.610877973234892e-07,1.8777104315859106e-08
1824,1.271587990459011e-07,5.5579342017608724e-08
1825,1.5937851571834472e-07,5.6354835464844655e-08
1826,4.051672775062798e-08,5.372870504061211e-08
1827,1.5669364472614689e-07,4.055600300034712e-08
1828,1.4859128327771032e-07,3.118582370120748e-08
1829,8.144517238406479e-08,4.886710414098161e-08
1830,1.4715938334575185e-07,6.366470017837855e-08
1831,1.8709447147102765e-07,5.76874619184764e-08
1832,1.352997003323253e-07,6.629684889958298e-08
1833,1.0888610546544442e-07,4.865124125785769e-08
1834,8.027696907220161e-08,2.9870498963191494e-08
1835,1.3916081798015512e-07,4.61348363955949e-08
1836,1.4046368335129955e-07,5.8470526198561856e-08
1837,1.1132625843401911e-07,2.435261770017405e-08
1838,1.117252637072852e-07,4.670999942391063e-08
1839,1.3283802502428443e-07,4.9639474752893875e-08
1840,1.3758527472873538e-07,4.8409635411417185e-08
1841,1.2263247128885268e-07,2.0545755319290038e-08
1842,1.82464816589345e-07,5.2995293486901573e-08
1843,1.0396163219184018e-07,3.721353891705803e-08
1844,1.2074835353814706e-07,2.7442807137845193e-08
1845,1.5568835465273878e-07,5.8034370198356555e-08
1846,1.1767547647423271e-07,3.6297908678761814e-08
1847,1.024712474873013e-07,4.0449176452739266e-08
1848,1.5849086310026905e-07,1.769948809737798e-08
1849,1.5920888074560935e-07,6.284561493430374e-08
1850,1.4460562169915647e-07,4.8880771430503955e-08
1851,1.7671462160251394e-07,3.9341575330809064e-08
1852,1.4258094438446278e-07,5.9245962802378926e-08
1853,1.0570319375347026e-07,3.702597695109944e-08
1854,2.0626788455047063e-07,3.688921879074769e-08
1855,1.427566047595974e-07,3.92713346286655e-08
1856,1.8482565167232679e-07,5.539592606851329e-08
1857,1.6353055798390415e-07,1.8061584228235006e-08
1858,1.6393815371884557e-07,1.9574704523961373e-08
1859,1.4665459957541316e-07,5.703234151610559e-08
1860,1.684403656554423e-07,3.9363783344015246e-08
1861,1.9618408941823873e-07,1.9807048445841247e-08
1862,1.7755685632891982e-07,3.072230825296174e-08
1863,9.889349428249261e-08,2.447364266799923e-08
1864,1.769254680539234e-07,3.7398876884253696e-08
1865,1.2237795488090342e-07,3.530133341200781e-08
1866,1.3769684414910444e-07,1.4596838404656864e-08
1867,1.2229085655235394e-07,1.9896527092555516e-08
1868,1.5116015106286795e-07,3.309715523869272e-08
1869,1.5920272744551767e-07,2.1487483792270723e-08
1870,1.370437701098126e-07,3.096386436141074e-08
1871,1.1470871186247678e-07,4.460894587055009e-08
1872,1.5118348528631032e-07,3.1446163006876304e-08
1873,1.3109350049944624e-07,1.0774807712721213e-08
1874,1.9775956161538488e-07,2.1508592240593316e-08
1875,1.361723462878217e-07,2.345826111138649e-08
1876,2.0435530245777045e-07,2.7811667635546655e-08
1877,1.5152798482631624e-07,4.2056747417973384e-08
1878,8.635896620035055e-08,2.294853729267743e-08
1879,1.3745982130330958e-07,1.0385853066452455e-08
1880,1.630132970831255e-07,4.171599954361227e-08
1881,1.4014740656875802e-07,9.064259565150223e-09
1882,1.6172586470020178e-07,1.3976308999019693e-08
1883,1.4787252666792483e-07,3.4124429504345244e-08
1884,1.8352717745528935e-07,3.6969503014461225e-08
1885,1.443822412738882e-07,2.0626034213933053e-08
1886,1.5101105077519605e-07,1.677900662855336e-08
1887,1.7693385245820537e-07,1.7628096316002484e-08
1888,1.6802628977075074e-07,3.1703073943845084e-08
1889,1.2780878932971973e-07,1.628935564212952e-08
1890,1.9335439560563827e-07,6.554386366985909e-09
1891,1.7082909664623003e-07,2.4859458491732767e-08
1892,1.5733965597064525e-07,8.775916882086676e-09
1893,2.0384358379033074e-07,2.0322774574310642e-08
1894,2.199237201239157e-07,1.7014155417882648e-08
1895,1.564839777756788e-07,1.9259566386153892e-08
1896,1.8752551511624915e-07,1.2383760683576384e-08
1897,1.6081729370398534e-07,1.3984112534615178e-08
1898,1.8729154760421807e-07,1.4145887128336199e-08
1899,1.8849041794055665e-07,1.6582735185011188e-08
1900,1.7597669454971765e-07,1.972600216504361e-08
1901,1.9225261382871395e-07,1.7325090695408107e-08
1902,7.576567782052734e-07,6.874397495693074e-09
1903,1.3608554638722126e-07,1.0260418292773466e-08
1904,1.569390519762237e-07,1.4511488011237361e-08
1905,1.2850290431742906e-07,1.4450125540577119e-08
1906,1.3374879870298173e-07,1.2860461140462576e-08
1907,1.4862817465655098e-07,2.3142794347563722e-08
1908,1.4439483209116588e-07,1.1787333775714615e-08
1909,1.8978393256929849e-07,1.5952851484257735e-08
1910,1.6834074756388873e-07,1.60324518105881e-08
1911,1.4631028477651853e-07,2.3409645777405785e-08
1912,1.4846850149297097e-07,1.1981668990301841e-08
1913,1.82422851935371e-07,1.7499866444836698e-08
1914,1.727759837422127e-07,1.6741859454327823e-08
1915,1.649306682338647e-07,1.8849219074468238e-08
1916,1.7579938571543607e-07,2.0876177231343718e-08
1917,1.7984936562243092e-07,1.5352993543160665e-08
1918,1.9297112885396928e-07,5.743188147278033e-09
1919,1.9704795306552114e-07,2.025726608678724e-08
1920,1.953635830886924e-07,1.2115570768855832e-08
1921,1.8326048234484915e-07,1.6660044011018726e-08
