year,petit_ADJ or_NOUN,petit_ADJ sort_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,2.7304748684287006e-08
1804,0.0,0.0
1805,8.528633133053631e-09,2.842877755426798e-08
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,9.064295980465431e-09
1809,6.7770915546105925e-09,4.518061036407062e-09
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,4.670620334934483e-09,0.0
1818,1.1921177378582115e-09,3.5763532135746345e-09
1819,1.035105001712111e-09,1.035105001712111e-09
1820,1.779972080839798e-08,2.3732962262101864e-09
1821,7.88919063410276e-09,9.86148829262845e-10
1822,3.0076847679083585e-09,0.0
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,1.6842225392110777e-09,1.6842225392110777e-09
1825,4.4027217427355936e-09,0.0
1826,0.0,0.0
1827,2.7651819167751057e-09,2.7651818612639545e-09
1828,2.7516904310687096e-09,2.7516904310687096e-09
1829,8.573175946935407e-09,1.2859763920403111e-08
1830,3.1310507520032616e-09,2.0873671680021744e-09
1831,0.0,9.354723218280014e-09
1832,0.0,1.3529969367098715e-09
1833,6.950177100506494e-09,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,2.2689263801112247e-09,7.563087933704082e-09
1836,1.3441500135158435e-09,1.008112526790228e-08
1837,6.957890930081589e-10,6.957890930081589e-10
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,2.7965901816529026e-09,4.894032734625853e-09
1840,0.0,5.732719632334238e-09
1841,6.420548537278137e-10,2.3113974734201292e-08
1842,0.0,3.3541325272778977e-09
1843,4.134837805480629e-09,1.1813822142769936e-09
1844,0.0,5.488561272137815e-10
1845,8.928364714222425e-09,1.674068439427856e-09
1846,1.1709002656346001e-09,1.1709002656346001e-09
1847,1.6179670936367074e-09,2.6966118227278457e-09
1848,7.240699539945439e-09,4.82713291560799e-09
1849,0.0,2.513824481908955e-09
1850,6.788996032014438e-10,3.394498016007219e-09
1851,3.2247193804124663e-09,7.739326512989919e-09
1852,1.3021090872200602e-09,2.6042181744401205e-09
1853,1.1943863675867306e-09,1.1943863675867306e-09
1854,1.5586993362681767e-09,5.195664454227256e-10
1855,5.306937111981824e-10,1.0613874223963649e-09
1856,5.177189232874468e-10,2.0708756931497874e-09
1857,0.0,4.881509085841174e-10
1858,4.893676019968041e-10,4.893676019968041e-10
1859,0.0,3.5645213447565993e-09
1860,1.8308735638683515e-09,9.154367819341758e-10
1861,3.301174722469824e-09,1.8863854922557266e-09
1862,3.1625904395315985e-09,3.6143890103090826e-09
1863,5.9935452156878455e-09,3.496234635136375e-09
1864,1.4384183844029508e-09,5.753673537611803e-09
1865,1.4120533631256649e-09,1.4120533631256649e-09
1866,1.9462451650298362e-09,4.865612912574591e-10
1867,1.455843445796745e-09,3.396968040192405e-09
1868,3.951899252285784e-09,0.0
1869,4.395167341186834e-09,9.767038289254515e-10
1870,3.4404292748035914e-09,1.1468097582678638e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,4.23313739617015e-09
1873,5.986004469882289e-10,5.986004469882289e-10
1874,1.7923826867161097e-09,0.0
1875,1.7164581422868253e-09,5.721527140956084e-10
1876,1.209202959984168e-09,1.209202959984168e-09
1877,2.4739263970730008e-09,2.4739263970730008e-09
1878,3.019544281279707e-09,6.039088673581716e-10
1879,6.10932526790009e-10,1.221865053580018e-09
1880,3.2089231272180996e-09,0.0
1881,2.7890030285249168e-09,0.0
1882,6.655385131892899e-10,2.6621540527571597e-09
1883,2.5277355764075082e-09,4.423537092179686e-09
1884,0.0,2.6406787867472303e-09
1885,1.2891271383708158e-09,1.933690763067375e-09
1886,4.5174246565693466e-09,3.872078213618124e-09
1887,1.3057849246322917e-09,3.264462256069578e-09
