year,tout_ADV avant_ADP,tout_ADV savants_ADJ
1800,1.603523855919775e-07,0.0
1801,2.524053570596152e-07,0.0
1802,2.7077865638602816e-07,0.0
1803,2.515937467251206e-07,1.950339223455444e-09
1804,1.557266102736321e-07,0.0
1805,3.3830244206001225e-07,0.0
1806,1.9019016406218725e-07,0.0
1807,9.394951661079176e-08,0.0
1808,1.8355199671304945e-07,2.2660739951163578e-09
1809,2.0557178004310117e-07,2.259030518203531e-09
1810,9.828532654410083e-08,0.0
1811,8.524060746140094e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,1.8880061958270744e-08,6.293354282149721e-09
1815,9.170560133497929e-08,0.0
1816,5.3304887615013286e-08,0.0
1817,8.251429051142622e-08,1.556873407970727e-09
1818,7.27191817873063e-08,3.5763532135746345e-09
1819,1.2524770909294602e-07,0.0
1820,6.526564533260171e-08,0.0
1821,6.607196922914227e-08,9.86148829262845e-10
1822,8.72228582693424e-08,4.010246357211145e-09
1823,9.38855251320092e-08,9.882686891060644e-10
1824,1.4231680722787132e-07,1.6842225392110777e-09
1825,6.339919167430708e-08,5.283265824829186e-09
1826,8.279505436803447e-08,7.927186018719112e-09
1827,7.373818533551457e-08,1.8434546111834038e-09
1828,1.302466803854152e-07,1.8344602503717056e-09
1829,3.772197620932616e-08,9.430493719264632e-09
1830,4.5922078584226256e-08,1.0436835840010872e-09
1831,4.5214498811674275e-08,1.5591206103948707e-09
1832,8.929779626853929e-08,0.0
1833,3.01174338801502e-08,0.0
1834,3.827157613045529e-08,1.8669061851994684e-09
1835,8.31939672707449e-08,1.5126175867408165e-09
1836,9.140220380565722e-08,1.3441500135158435e-09
1837,6.470838798122713e-08,2.0873671680021744e-09
1838,8.395175488118412e-08,3.1560809521380406e-09
1839,9.997809513606626e-08,3.4957374772659477e-09
1840,8.662776734835731e-08,1.0828470564661075e-08
1841,6.99839795004209e-08,0.0
1842,1.2410290128883616e-07,1.341653010911159e-09
1843,4.7255289015168955e-08,1.7720733769266417e-09
1844,5.54344694592146e-08,2.195424508855126e-09
1845,2.23209111749334e-08,6.138250907561371e-09
1846,3.922516000898213e-08,1.7563503984519002e-09
1847,1.3483059113639229e-08,2.6966118227278457e-09
1848,3.539897619475596e-08,4.02261068899179e-09
1849,4.1897074254393374e-08,2.513824481908955e-09
1850,5.5669767462518394e-08,1.425689166723032e-08
1851,5.997978291816253e-08,1.9348316282474798e-09
1852,5.338647213193326e-08,1.9531636308300904e-09
1853,5.5538965426649156e-08,5.971931837933653e-09
1854,6.234797550463966e-08,0.0
1855,4.5108965451845506e-08,1.0613874223963649e-09
1856,5.7466799319172424e-08,5.177189232874468e-10
1857,3.124165814938351e-08,2.9289055625270066e-09
1858,3.6213201326518174e-08,3.4255731584664773e-09
1859,5.601390640208592e-08,4.582956236731661e-09
1860,4.073693560258107e-08,1.373155145145688e-09
1861,3.254015012998934e-08,7.545541969022906e-09
1862,2.801151488540654e-08,2.710791813242963e-09
1863,1.1237896568871975e-07,2.4973103585068657e-09
1864,5.993409923910065e-08,2.8768367688059016e-09
1865,6.966129939556254e-08,2.3534221238463715e-09
1866,4.6223323835192787e-08,1.9462451650298362e-09
1867,5.241036582503966e-08,9.7056229719783e-10
1868,5.2362665647898154e-08,7.409810987013543e-09
1869,6.006728625607138e-08,1.4650557433881772e-09
1870,3.72713184759732e-08,1.1468097582678638e-09
1871,3.080141297573391e-08,0.0
1872,3.386510005753962e-08,3.6284036886158333e-09
1873,3.4718826924518e-08,1.1972008939764578e-09
1874,4.600448944014346e-08,1.1949218281515073e-09
1875,3.776207790906483e-08,1.1443054281912168e-09
1876,5.260032964748973e-08,4.836811839936672e-09
1877,4.9478529717816855e-08,8.040261012531857e-09
1878,6.039088518150493e-08,0.0
1879,6.475884894996398e-08,1.221865053580018e-09
1880,5.519347823224052e-08,3.8507077526617195e-09
1881,6.275256758669912e-08,2.091752326904839e-09
1882,2.994923420374107e-08,3.9932310791357395e-09
1883,4.1707636455612374e-08,1.2638677882037541e-09
1884,4.027035060971684e-08,0.0
1885,3.738468579150833e-08,0.0
1886,2.19417763958063e-08,6.453463874400711e-10
1887,2.3504128421336645e-08,6.528924512139156e-09
1888,2.789870379160675e-08,6.340614699951175e-10
1889,3.4458253139746375e-08,6.265136742733546e-10
1890,2.0318598359381213e-08,1.9663159434024635e-09
1891,1.9760081571007504e-08,6.374220040683554e-10
1892,3.761107336686109e-08,0.0
1893,3.3871291771347956e-08,6.158416554491453e-10
1894,3.969969641914872e-08,0.0
1895,2.5278181325916194e-08,0.0
1896,2.8305738197786923e-08,0.0
1897,2.505486840220783e-08,0.0
1898,5.601771224661434e-08,0.0
1899,2.4874102777516782e-08,1.6582735185011188e-09
1900,4.256663643786851e-08,2.595526460424935e-09
1901,1.900171220370339e-08,0.0
1902,2.013216404694873e-08,0.0
1903,1.5660639007819555e-08,5.400220270956879e-10
1904,2.1498500757388683e-08,1.0749250378694342e-09
1905,1.651442893546573e-08,5.160759042333041e-10
1906,2.6749759740596346e-08,0.0
1907,3.1371342856800766e-08,5.142843373384665e-10
1908,2.2101251051509507e-08,1.964555629285769e-09
1909,2.8605114721358404e-08,2.2003934230241384e-09
1910,3.6874638453809894e-08,0.0
1911,2.394168319153067e-08,1.0640748282497725e-09
