year,payant_VERB en_ADP,payant_VERB sans_ADP
1800,2.5153315874604232e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,8.951360541686881e-08,0.0
1803,2.9255089017965474e-08,0.0
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,4.610670600868616e-08,2.0171682990621775e-08
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,2.4926814390369145e-08,2.2660739951163578e-09
1809,4.0662548883574345e-08,0.0
1810,1.4040760554223652e-08,2.3401267590372754e-09
1811,7.521229861140455e-09,0.0
1812,1.0668832928217853e-08,8.00162425207418e-09
1813,5.751483289628823e-09,0.0
1814,5.349351184236184e-08,0.0
1815,5.1247248222807684e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.71256075987003e-08,1.0898113522728181e-08
1818,0.0,4.768470951432846e-09
1819,2.173720581311045e-08,4.140420006848444e-09
1820,1.6613073583471305e-08,1.1866481131050932e-09
1821,2.7612166775270452e-08,4.930744257336528e-09
1822,3.208197085768916e-08,5.012807946513931e-09
1823,7.115534828017189e-08,2.9648061783404955e-09
1824,5.894778887238772e-09,4.210556348027694e-09
1825,2.6416328680056722e-08,9.68598712347557e-09
1826,3.3470339388941284e-08,7.927186018719112e-09
1827,1.3825909306319772e-08,1.8434546111834038e-09
1828,3.5771975603893225e-08,1.834460228167245e-08
1829,1.4574399298528107e-08,5.143905745796928e-09
1830,2.817945699007396e-08,2.0873671680021744e-09
1831,1.5591206548037917e-08,7.795603274018958e-09
1832,3.2471927369215337e-08,2.705993873419743e-09
1833,1.50587169400751e-08,1.1583628500844156e-09
1834,1.8669062740173104e-08,9.334531370086552e-09
1835,1.9664028627630614e-08,6.806779140333674e-09
1836,1.4113575197427508e-08,3.36037508930076e-09
1837,1.3219993100221927e-08,1.3219993100221927e-08
1838,2.651107955387033e-08,6.943378316748294e-09
1839,1.4682098203877558e-08,8.38977065598101e-09
1840,2.4841785517537573e-08,1.9109065441114126e-09
1841,2.5040138851295524e-08,3.852329122366882e-09
1842,2.4149754196400863e-08,6.708265054555795e-10
1843,4.0757687003178944e-08,2.953455480181333e-09
1844,1.975882035765153e-08,5.488561272137815e-10
1845,4.464182268293371e-08,1.1160455892778032e-09
1846,3.219975752699611e-08,1.7563503984519002e-09
1847,6.310071576365317e-08,1.941560512364049e-08
1848,7.24069959545659e-09,4.82713291560799e-09
1849,4.608678239037545e-08,4.1897072478036534e-09
1850,2.2403686905647646e-08,1.6293590476834652e-08
1851,1.870337307252612e-08,6.449438760824933e-09
1852,3.059956199535918e-08,6.510545436100301e-09
1853,1.3138249599364826e-08,2.388772735173461e-09
1854,1.1950028522278444e-08,5.195664454227256e-10
1855,9.552486801567284e-09,6.368324534378189e-09
1856,9.3189408967298e-09,7.248064815001953e-09
1857,3.221796163188628e-08,5.369659827891837e-09
1858,1.8106600663259087e-08,2.936205500958522e-09
1859,3.513599722282379e-08,1.5276520048956854e-09
1860,1.9224172476128842e-08,1.373155145145688e-09
1861,2.3108222890755314e-08,8.488735048217677e-09
1862,1.5361154154236445e-08,6.776979422085105e-09
1863,2.1476870060155306e-08,9.989241656072068e-10
1864,1.4863656971897399e-08,4.315255264231155e-09
1865,2.5416959203994338e-08,6.118897832863013e-09
1866,2.2868380966656332e-08,1.4596839292835284e-09
1867,1.552899675516528e-08,4.367530337390235e-09
1868,2.865126980111654e-08,1.975949626142892e-09
1869,8.692664010823137e-08,6.348574999037737e-09
1870,5.9060702994884196e-08,6.307453670473251e-09
1871,5.523012092112367e-08,1.0621177271019633e-09
1872,1.4513614310374123e-08,1.0280476914203973e-08
1873,4.908523720814628e-08,1.4366410283628284e-08
1874,2.0313670745508716e-08,7.169530746864439e-09
1875,1.602027666081085e-08,1.716458086775674e-09
1876,2.5997863417615008e-08,1.813804439976252e-09
1877,1.6699003069220453e-08,6.184816214727107e-09
1878,3.925407554561389e-08,4.22736201599605e-09
1879,4.276527654223372e-08,5.498392852132383e-09
1880,3.7223507831640745e-08,1.0910338410496934e-08
1881,1.4642265677711208e-08,2.091752326904839e-09
1882,2.728707926280549e-08,5.324308105514319e-09
1883,2.4013488642005143e-08,3.791603475633565e-09
1884,2.3766109080725073e-08,9.242375753615306e-09
1885,8.379326565943757e-09,1.2246707647989297e-08
1886,2.0651083898481915e-08,9.034849313138693e-09
1887,3.003305337756501e-08,1.5016526688782506e-08
1888,1.9021843655764314e-08,8.876860135842435e-09
1889,2.380751951136517e-08,4.385595886446936e-09
1890,2.8839300725280737e-08,7.865263995654459e-09
1891,1.2748440525456317e-08,4.461953917456185e-09
1892,4.262588482184526e-08,3.761107425503951e-09
1893,3.87980243488073e-08,6.774258043407144e-09
1894,3.906954493260173e-08,5.671385139294216e-09
1895,2.046328972937772e-08,6.018614495673091e-10
