year,sont_VERB en_PRON,sont_VERB sans_ADP
1800,2.402141614510356e-06,9.127509656536859e-06
1801,2.2144996947304207e-06,7.20783964425209e-06
1802,2.2490294213639572e-06,7.5952293627779e-06
1803,2.999621717236778e-06,7.91837737779133e-06
1804,2.3210681390217758e-06,7.398250090773217e-06
1805,2.5870187680965273e-06,6.785949153709225e-06
1806,2.207358518191427e-06,7.39436291041784e-06
1807,2.109593670418519e-06,6.337322247418342e-06
1808,2.6309119398604253e-06,6.934186330909142e-06
1809,2.1438200406009855e-06,6.374983968271408e-06
1810,2.0382503702620625e-06,6.461089924414409e-06
1811,1.8577439369060755e-06,5.620865977107314e-06
1812,2.4991741183200133e-06,6.153249614726519e-06
1813,2.593918944526763e-06,6.151211437099846e-06
1814,2.6683822316186934e-06,6.466421382356202e-06
1815,2.0094315917873473e-06,6.378933903761208e-06
1816,2.178547546805021e-06,6.697875051031588e-06
1817,2.2216583639433907e-06,6.7786268118652515e-06
1818,1.959841478882396e-06,6.698509423586074e-06
1819,2.046402687305715e-06,5.9301164583303034e-06
1820,2.4231355082449113e-06,6.686761935270624e-06
1821,2.7128954371846703e-06,6.444482551160036e-06
1822,2.319927531857502e-06,6.309120180958416e-06
1823,2.0397864788357367e-06,5.277354830468539e-06
1824,2.138120432704227e-06,5.848462933499832e-06
1825,2.4179745929941987e-06,5.80102596359211e-06
1826,2.270698437278895e-06,5.87404474572395e-06
1827,2.565167005030844e-06,6.234563443285879e-06
1828,2.566409879278808e-06,6.423362719942816e-06
1829,2.299325863264201e-06,6.25070288151619e-06
1830,2.5465878614738813e-06,6.599211246793857e-06
1831,2.3870135912318347e-06,6.5872845880221575e-06
1832,2.217562011352925e-06,5.712352958653355e-06
1833,2.5565068142441305e-06,6.241259143280331e-06
1834,2.6454060666480927e-06,6.084247161197709e-06
1835,2.5268276289125424e-06,5.927948222961277e-06
1836,2.8697603378091685e-06,5.983483788440935e-06
1837,2.341330208821546e-06,5.798706297355238e-06
1838,2.5526383087282056e-06,5.38048698217608e-06
1839,2.332356075385178e-06,5.423986294772476e-06
1840,2.3128339119438124e-06,5.7843144531943835e-06
1841,2.419904699735298e-06,6.1573059610964265e-06
1842,2.4008881673864835e-06,5.562493242905475e-06
1843,2.428921803243611e-06,5.678904472006252e-06
1844,2.1795077671526997e-06,5.341467840480618e-06
1845,2.1249508854737087e-06,5.542282451642677e-06
1846,2.3049170962963217e-06,5.334036359272432e-06
1847,2.1513568171371844e-06,5.055607743997825e-06
1848,2.472296523947648e-06,5.807845354866004e-06
1849,2.130047221271525e-06,5.278193384583574e-06
1850,2.0597814085476784e-06,5.1976553550048266e-06
1851,1.928382211247026e-06,5.218240858084755e-06
1852,2.224002399131564e-06,5.524848802451743e-06
1853,2.1839354378272446e-06,5.52105120732449e-06
1854,2.067354883728001e-06,5.495454388437793e-06
1855,2.095178874839121e-06,5.396624146669637e-06
1856,2.2334393920964146e-06,5.466076345328474e-06
1857,2.1107644663231895e-06,5.202712600294035e-06
1858,2.029896915445306e-06,5.019443506171228e-06
1859,2.3103191253426303e-06,4.7779863052710425e-06
1860,2.3595382891983263e-06,4.918184004054638e-06
1861,2.263191047902069e-06,5.030046850151848e-06
1862,2.3949846061910307e-06,5.03529554407578e-06
1863,2.244582708144094e-06,5.026586222811602e-06
1864,2.2012594946829722e-06,4.915075805911329e-06
1865,2.2079806250019374e-06,4.918652393826051e-06
1866,2.2230986296278843e-06,4.870478733209893e-06
1867,2.2623806330557272e-06,4.996939878765261e-06
1868,2.5983736975376814e-06,4.912210897600744e-06
1869,2.1560737888393078e-06,4.93479592478252e-06
1870,2.2334119407219077e-06,5.0058247325068805e-06
1871,2.0318311975131564e-06,4.865561095357407e-06
1872,2.2520292013439303e-06,4.660079866880551e-06
1873,2.3381332425742585e-06,4.876199454884045e-06
1874,2.4328608816404085e-06,5.160867203812813e-06
1875,2.391026136194796e-06,5.131065336172469e-06
1876,2.324692765398595e-06,5.188085197005421e-06
1877,2.2753938253572414e-06,5.1902975428674836e-06
1878,2.3643031532571968e-06,4.911590622214135e-06
1879,2.3276529539373314e-06,4.9332802518620156e-06
1880,2.3117082807999623e-06,4.842906946578296e-06
1881,2.2207436103371947e-06,4.717598585557425e-06
1882,2.258837806579095e-06,4.729316515295068e-06
1883,2.208608904652465e-06,5.00491660204716e-06
1884,2.2888083712757634e-06,5.087928002467379e-06
1885,2.4048666915632566e-06,4.827136763196904e-06
1886,2.2296717023806423e-06,4.787824764207471e-06
1887,2.2191814323946346e-06,4.998544682166539e-06
1888,2.350465841516325e-06,4.6261125135060865e-06
1889,2.3726073852259333e-06,4.819143214263022e-06
1890,2.4428198628356768e-06,4.957737928634742e-06
1891,2.516542146224765e-06,4.890301624982385e-06
1892,2.321230201829394e-06,5.064957804279402e-06
1893,2.498469488187993e-06,4.939050086250063e-06
1894,2.3958452111116912e-06,4.8654183046892285e-06
1895,2.4862896097488374e-06,4.9370696615369525e-06
1896,2.4348833758125465e-06,5.0219100558024365e-06
1897,2.4711092478924e-06,5.01621752846404e-06
1898,2.343690589157177e-06,4.927295321976999e-06
1899,2.2690708689765415e-06,5.031754426454427e-06
1900,2.38580804179378e-06,4.939806331094587e-06
1901,2.198050909285598e-06,5.074574801255949e-06
1902,3.0011654423844902e-06,4.822880782739958e-06
1903,2.2664724816934267e-06,4.99196357850451e-06
1904,2.3696723054911217e-06,4.975290721631609e-06
1905,2.213449661780942e-06,5.046706064604223e-06
1906,2.274758433173929e-06,4.8314182095055e-06
1907,2.1990798551030366e-06,5.077014975540806e-06
1908,2.2528542427124876e-06,5.1441888899717014e-06
1909,2.3203148167283416e-06,4.923930191580439e-06
1910,2.3348593458649702e-06,5.032052285969257e-06
1911,2.483018647581048e-06,5.010196218790952e-06
1912,2.3426766624368156e-06,4.8385104491899256e-06
1913,2.367784972534537e-06,4.8739780140749644e-06
1914,2.375335071747031e-06,4.895319761999417e-06
1915,2.317275765051363e-06,5.6653684623597655e-06
1916,2.3381319067539152e-06,5.080602477391949e-06
1917,2.481701827150573e-06,5.009462711313972e-06
1918,2.3501126094060965e-06,4.963263108948013e-06
1919,2.1933095091242194e-06,4.974079729436198e-06
1920,2.4443163439968885e-06,4.788679234479787e-06
1921,2.3801145800916856e-06,4.929858732793946e-06
1922,2.1868200441588215e-06,4.9439545364293735e-06
1923,2.3907114865551193e-06,4.74745183964842e-06
1924,2.1657930133756054e-06,4.7544313019898254e-06
