year,peuvent_VERB ôter_VERB,peuvent_VERB oter_VERB,peuvent_VERB sauter_VERB
1800,0.0,3.144164484325529e-09,4.4018303668735825e-08
1801,3.809892135109294e-08,2.3811825844433088e-09,7.143547975374531e-09
1802,6.937304419807333e-08,2.2378401354217203e-09,2.2378401354217203e-08
1803,2.145373123596528e-08,0.0,3.90067853572873e-08
1804,3.9549615138412264e-08,0.0,1.730295728918918e-08
1805,6.822906328807221e-08,0.0,6.254330742194725e-08
1806,3.1698359492793315e-08,0.0,7.204172902675055e-08
1807,6.832692633906845e-08,0.0,2.2775640928784924e-08
1808,2.4926814390369145e-08,0.0,4.5321479902327155e-09
1809,8.358412628695078e-08,0.0,4.518061036407062e-09
1810,6.084329839950442e-08,0.0,2.3401266702194334e-08
1811,2.5070768572277302e-08,0.0,0.0
1812,2.400487453257938e-08,0.0,0.0
1813,2.300593315851529e-08,0.0,0.0
1814,3.4613449884091096e-08,0.0,0.0
1815,3.236668177919455e-08,0.0,8.091670444798638e-09
1816,4.6352077731626196e-08,0.0,1.1588019432906549e-08
1817,5.916118794857539e-08,0.0,0.0
1818,2.741870730460505e-08,0.0,2.5034472272977837e-08
1819,2.2772310259711048e-08,0.0,6.210630232317271e-09
1820,5.458581142647745e-08,0.0,1.0679833017945839e-08
1821,2.465372084259343e-08,0.0,3.94459531705138e-09
1822,4.712039469723095e-08,0.0,1.0025615893027862e-09
1823,3.854247765389118e-08,0.0,1.9765373338032077e-08
1824,2.6947560627377243e-08,0.0,0.0
1825,4.226612659863349e-08,0.0,7.044354433105582e-09
1826,5.725189922145546e-08,0.0,2.3781558056157337e-08
1827,4.424290978022327e-08,1.8434546111834038e-09,2.7651818612639545e-09
1828,4.035812395386529e-08,0.0,1.2841221419535032e-08
1829,3.1720752247110795e-08,2.571952872898464e-09,3.429270423183084e-09
1830,4.383471008395645e-08,0.0,1.461157062010443e-08
1831,2.494592976631793e-08,0.0,7.795603274018958e-09
1832,4.19429042608499e-08,0.0,1.2176972319366541e-08
1833,2.6642345218874652e-08,0.0,8.108539617524002e-09
1834,3.827157613045529e-08,0.0,2.5203233278148218e-08
1835,4.689114518896531e-08,1.5126175867408165e-09,1.285724948729694e-08
1836,2.4866775305554256e-08,0.0,1.008112526790228e-08
1837,4.383471363667013e-08,0.0,2.5744196108234974e-08
1838,3.219202682203104e-08,0.0,1.199310784016916e-08
1839,2.1673573158409454e-08,1.3982950353153e-09,2.0974425751774106e-08
1840,2.8663599493938818e-08,0.0,1.1465439264668476e-08
1841,2.1829865914924085e-08,0.0,7.0626033910059505e-09
1842,1.7441490030023488e-08,6.708265054555795e-10,7.379091560011375e-09
1843,3.485077471054865e-08,1.7720733769266417e-09,5.906910960362666e-09
1844,5.0494762149355665e-08,0.0,9.330554107123135e-09
1845,4.2409730838244286e-08,0.0,1.1160455892778032e-09
1846,3.102885770545072e-08,0.0,7.610851504580296e-09
1847,2.9123407685460734e-08,5.393223645455691e-10,2.1572894581822766e-09
1848,7.24069959545659e-09,0.0,1.528592186161859e-08
1849,5.614208120618969e-08,1.6758829879393033e-09,1.5920887719289567e-08
1850,1.2899092460827433e-08,0.0,6.1100964288129944e-09
1851,2.192809134271556e-08,6.449438760824933e-10,9.674158363282004e-09
1852,3.190167419120371e-08,0.0,1.2370036550635177e-08
1853,2.329053394589664e-08,0.0,8.957897534855874e-09
1854,3.636965217879151e-08,2.0782657816909023e-09,1.0391328908454511e-09
1855,1.0613874223963649e-08,0.0,1.1144567935161831e-08
1856,3.002769588533738e-08,1.0354378465748937e-09,7.248064815001953e-09
1857,3.5635014938861787e-08,0.0,2.1966791052818735e-08
1858,1.9574704523961373e-08,0.0,1.1744822003834088e-08
1859,2.2405561850291633e-08,5.092173349652285e-10,2.036869339860914e-09
1860,2.654766717569146e-08,0.0,2.288591893773173e-08
1861,2.2165028923382124e-08,0.0,8.960331143725853e-09
1862,2.0782737308877586e-08,0.0,1.2198563048571032e-08
1863,2.6471489888990618e-08,9.989241656072068e-10,1.1487627737949424e-08
1864,2.685047562067666e-08,0.0,5.274200631788517e-09
1865,2.447559133145205e-08,0.0,6.118897832863013e-09
1866,1.556996132023869e-08,0.0,1.0704348518686402e-08
1867,1.358787216076962e-08,0.0,1.358787216076962e-08
1868,1.7289560005906424e-08,0.0,4.44588676984381e-09
1869,1.2208797528501236e-08,0.0,3.906815315701806e-09
1870,1.6055336615750093e-08,0.0,1.7202147262196377e-08
1871,1.1683295220166201e-08,0.0,1.4869648623516696e-08
1872,2.0560953828407946e-08,0.0,1.2094678591978436e-09
1873,2.21482157058972e-08,0.0,1.0176207432266438e-08
1874,2.6288279997288555e-08,0.0,6.572069999322139e-09
1875,9.7265964171811e-09,1.1443054281912168e-09,1.4875970677508121e-08
1876,9.069021977836655e-09,6.04601479992084e-10,1.269663130187837e-08
1877,9.895705588292003e-09,6.184815992682502e-10,7.421779191219002e-09
1878,1.509772218355465e-08,0.0,6.6429977074733415e-09
1879,1.0385853066452455e-08,0.0,6.720257683667796e-09
1880,1.0910338410496934e-08,0.0,3.8507077526617195e-09
1881,1.1156012114099667e-08,0.0,8.367009307619355e-09
1882,2.2628309892525067e-08,0.0,5.989846840748214e-09
