year,portant_VERB en_ADP,portant_VERB sans_ADP
1800,8.929427197656992e-07,4.7162469485328984e-08
1801,1.1143934224300267e-06,2.3811825400343878e-08
1802,1.139060657351365e-06,7.832440473976021e-08
1803,7.781853657018445e-07,2.5354410126965377e-08
1804,1.1815447908958276e-06,3.707776485839531e-08
1805,1.424281687922857e-06,7.107194099909009e-08
1806,5.965055152046261e-07,2.305335300434308e-08
1807,1.110312533469937e-06,1.0818429707626365e-07
1808,6.662257638900826e-07,1.8128591960930862e-08
1809,9.397566762547882e-07,4.0662548883574345e-08
1810,5.943921812523456e-07,1.1700633351097167e-08
1811,7.270522770497223e-07,5.0141534924108555e-08
1812,9.095180089069288e-07,2.6672083208723052e-08
1813,7.735744795844823e-07,1.4378708002027452e-08
1814,8.621895477567421e-07,3.776012658107675e-08
1815,8.145614875942897e-07,2.6972236000233352e-08
1816,1.0707329920478514e-06,4.4034473845044886e-08
1817,8.874178476503403e-07,2.490997452753163e-08
1818,8.440193699499332e-07,5.960588644882137e-08
1819,7.628724141284238e-07,3.001804493862892e-08
1820,8.377735642994821e-07,3.44127952800477e-08
1821,9.181045501627239e-07,5.621048237980375e-08
1822,8.371389128569717e-07,5.213320264374488e-08
1823,1.1157553050367142e-06,4.5460359032745146e-08
1824,1.1865347815387395e-06,3.621078548121659e-08
1825,1.3032055932171716e-06,4.226612793090112e-08
1826,8.191425338033298e-07,7.574866600634778e-08
1827,8.267894144320387e-07,3.502563927781921e-08
1828,1.081414362946731e-06,2.293075357373553e-08
1829,9.061847198177375e-07,3.5150023336427694e-08
1830,9.027863272503822e-07,3.965997530386289e-08
1831,1.0726749541944969e-06,4.0537136092311243e-08
1832,9.944527548100268e-07,6.764984583629285e-08
1833,9.023646612149605e-07,3.4750886612755494e-08
1834,9.194512746724115e-07,5.974099681615996e-08
1835,9.953023720754572e-07,3.7059130875150004e-08
1836,8.622722456053111e-07,4.771732625696856e-08
1837,8.850437538399092e-07,4.2443134229408486e-08
1838,8.818090124762534e-07,2.903594542580379e-08
1839,9.277687543773894e-07,2.866504900111977e-08
1840,8.822018937593157e-07,5.032054106735018e-08
1841,1.2224723935361226e-06,1.5409316489467528e-08
1842,9.337905062523078e-07,3.8237111255057243e-08
1843,8.694972919442989e-07,5.07994341036877e-08
1844,9.286645674677629e-07,4.2810777256541144e-08
1845,1.235462500304152e-06,3.7945550368512215e-08
1846,9.929234145999999e-07,5.3275963862731146e-08
1847,1.0840379660592703e-06,4.853901280910122e-08
1848,9.799080089578638e-07,3.781254065415851e-08
1849,1.0566442565362877e-06,3.351765798242923e-08
1850,1.0047714296135268e-06,3.6660578572877967e-08
1851,9.287191815587903e-07,3.998651965098077e-08
1852,1.080099506944876e-06,3.645905466420629e-08
1853,1.0839055910594197e-06,3.702597672905483e-08
1854,9.970480063792309e-07,4.1565314745639625e-08
1855,1.0364448037591956e-06,3.3964397516683675e-08
1856,1.0794439022632218e-06,2.5368226352906476e-08
1857,1.1203062868503366e-06,5.418475007568091e-08
1858,1.0653532696025536e-06,3.131952819313e-08
1859,1.0372757639487418e-06,7.994712092340706e-08
1860,9.74940137066227e-07,3.707518914097818e-08
1861,1.0724101828785138e-06,4.244367196593046e-08
1862,1.059919562784728e-06,2.168633453369928e-08
1863,1.0024203467295933e-06,4.145535115185339e-08
1864,1.003536576504871e-06,4.171413292564097e-08
1865,1.067041657698553e-06,3.0594489164315064e-08
1866,1.015940017445871e-06,3.989802560555589e-08
1867,1.1345872898971265e-06,1.8925964795357686e-08
1868,1.0166260491217827e-06,2.2229432850018327e-08
1869,1.0436080781772716e-06,7.178773020477536e-08
1870,1.111832085953779e-06,4.759260363584872e-08
1871,1.2671064020253198e-06,2.442870794538976e-08
1872,1.0703790671584557e-06,2.4794090336399677e-08
1873,1.1331506142298053e-06,2.993002112816612e-08
1874,1.2134430695809328e-06,3.1067965977626955e-08
1875,1.1197028868537018e-06,5.3210200690045895e-08
1876,1.1378600035527597e-06,3.083467703390852e-08
1877,1.1410985365500892e-06,2.9687117431009824e-08
1878,1.058652213004052e-06,4.408534692856847e-08
1879,1.1039550571467771e-06,3.5434087664043545e-08
1880,1.1346752604168842e-06,3.5939940801199555e-08
1881,1.093289235143402e-06,3.2073533162702006e-08
1882,1.1181046986052934e-06,2.795261733190557e-08
1883,1.2518610157385979e-06,3.2860562271253e-08
1884,1.1071046301935894e-06,3.036780782394999e-08
1885,1.177617619863014e-06,1.8692343672910283e-08
1886,1.2564893694388957e-06,2.8395241713496944e-08
1887,1.3893551429333684e-06,3.133883907935342e-08
1888,1.2750976559061655e-06,2.599652049184442e-08
1889,1.1283511387460976e-06,3.0072656975743683e-08
1890,1.2866260354904568e-06,3.211649257650606e-08
1891,1.2002656415432966e-06,2.6134301833735663e-08
1892,1.3232829285669823e-06,2.7581453565517222e-08
1893,1.2292199473851184e-06,4.557228194812524e-08
1894,1.1960321515402939e-06,2.0164926173293907e-08
1895,1.2584923112513025e-06,4.032471778714353e-08
1896,1.1782264301984924e-06,3.892039046604623e-08
1897,1.2952783938757761e-06,3.729096820226374e-08
1898,1.1673185675853404e-06,3.734514208986184e-08
1899,1.1994845223739503e-06,2.819064981451902e-08
1900,1.2551966372953416e-06,2.1283318218934255e-08
1901,1.2351112674835463e-06,2.6825947685438223e-08
1902,1.6326693224044675e-06,3.191684427861219e-08
1903,1.1702276783154275e-06,3.888158772724637e-08
1904,1.287222755053108e-06,2.6873125946735854e-08
1905,1.3428294884931802e-06,2.4771644291377015e-08
1906,1.2958201374146938e-06,3.189394348623864e-08
1907,1.151996913861808e-06,3.1371342856800766e-08
1908,1.1669460882046678e-06,2.3083527977973972e-08
1909,1.2157174182902963e-06,2.475442606453271e-08
1910,1.1853326613575632e-06,3.4202564336283103e-08
1911,1.1784628526356755e-06,2.181353409014264e-08
1912,1.2268186875274978e-06,4.688478938419394e-08
1913,1.2462026255377623e-06,2.0151361468379037e-08
1914,1.36211761958549e-06,3.147469485043075e-08
1915,1.4631706619638862e-06,2.8273827723523937e-08
1916,1.2921254990416742e-06,6.372727767711694e-08
1917,1.3488701526842561e-06,5.263883839923267e-08
1918,1.2589068880686227e-06,4.020231614276781e-08
1919,1.4704933350984106e-06,3.498982437122322e-08
1920,1.3342271820704354e-06,2.953170330499688e-08
1921,1.5047049695127157e-06,3.4077363153528495e-08
1922,1.3110591243759018e-06,2.3609393551282665e-08
1923,1.2314500352772484e-06,2.866305948145964e-08
1924,1.1112580473593425e-06,2.707241186783449e-08
1925,1.1922024771848783e-06,2.8595261936104066e-08
1926,1.1168430322783252e-06,2.229227646921572e-08
1927,1.097083738521576e-06,4.4596898618465275e-08
1928,1.1597432401089236e-06,2.9707706517001498e-08
1929,1.1608302949994709e-06,2.5622934884950155e-08
1930,1.1764035972028353e-06,2.941009080714707e-08
1931,1.1622058320170936e-06,3.307553342324354e-08
1932,1.2208923223511192e-06,1.8631212128639163e-08
1933,1.2491550949178531e-06,1.9500125958415992e-08
1934,1.3647019496687562e-06,2.995395043114968e-08
1935,1.4338004863390097e-06,2.154291145473053e-08
1936,1.2852197137647181e-06,1.33371855781661e-08
1937,1.1999335853829507e-06,1.510934133364117e-08
1938,1.3937605913838524e-06,1.5558256905023882e-08
1939,1.1898770786444857e-06,6.270560959364957e-08
1940,1.6482589249022794e-06,2.2822046474857416e-08
