year,était_VERB en_ADP,était_VERB sans_ADP,etait_VERB en_ADP,etait_VERB sans_ADP
1800,1.0504653801035602e-05,2.6914046884485288e-06,7.545995117652637e-08,2.2009152278457123e-08
1801,1.0924865819106344e-05,2.4169003154383972e-06,3.5717739876872656e-08,1.4287095284615248e-08
1802,8.953598808147945e-06,2.2512672330776695e-06,4.0281122437590966e-08,8.951360541686881e-09
1803,9.765348295331933e-06,1.8703752857618383e-06,3.510610602219799e-08,7.801356893821776e-09
1804,1.3372713510761969e-05,3.159025482091238e-06,5.190887142347833e-08,2.4718509461507665e-09
1805,9.984186362999026e-06,2.3169452560978243e-06,2.558589917711629e-08,1.9900144199169745e-08
1806,1.1884003470186144e-05,2.4753537672950188e-06,4.8988376022407465e-08,2.881669125542885e-09
1807,1.582337608851958e-05,3.305314976387308e-06,6.832692145408714e-08,2.562259560079383e-08
1808,1.1507123417686671e-05,2.8915103484905558e-06,7.704651894258063e-08,1.1330369975581789e-08
1809,1.4685957467008848e-05,3.1219801712722983e-06,1.2424668227595248e-07,1.581321384946932e-08
1810,1.2185039850010071e-05,2.707526618905831e-06,5.8503168531842675e-08,1.6380887313260928e-08
1811,1.8096079656970687e-05,4.169268777332036e-06,7.270522672797597e-08,1.7549536490690798e-08
1812,1.6264635632978752e-05,4.550257017399417e-06,8.00162425207418e-08,8.00162425207418e-09
1813,1.8729704606812447e-05,4.7190919758577365e-06,1.2365688917270745e-07,1.7254449646841863e-08
1814,1.8194086806033738e-05,4.244867341185454e-06,5.034683425719777e-08,3.1466771410748606e-09
1815,1.8778069716063328e-05,4.002679816039745e-06,8.90083740046066e-08,1.0788894222457657e-08
1816,1.708073978079483e-05,3.5946036405221093e-06,4.1716869958463576e-08,1.3905623319487859e-08
1817,2.1392997950897552e-05,3.7318254726415034e-06,6.227493865029743e-08,2.3353100786493997e-08
1818,2.044005123025272e-05,4.294008249416947e-06,6.199012148044858e-08,1.1921176934492905e-08
1819,2.01058792299591e-05,3.859906428260729e-06,6.728182455617571e-08,6.210630232317271e-09
1820,2.193993714172393e-05,4.737099061458139e-06,9.730514616279606e-08,1.779972080839798e-08
1821,2.181755735364277e-05,5.0776802709151525e-06,1.0255947557880063e-07,2.1695273577648777e-08
1822,2.3111049813451245e-05,4.9396207941754255e-06,7.418955760840618e-08,2.2056354964661296e-08
1823,2.4961691451608203e-05,5.238812263996806e-06,4.249555374258307e-08,7.906149512848515e-09
1824,2.4017856048885733e-05,5.304458682076074e-06,5.136878566958103e-08,1.7684336661716316e-08
1825,2.3954327843966894e-05,5.145020168129122e-06,5.811592274085342e-08,1.2327620702023978e-08
1826,2.387316089880187e-05,4.950087259203428e-06,1.3123896791533696e-07,2.290075906685729e-08
1827,2.6107003577635624e-05,5.6280669014086016e-06,1.0599863864424464e-07,1.935627425009301e-08
1828,2.548707379901316e-05,5.314431291481014e-06,1.8894940956304396e-07,4.310981671640235e-08
1829,3.028217179235071e-05,6.874829978187336e-06,1.0716469811544727e-07,3.172075191404389e-08
1830,2.723701072682161e-05,6.242271410883404e-06,7.931995482657328e-08,3.444155893816969e-08
1831,2.550565477577038e-05,5.324397079675691e-06,8.107427351689012e-08,2.8064170987107673e-08
1832,2.6817751859198324e-05,5.711000085284468e-06,7.712082483735117e-08,1.894195655882669e-08
1833,2.709989894356113e-05,6.128897894086549e-06,4.401778908036391e-08,1.1583628833911064e-08
1834,2.6145087758777663e-05,5.511107247002656e-06,6.160790522180548e-08,8.401077833397608e-09
1835,2.6971483748639002e-05,5.536180196941132e-06,6.731148260996633e-08,9.075705520444899e-09
1836,2.6290230380254798e-05,5.072150088381022e-06,3.8308274774578877e-08,1.4113575197427508e-08
1837,2.7292328013572842e-05,5.591361059487099e-06,4.0355767172428614e-08,7.653680245134353e-09
1838,2.8186328563606367e-05,5.2902228162565734e-06,4.229148586887277e-08,1.0099459268886335e-08
1839,2.680251964193303e-05,5.354771019483451e-06,5.9427538667833346e-08,1.0487213097931658e-08
1840,3.0001234335941263e-05,6.248027602850925e-06,5.3505384289831426e-08,1.4013315119409953e-08
1841,2.848476287908852e-05,5.6809012676239945e-06,5.1364388298225094e-08,9.630822805917205e-09
1842,3.064134216401726e-05,6.002555437589763e-06,7.043678174056822e-08,1.2074877098200432e-08
1843,2.760122333711479e-05,5.6387370932498015e-06,5.906911143549465e-08,7.088293507706567e-09
1844,3.034460860362742e-05,5.8700161389424466e-06,5.049476403673481e-08,1.1525978504955958e-08
1845,2.9978100428706966e-05,5.878770025447011e-06,4.798996011690093e-08,7.812319235966925e-09
1846,2.8665393983828835e-05,5.6858916650526226e-06,4.6836010625384006e-08,9.367201903032196e-09
1847,2.890228461183142e-05,5.695783329429105e-06,6.84939411854657e-08,1.4561703842730367e-08
1848,2.7029531338484958e-05,5.042744760430651e-06,5.631655042304118e-08,1.206783295515379e-08
1849,2.771659092104528e-05,5.220375442149816e-06,6.535943386509757e-08,1.5920888163378777e-08
1850,2.7677378966473043e-05,5.127728854859015e-06,5.906426459034719e-08,1.0183494048021657e-08
1851,2.8698712412733585e-05,5.4697688938176725e-06,3.4826967976187007e-08,1.1608989991529484e-08
1852,2.6620318749337457e-05,4.845799139729934e-06,3.776116330733714e-08,1.1718982007025147e-08
1853,2.7551506718737073e-05,5.412362042989116e-06,4.2997910787434535e-08,7.763511389313749e-09
1854,2.713643516472075e-05,4.990435627405532e-06,5.819144260899023e-08,1.3508727692013167e-08
1855,2.8601738449651748e-05,5.490557214216096e-06,4.404757802944914e-08,1.2736649068756378e-08
1856,2.753798798948992e-05,5.125934876559768e-06,3.98643568710888e-08,6.730345780692204e-09
1857,2.908158967329655e-05,5.056755071564112e-06,3.465871434293888e-08,6.345962033638131e-09
1858,2.8846263376181014e-05,5.411427082435694e-06,3.1808895073481835e-08,1.5170395162300565e-08
1859,2.9613025617436506e-05,5.407888238551095e-06,3.6154432336843456e-08,6.61982535454797e-09
1860,2.9765427825623192e-05,5.523745585378492e-06,4.027921818305913e-08,9.154368013630787e-09
1861,2.8060456315870397e-05,5.044666522735497e-06,4.150048238393822e-08,8.017138064531082e-09
1862,2.9710277885897085e-05,5.254417828837177e-06,3.659569025593612e-08,9.035972636795009e-09
1863,2.8783500965801068e-05,5.142961072124308e-06,4.145535470456707e-08,6.992469381295052e-09
1864,2.7224465156905353e-05,4.938569873047527e-06,3.691940542172034e-08,2.1576275877066564e-08
1865,2.838603722921107e-05,5.2250679800636135e-06,2.9182435246077887e-08,5.648213063924601e-09
