year,espérant_VERB en_ADP
1800,2.829747991484055e-08
1801,9.524730337773235e-09
1802,2.4616241489638924e-08
1803,7.801356893821776e-09
1804,9.887403784603066e-09
1805,8.528632911009026e-09
1806,1.729001475325731e-08
1807,3.701041606518629e-08
1808,1.5862518409903714e-08
1809,2.259030518203531e-09
1810,1.4040760554223652e-08
1811,1.7549536934780008e-08
1812,2.6672083208723052e-08
1813,5.463909147351842e-08
1814,2.5173417128598885e-08
1815,6.203614333344376e-08
1816,2.7811246638975717e-08
1817,1.8682481339737933e-08
1818,2.741870730460505e-08
1819,3.8298885840504227e-08
1820,3.5599444281331216e-08
1821,3.4515210245444905e-08
1822,2.2056354964661296e-08
1823,1.0673301498176357e-07
1824,6.484256687144807e-08
1825,1.9371974468995745e-08
1826,2.1139162420524826e-08
1827,2.3043183361437514e-08
1828,1.0089530988466322e-08
1829,3.943661008865007e-08
1830,4.5922076807869416e-08
1831,3.741889442743229e-08
1832,2.4353945637933805e-08
1833,4.8651238260255525e-08
1834,4.6672655740209734e-08
1835,5.672315950278062e-08
1836,9.543464751793351e-08
1837,5.705470673689206e-08
1838,4.229148586887277e-08
1839,2.7266752411492234e-08
1840,2.9300567971901614e-08
1841,3.9165347853753474e-08
1842,3.152884575641224e-08
1843,2.2446262848418996e-08
1844,5.0494762149355665e-08
1845,3.3481368622023666e-08
1846,4.449420942798099e-08
1847,3.182001862001016e-08
1848,2.5744709697406165e-08
1849,2.513824526317876e-08
1850,5.702756489256444e-08
1851,3.6761802713058955e-08
1852,2.7995345375231295e-08
1853,3.642878265708305e-08
1854,3.065442033545196e-08
1855,2.7065379271107304e-08
1856,7.092749032544532e-08
1857,3.7099469329948676e-08
1858,7.976692018019094e-08
1859,6.467060131853941e-08
1860,7.643897070863659e-08
1861,4.998921659948863e-08
1862,4.382446766593162e-08
1863,4.2454278315062766e-08
1864,4.31525504218655e-08
1865,7.483882313863433e-08
1866,3.5032413081559355e-08
1867,4.6586988489139e-08
1868,4.445886503390284e-08
1869,5.5672117804661525e-08
1870,3.039045770591997e-08
1871,3.717412155879174e-08
1872,4.535504394276302e-08
1873,7.422645342813894e-08
1874,3.465273329394947e-08
1875,4.005068987567029e-08
1876,3.748529220359842e-08
1877,3.030559847516656e-08
1878,3.623453348478023e-08
1879,3.6655952717623563e-08
1880,2.3104245627791897e-08
1881,3.2770786195790436e-08
1882,1.3976308999019693e-08
1883,1.6430281690738013e-08
