year,tout_DET avant_NOUN,tout_DET savant_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09
1801,9.52473055981784e-09,4.7623650800687756e-08
1802,1.7902721083373763e-08,4.475680270843441e-09
1803,7.801356893821776e-09,4.290746247193056e-08
1804,0.0,9.887403784603066e-09
1805,2.842877711017877e-09,2.842877755426798e-08
1806,2.5935023018064385e-08,2.305335300434308e-08
1807,0.0,3.131650672116848e-08
1808,2.2660739951163578e-09,3.3991110370834576e-08
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,1.1700633351097167e-08,2.8081521108447305e-08
1811,2.2563690471599784e-08,3.008491944456182e-08
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,2.2026739543434815e-08
1815,2.697223555614414e-09,0.0
1816,2.0858434979231788e-08,4.6352077731626196e-09
1817,7.784367039853635e-09,2.6466848268569265e-08
1818,4.768470951432846e-09,2.1458119947581622e-08
1819,0.0,5.693077653745604e-08
1820,1.4239777357261119e-08,2.3732962262101864e-08
1821,9.86148829262845e-10,1.972297702934611e-08
1822,0.0,3.5089655625597516e-08
1823,3.95307486744656e-09,3.4589405117912975e-08
1824,8.421112696055388e-10,3.3684450784221553e-08
1825,6.163809906922779e-09,1.937197424695114e-08
1826,1.5854372037438225e-08,1.145037931138404e-08
1827,1.8434546111834038e-09,2.5808365222701468e-08
1828,5.503380862137419e-09,2.109629271274116e-08
1829,4.286587973467704e-09,3.943660820127093e-08
1830,3.1310507520032616e-09,1.5655253093882493e-08
1831,0.0,4.67736174236677e-08
1832,8.117981842303834e-09,4.6001897402447867e-08
1833,3.475088550253247e-09,5.21263281427764e-08
1834,1.7735608537350345e-08,3.0803951389657414e-08
1835,1.739510224751939e-08,3.025235173481633e-08
1836,1.5457725766054864e-08,3.024337402735e-08
1837,3.4789454650407947e-09,6.262101948095733e-09
1838,7.574594507175902e-09,3.66105403770689e-08
1839,8.38977065598101e-09,2.7965899818127582e-08
1840,5.732719632334238e-09,2.4841786572249447e-08
1841,1.926164472365599e-08,5.714288064950779e-08
1842,1.0062397581833693e-08,5.433694694190194e-08
1843,8.860366718099755e-09,3.839492213053575e-08
1844,3.2931368743049916e-09,1.9758820468673832e-08
1845,1.3950569588416784e-08,2.622707206967334e-08
1846,1.7563503984519002e-09,3.454155717008689e-08
1847,2.6966118227278457e-09,4.6381724239097366e-08
1848,1.6090443422100975e-09,1.689496587076178e-08
1849,3.3517659758786067e-09,1.508294644736452e-08
1850,1.4935791270431764e-08,2.4440385715251978e-08
