year,venant_VERB en_ADP,venant_VERB sans_ADP
1800,2.2637983798645678e-07,3.772997558826319e-08
1801,2.309747177964283e-07,2.6193008650921e-08
1802,2.5958945570891956e-07,4.923248297927785e-08
1803,1.5797748065260464e-07,7.411289004721766e-08
1804,2.9909395626859236e-07,7.168367943677367e-08
1805,1.449867568226182e-07,5.401467717547348e-08
1806,1.7290014397985942e-07,1.4408345627714425e-08
1807,3.4448155838973094e-07,8.540865792383556e-09
1808,2.6286458565394355e-07,1.5862518409903714e-08
1809,3.1174621550889015e-07,2.710836710662079e-08
1810,2.691145875033385e-07,9.360507036149102e-09
1811,1.9555198615961444e-07,3.5099073869560016e-08
1812,2.427159468965101e-07,5.067695596494559e-08
1813,3.7384640805271374e-07,5.176335093892703e-08
1814,3.0522767247020965e-07,9.440030979135372e-09
1815,1.699250797848606e-07,2.6972236000233352e-08
1816,2.595716352971067e-07,7.184571870766376e-08
1817,2.786803339205335e-07,3.425121430922218e-08
1818,2.7061071428136074e-07,3.695564965155995e-08
1819,2.44284779959969e-07,2.794783426907088e-08
1820,2.5394270064538205e-07,1.7799721696576398e-08
1821,2.92886216612942e-07,1.1833785507064931e-08
1822,3.378632413841842e-07,2.8071724500478012e-08
1823,5.731958392374281e-07,2.2730179516372573e-08
1824,4.3284519257724696e-07,2.4421225930382207e-08
1825,4.605246715083666e-07,1.6730341556581152e-08
1826,3.5055778369041946e-07,4.668231667892542e-08
1827,4.175424681562845e-07,6.452091128039683e-08
1828,3.1277546463925887e-07,5.319934714975716e-08
1829,2.906306623140509e-07,3.17207503042205e-08
1830,3.746824122075054e-07,5.844628070406088e-08
1831,4.1472608902637376e-07,5.3010101197514814e-08
1832,2.6924637652747663e-07,4.8707889277466165e-08
1833,3.5793411257145635e-07,2.780070862407058e-08
1834,3.435107345239885e-07,2.9870498963191494e-08
1835,5.037016705955466e-07,4.310960122211327e-08
1836,5.860493890175178e-07,3.696412631537527e-08
1837,5.98378624871998e-07,3.68768207081871e-08
1838,6.223791810811008e-07,3.9135404250600914e-08
1839,5.712035093807799e-07,7.900366938429215e-08
1840,4.987466066808111e-07,4.77726651015864e-08
1841,5.457466087932517e-07,6.998397994451011e-08
1842,7.278467570870362e-07,3.4882980060046975e-08
1843,6.527136857670257e-07,4.430183425663259e-08
1844,6.026440422246537e-07,5.2690188212523026e-08
1845,7.432863871059681e-07,5.245414413934668e-08
1846,7.031256210598968e-07,4.6836010625384006e-08
1847,6.05119677032917e-07,3.4516631330916425e-08
1848,8.712975247959776e-07,9.895622810063287e-08
1849,6.318079126543807e-07,5.111443002192573e-08
1850,8.201107277727715e-07,4.2091777174846357e-08
1851,8.274630083349166e-07,6.642922234512127e-08
1852,7.871249696478344e-07,3.971432604998881e-08
1853,7.590325559192479e-07,5.255300172812838e-08
1854,8.318258899464581e-07,4.052618152172727e-08
1855,7.859574040480766e-07,4.404757802944914e-08
1856,9.412130057562251e-07,5.9537676122545236e-08
1857,8.508470212831298e-07,4.490988425587261e-08
1858,9.90969361680527e-07,5.18729644793936e-08
1859,8.651602616538412e-07,6.517981865350464e-08
1860,8.312166235313612e-07,4.806043241156743e-08
1861,9.012206927394573e-07,4.951761978233549e-08
1862,7.648950850480674e-07,3.975828025137851e-08
1863,7.851543912806846e-07,7.242200467105775e-08
1864,9.402461387253425e-07,5.9454626999411175e-08
1865,8.91947009584726e-07,3.2006543193574544e-08
1866,8.40291361825507e-07,6.519920958680814e-08
1867,8.49727282314916e-07,4.4160586298858107e-08
1868,8.842374512596507e-07,5.532658875484486e-08
1869,8.902655270759396e-07,4.932354202846767e-08
1870,8.268498348229514e-07,4.3578769926000405e-08
1871,7.487930053784453e-07,2.9739295692721157e-08
1872,9.86925787316295e-07,5.744972497723211e-08
1873,8.230756414207008e-07,4.369783129787308e-08
1874,8.101570072582831e-07,4.6601951797509145e-08
1875,7.272060909002676e-07,2.9751941965638906e-08
1876,7.557518548750863e-07,4.8368119065500537e-08
1877,7.737204805735587e-07,3.587193186938009e-08
1878,6.316886751456252e-07,3.985798358030479e-08
1879,7.007395952385309e-07,4.520900709348297e-08
1880,7.136645017169485e-07,8.086486613656518e-08
1881,7.516363105253276e-07,6.205531605241177e-08
1882,6.914945185343413e-07,6.788493078779823e-08
1883,7.039743530334874e-07,4.1707636455612374e-08
1884,7.176044469758835e-07,4.951272636333215e-08
1885,7.167546618447318e-07,2.7071669572720225e-08
1886,7.21497235289803e-07,3.613939725255477e-08
1887,6.679090045480507e-07,3.7867764035581786e-08
1888,5.960177968944436e-07,3.4239320712003973e-08
1889,6.43429541202778e-07,4.009687515349469e-08
1890,7.439228486560978e-07,4.4569826940232815e-08
1891,7.094506866422989e-07,4.398211694844889e-08
1892,7.070882190873817e-07,4.638699024894777e-08
1893,6.854317593507631e-07,3.7566341148931315e-08
1894,7.221564306547634e-07,4.096000538744704e-08
1895,6.403806089849695e-07,6.319545065025522e-08
1896,7.654343523455509e-07,4.8945341113437735e-08
1897,7.667954928791687e-07,4.8944393427063915e-08
1898,7.401128356843145e-07,5.092519472782442e-08
1899,7.36826212488495e-07,5.7486813531681946e-08
1900,7.158462427270251e-07,5.1391424449320766e-08
1901,7.835411981460538e-07,3.688567673520993e-08
1902,2.168381248779383e-06,4.370152595356558e-08
1903,6.901481519605568e-07,4.5361851164216205e-08
1904,6.761278505962309e-07,4.2997001514777367e-08
1905,6.858648680108104e-07,4.902721073563043e-08
1906,7.356184070772542e-07,3.9610220603503166e-08
1907,6.341125633468891e-07,4.782844342798853e-08
1908,7.003641098179969e-07,3.6835416494795936e-08
1909,6.496661333343923e-07,5.555993354278144e-08
1910,6.05492258998197e-07,3.313373564406419e-08
1911,6.176954361336584e-07,3.617854538173759e-08
1912,7.334864839947386e-07,2.3963336814869507e-08
1913,6.570404300632049e-07,3.6590630581034844e-08
1914,7.031580713245944e-07,3.9510787530616653e-08
1915,6.738595761390798e-07,5.183535378705528e-08
1916,8.361458885275397e-07,4.0653610255958483e-08
1917,7.687463807748429e-07,2.631941953268324e-08
1918,8.017490484846235e-07,5.054005569604669e-08
1919,7.393901961805227e-07,3.314825391953491e-08
1920,7.064892404429202e-07,3.8618381381638756e-08
1921,7.141101088237178e-07,3.7863738810983705e-08
1922,6.64751975243405e-07,4.352981974875547e-08
1923,7.409931974677875e-07,4.352538596208433e-08
1924,6.497378830516709e-07,4.1253198190815965e-08
1925,7.005839615104037e-07,3.299453510408057e-08
1926,6.453614318502332e-07,2.6750733184144337e-08
1927,6.823325584548456e-07,3.567751882815884e-08
1928,6.147209967721778e-07,2.0566874425753667e-08
1929,7.218983331114259e-07,3.230717737778832e-08
1930,6.753816981230898e-07,3.2561171536826805e-08
1931,7.173969240881206e-07,3.307553431142196e-08
1932,6.860669934383168e-07,4.603005265835236e-08
1933,7.662402383701306e-07,3.326492148403304e-08
1934,6.074660916510766e-07,4.313368862085554e-08
