year,frappant_VERB en_ADP,frappant_VERB sans_ADP
1800,1.2576657582030748e-07,2.829747991484055e-08
1801,1.2858386355674156e-07,3.333655484993869e-08
1802,7.832440473976021e-08,2.2378401354217203e-08
1803,4.8758479920252285e-08,1.5602713787643552e-08
1804,1.7797326279378467e-07,6.921182915675672e-08
1805,1.02343598484822e-07,4.5486043376286034e-08
1806,8.35684019762084e-08,5.4751712497136396e-08
1807,6.263301344233696e-08,3.701041606518629e-08
1808,4.5321478125970316e-08,2.039466551195801e-08
1809,5.873479480555943e-08,4.51806094758922e-08
1810,7.956430891908894e-08,7.020380277111826e-09
1811,6.016983888912364e-08,4.763445815569867e-08
1812,7.734903562095496e-08,2.6672082320544632e-09
1813,6.614205716459765e-08,1.1502966579257645e-08
1814,5.034683425719777e-08,3.1466772298927026e-08
1815,5.933891955578474e-08,7.552225866902518e-08
1816,1.0660977523002657e-07,5.0987285504788815e-08
1817,7.628679554727569e-08,4.0478710161551135e-08
1818,9.536941547594324e-08,2.741870730460505e-08
1819,1.0351050150347874e-07,2.5877625375869684e-08
1820,7.594547923872597e-08,2.4919611263385377e-08
1821,8.57949515875589e-08,1.4792232327920374e-08
1822,6.616906489398389e-08,2.7069162911175226e-08
1823,8.696764552951208e-08,1.8777104759948315e-08
1824,1.0779024250950897e-07,3.452656116564867e-08
1825,8.453225319726698e-08,6.163810439829831e-08
1826,7.751026487312629e-08,3.8755132436563144e-08
1827,1.0968555130830282e-07,1.935627302884768e-08
1828,6.604057034564903e-08,3.0268594741755805e-08
1829,1.0459275046059702e-07,3.1720752247110795e-08
1830,9.810625556383457e-08,2.2961039292113128e-08
1831,9.666548095310645e-08,5.456922025359745e-08
1832,8.929779937716376e-08,2.4353944860777688e-08
1833,5.79181431703546e-08,3.706761175781281e-08
1834,1.1388127774125678e-07,3.267085801894609e-08
1835,7.714349692378164e-08,4.0084366048631637e-08
1836,6.653542783396915e-08,5.981467410265395e-08
1837,9.53231023004264e-08,4.1051556820548285e-08
1838,6.754013526233393e-08,3.28232410140572e-08
1839,6.362242288560083e-08,3.915226187700682e-08
1840,1.0382592563473736e-07,3.184844243886431e-08
1841,9.823439484080154e-08,3.467096121312352e-08
1842,9.39157089874243e-08,2.1466447730489335e-08
1843,9.391988697871057e-08,3.485077471054865e-08
1844,8.836583731408609e-08,2.5796238478648092e-08
1845,7.031087534414837e-08,3.850357188639464e-08
1846,8.489026726010707e-08,5.1519613464279246e-08
1847,7.981971350545791e-08,5.069630049092666e-08
1848,3.781254065415851e-08,5.873011899026892e-08
1849,9.971503800443315e-08,4.4410899846525353e-08
1850,4.955967014552698e-08,5.0238568860550004e-08
1851,6.707416133622246e-08,2.8377531435808123e-08
