year,fut_VERB en_PRON,fut_VERB sans_ADP
1800,1.131899196593622e-07,2.3769882773194695e-06
1801,1.5239568540437176e-07,2.7883647817361634e-06
1802,1.6336232988578558e-07,2.5690405891509727e-06
1803,9.166594594489652e-08,2.5159376946248813e-06
1804,1.5325475999361515e-07,2.3037650862534065e-06
1805,1.0802935435094696e-07,2.948064093288849e-06
1806,1.873084869430386e-07,2.3629686438653152e-06
1807,1.4804166426074516e-07,1.9558581243472872e-06
1808,1.5862518409903714e-07,2.7895371204067487e-06
1809,1.1746958961111886e-07,2.819270093823434e-06
1810,1.0296557917399696e-07,2.546057885410846e-06
1811,1.42903374467096e-07,2.938294073828729e-06
1812,1.0668833283489221e-07,2.784565367619507e-06
1813,1.1790540810352468e-07,3.1000495255284477e-06
1814,1.2272040805783035e-07,3.4676381801546086e-06
1815,1.1328339155625144e-07,5.240705377218546e-06
1816,1.228330006597389e-07,2.7278197194391396e-06
1817,1.401186011662503e-07,2.888000153689063e-06
1818,9.298518222067287e-08,3.409456667213817e-06
1819,1.1696686641471388e-07,3.432408220760408e-06
1820,1.8986369809681491e-07,3.4899321690318175e-06
1821,1.370746929296729e-07,3.2404850571765564e-06
1822,1.513867999847207e-07,3.1490460514760343e-06
1823,1.8282970870586723e-07,3.31366481987061e-06
1824,1.8779081756292726e-07,3.971396836277563e-06
1825,1.937197424695114e-07,3.082785497099394e-06
1826,2.1403401717634551e-07,2.903992481151363e-06
1827,1.308852830561591e-07,2.7163303002453176e-06
1828,1.0272977135628025e-07,2.59392686530191e-06
1829,1.0287811136322489e-07,2.981750640174141e-06
1830,1.575962187416735e-07,3.250030658819014e-06
1831,7.327867024287116e-08,2.223305955340038e-06
1832,1.1635773944362882e-07,2.584224148449721e-06
1833,1.169946486356821e-07,2.8565227694343776e-06
1834,9.894602470694736e-08,2.8470319648477016e-06
1835,1.323540459452488e-07,3.1318747915065615e-06
1836,2.0027835034852615e-07,3.232680683140643e-06
1837,1.864714818111679e-07,3.1762772323418176e-06
1838,2.5690499683150847e-07,3.4679017062444473e-06
1839,1.4961756278353278e-07,2.9811649255861994e-06
1840,1.4522889557611052e-07,3.1160516300587915e-06
1841,1.1300165425609521e-07,3.1993592983781127e-06
1842,1.1873628835701311e-07,2.816800588334445e-06
1843,1.2640789748274983e-07,2.790424787235679e-06
