year,serrant_VERB en_ADP
1800,3.772997558826319e-08
1801,7.143547708921005e-08
1802,1.7902721083373763e-08
1803,7.801356893821776e-09
1804,2.7190360185613827e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,9.360507036149102e-09
1811,5.0141535368197765e-09
1812,1.600324850414836e-08
1813,5.751483289628823e-09
1814,0.0
1815,2.4275012222574333e-08
1816,1.1588019432906549e-08
1817,6.227493631882908e-09
1818,7.152706427149269e-09
1819,1.552657524772627e-08
1820,3.9159386844289656e-08
1821,7.889190412058156e-09
1822,7.017931125119503e-09
1823,2.075364236020505e-08
1824,4.210556348027694e-09
1825,7.044354433105582e-09
1826,2.1139162309502524e-08
1827,2.4886637417509405e-08
1828,1.1923991238838028e-08
1829,3.343538745870234e-08
1830,1.878630406793036e-08
1831,9.354723218280014e-09
1832,1.2176972319366541e-08
1833,2.3167257001688313e-09
1834,1.9602515166639023e-08
1835,1.2100940693926532e-08
1836,1.2097349955109138e-08
1837,1.87863058442872e-08
1838,1.704283758563463e-08
1839,2.51693106356754e-08
1840,2.229390982932955e-08
1841,3.852329122366882e-09
1842,1.2745704047745221e-08
1843,4.1348376944583265e-09
1844,3.2931368743049916e-09
1845,1.674068439427856e-09
1846,1.3465353276842507e-08
1847,4.314578916364553e-09
1848,1.2067832289019975e-08
1849,2.513824481908955e-09
1850,6.1100964288129944e-09
1851,1.9993259936512686e-08
1852,5.859490670445666e-09
1853,7.763511389313749e-09
1854,6.754363734984281e-09
1855,3.714855978387277e-09
1856,2.847454094734303e-08
1857,1.4644527812635033e-08
1858,1.1744822836501356e-08
1859,1.7822606501738392e-08
1860,6.865776031039772e-09
1861,4.715963619617014e-09
1862,1.0391368654438793e-08
1863,6.493007298491449e-09
1864,9.10998321224099e-09
1865,9.88437331983505e-09
1866,1.2650594016783145e-08
1867,2.135237053835226e-08
1868,8.397785578040384e-09
1869,1.1720445947105418e-08
1870,8.027668307875047e-09
1871,2.1242354542039266e-09
1872,5.442605477412599e-09
1873,1.3169209722718733e-08
1874,4.779687479139483e-09
1875,1.4875970455463516e-08
1876,4.836811839936672e-09
1877,2.4120783148617875e-08
1878,3.6234532041490297e-09
1879,2.5659166347224982e-08
1880,4.492492378105339e-09
1881,3.4862537301449947e-09
1882,2.1962770935246567e-08
1883,1.64302811356265e-08
1884,4.621187876807653e-09
1885,6.445635691854079e-09
1886,1.4197620412659262e-08
1887,3.9173548849191775e-09
1888,1.3949351895803375e-08
1889,5.6386229019267375e-09
1890,9.83157938394541e-09
1891,2.5496880162734215e-09
1892,1.0656471260972467e-08
1893,2.6481191017779793e-08
1894,8.192000855444803e-09
1895,1.1435367319734269e-08
1896,1.8870493501133012e-08
