year,traînant_VERB en_ADP
1800,2.2009151834367913e-08
1801,2.8574191901498125e-08
1802,9.622712582313397e-08
1803,5.655983770225248e-08
1804,1.087614407424553e-07
1805,2.2743021466098412e-08
1806,2.0171682990621775e-08
1807,1.4234775136401367e-08
1808,5.6651849433819734e-08
1809,4.969867006821005e-08
1810,1.193464669313471e-07
1811,5.766276700569506e-08
1812,3.7340914360584065e-08
1813,7.476928232108548e-08
1814,1.8880061958270744e-08
1815,6.203614244526534e-08
1816,1.8540831092650478e-08
1817,4.203558034987509e-08
1818,5.48374146092101e-08
1819,9.626476327184719e-08
1820,1.0323838406378627e-07
1821,7.001656854299654e-08
1822,3.60922172149003e-08
1823,5.237824041159911e-08
1824,3.873711751367637e-08
1825,1.1447075820569808e-07
1826,6.870228019817404e-08
1827,3.594736658341091e-08
1828,5.228211819030548e-08
1829,5.4011008832066665e-08
1830,5.218418053232199e-08
1831,3.430065276255334e-08
1832,1.488296597074168e-08
1833,4.8651238260255525e-08
1834,7.094243459349059e-08
1835,8.924443761770817e-08
1836,3.965242711956307e-08
1837,5.357576071673975e-08
1838,8.205810164696459e-08
1839,8.180026089821268e-08
1840,1.2611983191135323e-07
1841,7.512041833024341e-08
1842,6.171603672555648e-08
1843,4.961805188941071e-08
1844,7.57421432240335e-08
1845,4.464182268293371e-08
1846,7.669396495657566e-08
1847,4.422443566909351e-08
1848,4.022610866627474e-08
1849,3.5193544078993e-08
1850,5.906426725488245e-08
1851,3.805168802273329e-08
1852,6.315229228448516e-08
1853,3.463720310570295e-08
1854,5.455447649183043e-08
1855,4.4578271740647324e-08
1856,5.4360487666826884e-08
1857,5.125584578991038e-08
1858,2.9851424443450014e-08
1859,4.6338776371612767e-08
1860,5.629936372653077e-08
1861,3.584132307610233e-08
1862,4.698705780015189e-08
1863,4.9946209501605665e-08
1864,5.418042547944424e-08
1865,4.8480496284142305e-08
1866,4.087114879869347e-08
1867,3.54255238477208e-08
1868,4.445886503390284e-08
1869,3.564969119906891e-08
1870,5.6193677266946906e-08
1871,6.478918379571041e-08
1872,4.414557586152057e-08
1873,3.591602748542755e-08
1874,3.4055272379873713e-08
1875,2.9179789251543298e-08
1876,5.078652520751348e-08
1877,5.195245544875604e-08
1878,3.6838440686803864e-08
1879,4.5209007870639084e-08
1880,6.032775701214632e-08
1881,5.299105865219644e-08
1882,4.05978499706805e-08
1883,2.9700892412165558e-08
1884,4.423137056619453e-08
1885,3.545099502844096e-08
1886,4.1947515683204983e-08
1887,3.7867764035581786e-08
1888,4.7554610027589206e-08
1889,5.7639257811104017e-08
1890,4.456982899414541e-08
1891,3.9520164363260335e-08
1892,3.13425623232888e-08
1893,4.249307394843527e-08
1894,3.969969797346096e-08
1895,4.935263930860856e-08
1896,4.363801409112966e-08
1897,5.7684463428131494e-08
1898,4.8096016280751996e-08
1899,3.2612710754165164e-08
1900,3.3741844873702576e-08
1901,4.247441509619421e-08
1902,3.388095848322337e-08
1903,2.6461078661554893e-08
1904,3.439760121182189e-08
1905,3.973784501454247e-08
1906,2.777859720026754e-08
1907,2.828563872014911e-08
1908,4.125566732682273e-08
1909,2.80550155329351e-08
1910,4.916618534522854e-08
1911,4.309503154331651e-08
1912,4.792667657183003e-08
1913,2.7045247041890264e-08
1914,4.68772043404897e-08
1915,3.2986132936230206e-08
1916,3.29623865980011e-08
1917,4.496234140560773e-08
1918,3.9053679401490626e-08
1919,3.498982398264516e-08
1920,6.436397148590345e-08
1921,4.543648302046677e-08
1922,5.016996035278609e-08
1923,4.458698210640932e-08
1924,3.738571052736006e-08
1925,2.5295808780967377e-08
1926,4.4584552605364536e-08
1927,4.682674359379746e-08
1928,4.4561559775502246e-08
1929,4.2333545335893064e-08
1930,3.046045016219523e-08
1931,3.193499864551086e-08
1932,2.520693342944469e-08
1933,2.982372038218273e-08
1934,3.4746584276490466e-08
1935,5.744776476745983e-08
1936,3.15242587589637e-08
1937,2.392312481447334e-08
1938,3.3709559033034964e-08
1939,3.5176316970364496e-08
1940,1.0143131667916805e-08
1941,3.836953510472085e-08
1942,4.8547388331598995e-08
1943,5.516146828199453e-08
1944,2.5705489292704442e-08
1945,2.832055256973831e-08
1946,3.897909284233947e-08
1947,3.5762613315171166e-08
1948,3.152847383169899e-08
1949,2.5524220959027843e-08
1950,3.616022903329963e-08
1951,3.944718607318265e-08
1952,4.428817734769552e-08
1953,2.8011951869189033e-08
1954,2.638584750691564e-08
1955,2.440258128899586e-08
1956,4.011724974439801e-08
1957,2.3854601849393475e-08
1958,2.0680609225109947e-08
1959,2.9452841943111707e-08
1960,3.5988332314218496e-08
1961,3.6825242577531725e-08
1962,2.5367825173816527e-08
1963,4.073613701915946e-08
1964,3.8937397306426647e-08
1965,3.119064589940379e-08
1966,3.6557892713062756e-08
1967,3.549841598449177e-08
1968,3.09907690621003e-08
1969,3.042977822498294e-08
1970,3.632992645608013e-08
1971,2.671966670142467e-08
1972,2.872882304272295e-08
1973,3.4181861896520616e-08
1974,2.531507187208959e-08
1975,3.3126585474718695e-08
1976,2.9710338855792884e-08
1977,2.527016151887551e-08
1978,1.900989232694883e-08
1979,3.8037826111114725e-08
1980,1.989802811408481e-08
1981,2.5302197670384885e-08
1982,3.1037512115972277e-08
1983,3.157657957331139e-08
1984,2.8415142239168745e-08
1985,3.3085568507118523e-08
1986,1.6784559520033326e-08
1987,2.627651163322753e-08
1988,3.298104533921986e-08
1989,1.7561990972581043e-08
1990,2.7243254763220648e-08
1991,1.3481370075840715e-08
1992,2.259077191979486e-08
1993,2.4926434250005514e-08
1994,2.2154692302933654e-08
1995,2.114755837112625e-08
1996,2.2419987644184403e-08
1997,2.876936655571427e-08
1998,2.145658195562561e-08
1999,2.3765045847889965e-08
2000,2.3415566374751506e-08
2001,1.6648604050928384e-08
2002,2.9792307010279018e-08
2003,3.000184589652122e-08
2004,1.805964444656638e-08
2005,2.34194974524371e-08
2006,2.4295549738706512e-08
2007,2.476577201648844e-08
2008,2.1712942721574535e-08
2009,3.003961235314989e-08
2010,3.401131093427878e-08
2011,4.8946841135766306e-08
2012,3.506380452655833e-08
2013,4.211578730206611e-08
2014,6.388063122919618e-08
2015,4.078498694326527e-08
2016,4.8262223550921135e-08
2017,3.999822095757111e-08
2018,4.569195910519852e-08
2019,5.025445931616801e-08
