year,contenant_VERB en_ADP,contenant_VERB sans_ADP
1800,2.6725399493443547e-07,0.0
1801,1.8811341817581706e-07,0.0
1802,2.752543366568716e-07,0.0
1803,2.788985149493328e-07,9.751696339321825e-09
1804,1.507829097135982e-07,2.4718509461507665e-09
1805,2.985021634316354e-07,0.0
1806,2.766402245057975e-07,3.7461699520235925e-08
1807,2.2206249639111775e-07,0.0
1808,1.7448770339711928e-07,1.8128591960930862e-08
1809,1.7168632382436044e-07,0.0
1810,4.4696421763745775e-07,1.6380887757350138e-08
1811,5.139507379681163e-07,0.0
1812,3.0406173578967355e-07,2.6672083208723052e-08
1813,3.7384640450000006e-07,8.627225156487839e-09
1814,2.580275229036033e-07,1.2586708564299443e-08
1815,2.88602933551374e-07,4.045835311217161e-08
1816,2.4566601730668935e-07,1.3905623319487859e-08
1817,2.5844098028304785e-07,0.0
1818,3.2544815553592343e-07,0.0
1819,3.2088253743012274e-07,1.0351049795076506e-08
1820,2.6580917555918404e-07,1.4239777357261119e-08
1821,3.145814866378771e-07,0.0
1822,2.2657891918242967e-07,1.0025615893027862e-09
1823,2.6584427814668743e-07,9.882686891060644e-10
1824,2.728440380295183e-07,8.421112696055388e-10
1825,3.00265605712724e-07,1.0566531649658373e-08
1826,3.805049101357483e-07,2.642395191543301e-09
1827,2.8573546728694055e-07,2.1199728195142598e-08
1828,3.191960710191566e-07,0.0
1829,3.154928885362729e-07,8.57317605795771e-10
1830,4.07036589322729e-07,1.461157062010443e-08
1831,5.41014856914046e-07,4.677361609140007e-09
1832,4.0454609540052644e-07,1.6235963684607668e-08
1833,2.7221526777143623e-07,1.1583628500844156e-09
1834,2.492319879365823e-07,1.4001796166951408e-08
1835,3.305069569137231e-07,1.4369867074037757e-08
1836,4.146702721197215e-07,7.392825018825988e-09
1837,3.59722974963006e-07,5.5663127440652715e-09
1838,3.982974274840956e-07,6.312161904276081e-10
1839,3.8942517144313626e-07,1.2584655095793096e-08
1840,3.2485413026250853e-07,7.0066574764382494e-09
1841,4.81541137631325e-07,2.5682194149112547e-09
1842,3.9444597632609657e-07,1.7441490030023488e-08
1843,3.242894078825387e-07,9.451057714215949e-09
1844,4.0780009902263714e-07,2.4149668931272572e-08
1845,4.03450472141742e-07,5.580227835366713e-09
1846,4.677746616721379e-07,1.4050803187615202e-08
1847,4.055704172500896e-07,2.1033571329098777e-08
1848,5.060444383531149e-07,4.02261068899179e-09
