year,remontant_VERB en_ADP
1800,1.2576657937302116e-08
1801,1.6668277424969347e-08
1802,6.489736392722989e-08
1803,6.046051614916337e-08
1804,1.2359254508709228e-08
1805,3.695740957709859e-08
1806,2.305335300434308e-08
1807,5.693910232196231e-09
1808,2.039466595604722e-08
1809,1.3554183553310395e-08
1810,2.3401266702194334e-08
1811,5.0141534924108555e-08
1812,1.600324850414836e-08
1813,8.627225156487839e-09
1814,3.461344810773426e-08
1815,2.4275012222574333e-08
1816,1.0197457100957763e-07
1817,1.0898114055635233e-07
1818,4.530047448270125e-08
1819,2.5877624487691264e-08
1820,4.2719332071783356e-08
1821,2.1695274909916407e-08
1822,2.90742860897808e-08
1823,6.621399961659336e-08
1824,3.3684450784221553e-08
1825,4.8429936283511665e-08
1826,7.222547337981666e-08
1827,1.4747637222534138e-08
1828,2.384798314380987e-08
1829,5.4011008832066665e-08
1830,1.982998831806526e-08
1831,4.053713453799901e-08
1832,2.705993829010822e-08
1833,5.90765054653275e-08
1834,4.667265374180829e-08
1835,3.1764969321557146e-08
1836,5.511014933290426e-08
1837,8.766942549698342e-08
1838,4.481634974240478e-08
1839,5.663094881924735e-08
1840,2.93005673057678e-08
1841,1.7977535904378783e-08
1842,7.043678484919269e-08
1843,2.8353174030826267e-08
1844,5.653217982626302e-08
1845,5.133809627411168e-08
1846,5.5032313373004627e-08
1847,5.2314270249098627e-08
1848,8.52793493044679e-08
1849,5.362825561405771e-08
1850,6.85688590351674e-08
1851,4.901573547044791e-08
1852,6.315229228448516e-08
1853,6.808001984381917e-08
1854,8.624803254919655e-08
1855,9.817833301895007e-08
1856,7.558696396570141e-08
1857,6.199516677796169e-08
1858,5.9213480341213653e-08
1859,6.263373086845547e-08
1860,8.559333775082223e-08
1861,5.329038987866852e-08
1862,6.280000897085358e-08
1863,8.740586121547267e-08
1864,6.616724590458034e-08
1865,7.154403569575862e-08
1866,8.417510533043071e-08
1867,7.958610481750839e-08
1868,8.842374654705054e-08
1869,6.836926647046937e-08
1870,9.575861215083137e-08
1871,6.478918024299674e-08
1872,9.917636623058002e-08
1873,9.996627703401373e-08
1874,7.946230340394322e-08
1875,8.124568751100014e-08
1876,7.497058618355368e-08
1877,1.0390490778888761e-07
1878,2.9833097414666554e-07
1879,7.697749815349653e-08
1880,6.738738234091102e-08
1881,8.157833697453043e-08
1882,6.988154410692005e-08
1883,1.1501197061392077e-07
1884,6.667713936536757e-08
1885,9.861822658496777e-08
1886,1.2326115750305178e-07
1887,9.597519423643064e-08
1888,1.3949351895803375e-07
1889,1.196641123968334e-07
1890,9.241685161587299e-08
1891,1.1792307041957883e-07
1892,8.775917414993728e-08
1893,1.3055843384179866e-07
1894,8.759139435987606e-08
1895,1.2277973482355264e-07
1896,1.2029938867286205e-07
1897,9.672344347677608e-08
1898,7.355861553204335e-08
1899,9.72853779757088e-08
1900,9.447716387001037e-08
1901,1.3189424041826214e-07
1902,9.918773713479823e-08
1903,8.640352522348849e-08
1904,1.1340458794251163e-07
1905,1.2076176081343704e-07
1906,9.825392455198312e-08
1907,9.205689721625276e-08
1908,9.724550320555636e-08
1909,9.846760862242121e-08
1910,1.0581418230515283e-07
1911,8.086968716902732e-08
1912,1.0106276948640414e-07
