year,croyant_VERB en_ADP,croyant_VERB sans_ADP
1800,1.7921737693882278e-07,1.7607320934587278e-07
1801,1.9287578822968499e-07,1.4763332467637724e-07
1802,1.8350289110458107e-07,1.1636768704192946e-07
1803,1.8918290933811477e-07,1.3067273130218382e-07
1804,2.2246658337721215e-07,1.3100809326260787e-07
1805,2.3880172150825274e-07,7.107194477384837e-08
1806,1.5272845743652397e-07,8.933174200365102e-08
1807,4.241963154072437e-07,2.3914422797588486e-07
1808,1.835519896076221e-07,1.0877155176558517e-07
1809,2.981920204092603e-07,7.00299480627109e-08
1810,2.1529166360778618e-07,1.1232608265743238e-07
1811,1.504246114336638e-07,1.6045291317823285e-07
1812,1.3336040716183106e-07,9.601949813031752e-08
1813,1.754202447745712e-07,4.888760796184499e-08
1814,2.391474538399052e-07,1.1957373224902312e-07
1815,2.0768621644684515e-07,1.3486117422800703e-07
1816,1.3905622608945123e-07,1.297858158721965e-07
1817,2.755665949871755e-07,1.0898113989021851e-07
1818,1.9431519149293308e-07,1.609358926124571e-07
1819,3.467601850104529e-07,1.500902300222151e-07
1820,2.6462252211700843e-07,2.2427648893597052e-07
1821,2.2188348303142647e-07,1.2524090209353744e-07
1822,2.1154049534288788e-07,1.5840473110984021e-07
1823,1.8875932106254822e-07,1.6701741145652704e-07
1824,1.9621192492991213e-07,1.3221146666353434e-07
1825,2.579994884399639e-07,1.1711239400469253e-07
1826,1.8761006614909093e-07,1.8232527221329065e-07
1827,2.17527641677151e-07,1.5669364178405587e-07
1828,2.5315550544746657e-07,1.5776357509267314e-07
1829,2.0918549187287638e-07,1.6031839455976638e-07
1830,2.2021723267151572e-07,1.5446516954398248e-07
1831,2.432228052295926e-07,1.0913843961901648e-07
1832,1.9753755653439953e-07,1.285347090984601e-07
1833,1.3089499795171378e-07,1.204697355206008e-07
1834,1.997589613722539e-07,1.456186851100938e-07
1835,2.42018820983958e-07,1.346229581145053e-07
1836,2.3724247899536977e-07,1.3038254775832314e-07
1837,1.6003149072574274e-07,1.7533885177112296e-07
1838,1.8179026284315114e-07,1.0162580821315714e-07
1839,3.1042149917226425e-07,1.3982949931268251e-07
1840,2.1338457684150214e-07,1.872688528692379e-07
1841,2.11878096401108e-07,1.1749604000854674e-07
1842,2.0728538929759566e-07,1.2141959482292464e-07
1843,2.45727497016901e-07,1.553517645636049e-07
1844,1.9264849981937004e-07,1.4928886438170252e-07
1845,2.1595481580760634e-07,1.4675999882030055e-07
1846,1.990530389406331e-07,8.13775677954709e-08
1847,2.297513246318772e-07,9.168480197274675e-08
1848,1.5125017482908731e-07,1.1826475598830655e-07
1849,1.5920888873921513e-07,1.139600467325863e-07
1850,1.934863869124115e-07,1.805872873461567e-07
1851,2.489483366119316e-07,1.638157449690425e-07
1852,1.9596741829275288e-07,1.1979403780060238e-07
1853,1.6542251546347586e-07,1.1824425083517554e-07
1854,2.665375742338938e-07,1.2781334923772647e-07
1855,2.053784662336966e-07,1.7831309406801665e-07
1856,2.153710769725592e-07,9.940203504754663e-08
1857,2.3187168807226044e-07,1.1471546557118018e-07
1858,2.0161945890606603e-07,1.7372549265814996e-07
1859,2.39332148765925e-07,1.390163291148383e-07
1860,2.2840148083957956e-07,1.4006182347259255e-07
1861,1.9524089900357922e-07,1.249730416930106e-07
1862,2.1550793904978605e-07,1.305698100750874e-07
1863,1.848009685279095e-07,1.5083755489087025e-07
1864,2.421337753633068e-07,1.3904711515522195e-07
1865,2.080425196560043e-07,1.0025578234262866e-07
1866,2.4765968564821605e-07,1.3380435337495555e-07
1867,1.6693671511802677e-07,1.1209994710270621e-07
1868,2.1982439957213273e-07,1.2349685563073365e-07
1869,2.1145638040565018e-07,1.4699393213746248e-07
1870,2.7867477303544774e-07,1.1468097582678638e-07
1871,2.910202514527782e-07,1.5931765240395634e-07
1872,2.473361906396576e-07,1.3969353673815021e-07
1873,1.7898153492623692e-07,1.448613087262629e-07
1874,1.5892460281108356e-07,9.380136578585052e-08
1875,1.8995470441041107e-07,1.1957992063216238e-07
1876,1.5054576518735985e-07,1.1729268400983983e-07
1877,1.6018673054674082e-07,1.0452338927713356e-07
1878,1.690944850807341e-07,1.0870359612447089e-07
1879,1.96109341876749e-07,1.2951769345903585e-07
