year,considérant_VERB en_ADP,considérant_VERB sans_ADP
1800,3.1127228794503026e-07,6.288328968651058e-09
1801,1.0239085135310688e-07,2.3811825844433088e-09
1802,1.857407312400028e-07,0.0
1803,1.3652374875050555e-07,7.801356893821776e-09
1804,1.6314216111368296e-07,2.4718509461507665e-09
1805,1.2224374401625937e-07,1.1371510844071508e-08
1806,2.1036184705280903e-07,0.0
1807,2.761546511464985e-07,1.1387820464392462e-08
1808,2.447359861434961e-07,2.2660739951163578e-09
1809,1.7620438086396462e-07,0.0
1810,1.5210823534062e-07,2.3401267590372754e-09
1811,2.080873748866452e-07,0.0
1812,2.160438654641439e-07,2.6672082320544632e-09
1813,1.2653262970729884e-07,5.751483289628823e-09
1814,1.2272041161054403e-07,0.0
1815,2.0498899644394442e-07,0.0
1816,2.0163153280350343e-07,2.3176038865813098e-09
1817,1.385617380833537e-07,0.0
1818,1.5497530370112145e-07,3.5763532135746345e-09
1819,8.384350635992632e-08,3.1053151161586356e-09
1820,1.756239207395538e-07,1.1866481131050932e-09
1821,1.1932400667546972e-07,8.875339574387908e-09
1822,2.4362246620057704e-07,0.0
1823,2.609029294831089e-07,1.9765373782121287e-09
1824,1.406325829123034e-07,1.7684335773537896e-08
1825,1.4352872135248163e-07,2.641632912414593e-09
1826,3.091602422955475e-07,2.642395191543301e-09
1827,1.852671864810418e-07,9.217273166939322e-09
1828,1.6693587667759857e-07,3.668920500743411e-09
1829,2.0232695163713288e-07,8.57317605795771e-10
1830,2.0351829732589977e-07,5.218417697960831e-09
1831,2.307498476739056e-07,0.0
1832,2.0700853298194488e-07,2.705993873419743e-09
1833,1.34370090165703e-07,8.108539617524002e-09
1834,2.2869600257990896e-07,3.733812370398937e-09
1835,1.9512766158413797e-07,7.563087933704082e-09
1836,2.217847487884228e-07,7.392825018825988e-09
1837,2.943187809023584e-07,5.5663127440652715e-09
1838,1.7610931735134727e-07,4.418513555037862e-09
1839,1.7129114127101275e-07,0.0
1840,2.4650694996353195e-07,3.1848443882154243e-09
1841,2.895667314817274e-07,3.2102742686390684e-09
1842,1.8447728677983832e-07,9.391571076378114e-09
1843,1.5948660347930854e-07,5.31621990873532e-09
1844,1.778293849952206e-07,0.0
1845,1.8582158389790493e-07,6.696273757711424e-09
1846,1.797331847797068e-07,4.0981511517657054e-09
1847,2.0871775063824316e-07,4.853901280910122e-09
1848,1.64927048018626e-07,2.413566457803995e-09
1849,1.675882970175735e-07,0.0
1850,1.8058729267522722e-07,8.82569484161877e-09
1851,1.5930114116713412e-07,2.579775504329973e-09
1852,1.6666995961145403e-07,2.6042181744401205e-09
1853,1.6004776526301612e-07,1.3138249599364826e-08
1854,1.6989822526625176e-07,1.0391328908454511e-09
1855,1.390417523339238e-07,8.491099379170919e-09
1856,1.8223706277353813e-07,5.694908100650764e-09
1857,1.6353055443119047e-07,9.763018171682347e-10
1858,1.3261862008562275e-07,1.468102750479261e-09
1859,1.731338947763561e-07,8.656694916453489e-09
1860,1.894954166914431e-07,9.154367819341758e-10
1861,1.5704159395113493e-07,1.2733101684148096e-08
1862,1.7123168305488434e-07,3.6143890103090826e-09
1863,1.238665987557397e-07,1.2486552236623538e-08
1864,1.4144447391117865e-07,9.109982990196386e-09
1865,1.468535479887123e-07,7.530950973944073e-09
1866,1.576458572571937e-07,3.4059290943133647e-09
1867,1.4461378583519036e-07,4.85281148598915e-09
1868,1.5264210873056072e-07,9.87974813071446e-10
1869,9.815873625029781e-08,8.790334682373668e-09
1870,1.5481931825434003e-07,3.4404292748035914e-09
1871,2.5172190021294227e-07,1.9118118865790734e-08
1872,2.1830894780805465e-07,9.675742873582749e-09
1873,1.9095354986120583e-07,7.183205141814142e-09
1874,2.2823007128636164e-07,6.572069888299836e-09
1875,8.353429414853508e-08,2.2886108563824337e-09
1876,1.765436259404396e-07,1.0882827083946722e-08
1877,2.8140912888829916e-07,3.710889595609501e-09
1878,1.624514851528147e-07,6.039088784604019e-09
1879,1.570096586078762e-07,6.109325378922392e-09
1880,2.624899195780017e-07,3.2089231272180996e-09
1881,2.0568896985651008e-07,6.972507571312292e-10
1882,1.6239139455365148e-07,3.3276925659464496e-09
1883,1.522960673128182e-07,1.2006744043446815e-08
1884,1.9408989260227827e-07,3.300848483434038e-09
1885,1.688756512407963e-07,1.2246707647989297e-08
1886,1.310053221459384e-07,1.2261581083805595e-08
1887,1.5081815973871926e-07,2.6115699047757346e-09
1888,1.7056253653890963e-07,8.876860579931645e-09
1889,1.8983364213909226e-07,1.2530273263422487e-08
1890,1.612379065818459e-07,3.2771931834929546e-09
1891,2.0907442177531266e-07,1.784781566982474e-08
1892,1.8116000433110457e-07,7.522214851007902e-09
1893,1.6258219659448514e-07,3.0792082772457263e-09
1894,2.211840239851881e-07,1.575384822594117e-08
1895,1.649100411782456e-07,9.027921521465032e-09
1896,2.093445274908845e-07,6.486731818355906e-09
1897,2.138403942808509e-07,4.661370844871726e-09
1898,2.3595340081783434e-07,1.13167097914868e-09
1899,2.3160552586887206e-07,6.633094074004475e-09
1900,1.7338117430654165e-07,6.22926377147337e-09
1901,1.8331063955656646e-07,1.732509075091926e-08
1902,1.5909319728280025e-07,9.329538919189417e-09
1903,1.6686680481825533e-07,1.6200660812870638e-09
1904,2.3325873144131037e-07,4.299700151477737e-09
1905,1.9352847147047214e-07,6.708986699521802e-09
1906,1.5123902130653732e-07,8.745113966313056e-09
1907,2.2217082573661173e-07,5.65712765521198e-09
1908,1.517619239166379e-07,2.4556945366072114e-09
1909,1.7823186126975088e-07,1.3202360427122528e-08
1910,1.6085893861372824e-07,1.068830179917768e-08
1911,1.6280344539154612e-07,6.384448969498635e-09
1912,2.4223809447221356e-07,1.719108988496032e-08
1913,2.0999839023261302e-07,1.5908969031031006e-08
1914,1.9554492070028573e-07,6.696743604095445e-09
1915,2.4268369003266343e-07,7.068456930880984e-09
